都市名,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,住宅地：31年,住宅地：2年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,商業地：31年,商業地：2年
浜松市　*2,75.9,74.7,74,70.9,71.6,71.5,71.9,72,72.3,72.8,73.3,132.7,133.1,131.4,128.4,131.5,131.6,129.4,128.1,129.7,132,133.9
名古屋市　*1 *2,150.7,151.9,152.9,156.4,164.9,168.3,168.9,172.1,175,183.1,188.7,486.7,486.1,477.9,472.5,514.6,546,571,658.2,736.3,844.6,964.8
京都市　*1 *2,199.6,197.6,195.5,189.5,193.2,194.4,195.1,199.2,202.9,209.5,215.8,444,440.9,444.9,452.3,478.6,488.8,515.5,578.4,655.1,775.6,908
大阪市　*1 *2,235.8,232.9,231.1,227.2,231.9,233.3,231.6,236.4,238.9,241.8,246.8,830.3,788,759.3,845.7,896.7,946.5,1076.8,1241.1,1392.4,1624.3,1978.1
堺市　*2,129.7,126.3,124.5,121.8,122.5,122.9,123.8,126.1,128.2,131,135.1,210.5,199,193.1,198.3,198.7,199.8,203.2,196.9,210.5,231.2,253.5
神戸市　*1 *2,140.4,142.4,142.1,137.3,142,143.7,141.4,142.7,144.4,146.4,148.7,456.7,444.6,439.6,422.7,432.5,440.6,456.1,510.3,569.1,646.3,713.6
岡山市　*1 *2,66.7,65.6,64.7,56.6,56.6,56.8,57,57.4,58,58.7,59.8,202.1,196.1,190.2,158.2,160.6,164,166.7,171.2,177,183.8,191.8
広島市　*1 *2,107.1,106.1,104.1,103.3,105.7,106.8,108.2,116.8,120.9,126.4,132.6,453.4,449.9,434.1,433.9,445.1,463.5,494.3,537,571.2,615.3,674.8
北九州市　*2,59.1,57.7,56.2,53.4,53.4,52.9,52,52.2,52.2,52.3,52.5,155.5,150.6,144.7,131.4,129,125.8,123.4,123.7,125.6,128.3,131.8
福岡市　*1 *2,113.8,113.1,112.6,112.6,116.8,120.5,123.7,133.2,140.6,150.1,161.8,555.2,549.8,545.7,514.6,546.6,573,609.6,676.8,766.1,873.1,1037.9
熊本市　*1 *2,－,－,－,63.8,64,64.7,65.4,65.8,66.7,68,69.4,－,－,－,218.3,218.8,218.6,220.3,219,239.2,270.8,302.8
政令市平均,206.1,204.1,202.5,200,197.7,201.4,214.7,222.8,229.4,238.5,247.8,973.6,939,917.5,876.3,926.4,975.2,1053.5,1155.6,1251.9,1366.3,1491.8
青森市,48.6,46.4,43.4,36.1,34.7,33.7,33.4,33.4,33.3,33.2,33.3,101.5,93.6,86.7,80.4,76.8,74.7,73.2,71.9,71.7,72,72.3
盛岡市,58.9,54.9,51.3,45.9,46.1,46.1,46,47.1,47.4,47.5,47.8,156.3,147.7,137.1,120.1,117.4,117,117,117.1,117.4,122.8,124.6
秋田市 *2,45.3,42.9,40.5,35.1,33.3,32.2,32.2,31.8,31.7,32,32.3,81.3,75.3,69.6,59.4,58.1,55.5,52,51.2,51,51,51.4
山形市,58.4,54.4,52,47.4,48.3,48.4,48.1,49.2,50.4,52,53.8,115.1,109.7,105.1,92.1,91,90.5,89.3,89.3,89.6,90.4,91.8
福島市,48.1,45.8,43,39,39.4,40.6,42.5,44,45.4,46.6,47.6,81.4,77.4,71.2,67.3,70.9,71.7,71.3,72.5,74.3,77,79.2
水戸市,58.1,54.5,51.1,44,42.2,41.1,40.7,40.4,40.2,40.1,39.9,124.9,119.4,111.6,104.5,99.3,96.1,94.1,94.7,94.1,93.7,93.4
宇都宮市 *2,72.5,70.5,68,58.7,57.6,57.4,57.8,59.1,59.4,59.8,60.5,157,152.4,145.5,129.3,126.7,124.9,124.9,123.3,124.1,125.3,133.5
前橋市 *2,60.5,57.8,55.8,52.9,51.7,51.5,51.7,51.6,51.6,51.6,51.5,87.7,83.3,79.1,73.8,72.3,71.4,71.4,71.1,70.9,70.9,70.9
（新潟市）,－,－,－,－,－,－,－,－,－,－,－ ,－,－,－,－,－,－,－,－,－,－,－ 
富山市 *2,45.6,45.2,44.6,41,41.7,41.9,42,41.9,42.1,42.7,43.3,132.6,123.3,121.3,105.1,110.7,112.6,108.9,110.2,111.9,113.4,119.7
金沢市 *2,80.9,76.6,74.2,70.4,70.1,70.4,71.9,73,74.1,77.2,80.9,186.8,175.8,170,172,173.8,183.1,201.2,212.8,224.6,251,268.6
福井市,64.8,62.8,60.4,53.2,53.2,52.5,51.8,51.3,51.2,51.1,51,180.9,183.3,176.8,142.6,140.1,138.8,138.6,131.4,132.5,134.2,136
甲府市,54,52.6,51.2,49,49.1,48.2,46.5,45.9,45.5,45.1,44.9,93.8,90.7,87.1,81.3,79.9,78.5,77.5,75.8,76.1,76.4,76.6
長野市 *2,61.1,59.9,58.2,53.2,53,52.6,51.6,52.8,52.9,53.2,53.3,148.6,141.4,135.5,116.2,116.2,114.8,111,111.9,112,112.6,113.5
岐阜市 *2,70.9,69.8,68.3,64.8,63.7,63.3,63.3,63.1,63,62.5,62.3,140.4,137.7,134.9,126.4,122.6,121.8,119.9,120.2,120.6,124.8,125
（静岡市）,－,－,－,－,－,－,－,－,－,－,－ ,－,－,－,－,－,－,－,－,－,－,－ 
津市,47.8,47.1,46.4,42.5,42,41.6,41.2,40.9,41.1,40.9,40.8,100.9,98.9,97.1,86,86.6,85.4,82.7,81.9,81.2,80.9,80.7
大津市 *2,83.4,80.6,80.2,71.6,71.5,71.9,72.4,72.4,72.2,76,76.1,138.6,136.2,139.4,132,139.2,142,143.5,146.2,149,152.2,155.6
奈良市 *2,93.8,91.5,90.3,90.2,95.1,96,94.1,94.9,95.6,96.6,97.3,269.3,264.3,261,241.1,262.6,256.7,262.3,268.9,277.6,293.4,321.5
和歌山市 *2,72.9,71.4,68.7,61.3,59.8,59,58.6,60.7,61,60.8,60.7,146.2,141.6,136.7,123.2,122.2,127,127.9,125.7,126.2,126.8,127.4
鳥取市,53.8,52.1,49.1,42.7,40.2,39.3,39.7,39.3,39.1,39,39,102.9,95,87.5,78.6,86.2,82.6,72.8,71.3,70.3,69.5,68.8
松江市,64,62.9,57.8,51.3,50.3,49.4,48.8,48.4,48.2,48.2,48.4,122.4,114,106.1,96.7,95.7,93.2,89.4,89,88.5,88.3,88.3
（岡山市）,－,－,－,－,－,－,－,－,－,－,－ ,－,－,－,－,－,－,－,－,－,－,－ 
山口市,36.2,32.1,30.4,29.6,31.5,31.1,30.9,30.9,30.9,32.4,32.7,77,72.6,68.3,75.8,79.6,77.6,70.3,70.1,70.1,77.1,77.4
徳島市,100,93.2,85.7,73.1,71.9,71.4,70.6,72.2,72.4,73.7,74,195.7,185.1,170.2,153.7,147.4,144.5,143.4,143.2,144.7,146.3,149.1
高松市 *2,64.1,63.7,60.4,57.5,56.3,55.7,55.5,58.1,58.5,59.2,60,175.3,164.4,155.4,133.9,142.8,140.6,128.7,129,130.3,132,134.2
松山市 *2,100.6,99.9,98.5,92.7,93.9,92.8,92.4,90.9,91.1,91.4,91.9,221.7,216.1,211.6,190.7,190.2,188.6,185.9,180.9,181.8,183.4,185.6
高知市 *2,110.4,100.6,91,76.4,73.9,72.3,71.3,72.1,71.7,71.6,71.5,229.8,213.1,192.7,172.8,166.2,162.2,160,155.9,155,156.4,156.9
佐賀市,51.6,50.3,47.3,40,37.7,36.8,37.3,37.8,38.4,39.2,40.1,118.6,111.5,104,88.2,84.1,82.2,81.3,80.9,83.5,88.7,92.5
長崎市 *2,62.9,61.7,60.1,55.2,55.1,54.8,54.8,55.5,57,58.8,60.9,214.9,215,209.4,206.1,218.1,221.5,216.9,228.4,246.9,265.1,282.3
（熊本市）,69.4,66.8,66.1,－,－,－,－,－,－,－,－ ,276.5,252.8,245.6,－,－,－,－,－,－,－,－ 
大分市 *2,55.6,53.9,52.4,49.1,48.8,48.5,48.1,51.2,51.8,52.6,53.9,139.6,131.6,125.3,117.2,116.7,115.3,114.5,118.7,121.2,137.5,141.9
宮崎市 *2,57.8,55.6,54.3,48.5,46.8,46.4,47.3,47.3,47.4,47.6,47.9,132.5,113.7,108.9,97.6,95.9,94.1,92,91.8,91.9,92.3,93
鹿児島市 *2,100.1,98.6,95.9,91.7,91.3,90.2,89.2,88.8,88.9,89.2,89.8,306.1,298.6,293,287.1,324,321.9,282.2,263.4,266.1,271.3,275.7
那覇市 *2,122.2,120.3,122.6,122.6,124.6,126.4,129.3,133.3,142.7,160.2,177,226.6,225,206,209.4,215,219.8,229.5,250.7,274.9,337.3,425.8
県庁所在地平均,173.7,173.4,171.4,169.1,164,166.9,180.3,187,192.5,200.1,207.9,824.2,795.1,776.5,731.9,771.4,810.9,876.5,958.8,1037.5,1131.5,1234.5
旭川市,24.5,23.6,23.1,20.5,20.3,20.2,20.2,20.1,20.1,20.1,20.1,64.4,60.4,57.7,53.5,52.8,52.6,53,53,53,53,53.3
郡山市,52.8,50.7,46.5,43.6,43.6,45.6,48.2,51.6,52.9,53.9,55,116.5,115,104.4,100.4,99.8,102.5,107.1,107.2,109.1,111.1,112.9
いわき市,38.1,36.5,34.4,32.3,34.4,37.1,39.7,41.7,42.9,43.4,43.4,59.2,57.7,54.1,52.2,55.3,57.2,57.2,58.3,58.9,59.5,59.7
高崎市,62,59.6,57.5,54.4,53.9,53.8,53.5,55.4,55.8,56.2,56.7,125.5,118.5,112.1,101.5,106,105.2,98.7,99.9,102.9,107.1,112.1
川越市,144.9,142.1,139.2,131,130.7,130.6,131.2,132,133.3,135.4,137,313.9,308.6,302.2,300.6,308.1,309.3,315.5,321,328.8,312.7,320.4
川口市,181.7,180.5,177.8,189.2,191.5,193.3,191.7,192.8,195.3,198.9,209.5,612.2,629.8,584.3,582.6,584.7,593.5,602.1,615.2,633.2,660.7,708.5
所沢市,162.1,160.3,157.9,156.2,162,164.3,163.1,164,166.2,168.6,170.7,392.1,382,375.8,375.4,377.7,360.9,364.8,372.1,379.2,387.6,394.3
越谷市,138.3,135.5,132.1,125.1,127,126.9,126.4,128.2,129.9,131.5,132.8,233.3,224.2,216,204,208.7,208.7,203,203,203.6,204.1,205
市川市,208.3,208.1,202.9,197.5,199.6,200.6,204.4,205.1,207.9,211.4,216.2,613,601.7,578.2,561.1,571.5,582.2,594.9,615.9,646.5,766.9,871.9
船橋市,143.7,142.2,140.2,136.6,139,140.7,141.9,143.2,145.3,148.5,151.9,367.7,364.4,358.9,358.5,373.7,383,385.2,395.2,411.3,441.9,487.1
松戸市,139.8,136.8,132.8,128.9,132.7,132.9,132,132.8,133.6,135,136.4,366.1,355.9,344.3,338.3,334.9,338.8,343.5,352.2,360.5,382.1,401.8
柏市,117.6,115.6,114.2,108.8,108.9,108,107.8,109.7,109.4,110,110.3,506.5,497.7,483.1,447.4,451.1,454.5,460.1,467,472.8,484,491
八王子市,112.9,112.5,111.1,111.9,114.2,115.2,114.5,115.5,115.8,116.2,116.7,438.3,426.9,416.1,408.9,413.5,420.1,428.7,436.1,442.5,450.9,462.7
町田市,155.9,154.2,153.2,151.9,152,152.6,155.7,155.8,156,156.4,156.7,687.7,699.7,692.2,623.2,637.7,649.5,664.8,681.6,697.8,716.2,737.8
横須賀市,132,129.7,127.3,124.6,124.1,121.8,117.9,115.2,112.6,110.3,108.6,311.1,304.9,298.7,294.3,291.6,289.1,286.9,284.9,283.4,283.8,283.5
藤沢市,191.3,187.9,186.6,184.6,186,187.1,188.5,188.4,188.6,187.7,188.4,395.6,398.8,390.9,376.5,377.2,378.7,380.3,381.9,383.5,390.3,409.8
（相模原市）,152.7,－,－,－,－,－,－,－,－,－,－ ,284.7,－,－,－,－,－,－,－,－,－,－ 
（浜松市）,－,－,－,－,－,－,－,－,－,－,－ ,－,－,－,－,－,－,－,－,－,－,－ 
豊橋市,87,86.6,86.3,78.5,79,79.2,78.1,78,77.9,77.8,77.9,146.3,144,144,134.3,138.8,138.8,133.8,133.7,133.5,134.2,136.1
岡崎市,97.7,97.9,98,93,95.5,96.7,97,98.8,99.6,101.5,103.4,122.4,121.7,121.4,119.8,121.2,126,126.1,126.8,127.5,128.3,129.1
一宮市,73.5,72.1,71.6,69.9,70.2,70.8,71,74.3,75,76.9,78.1,116.3,111.8,110.8,106.5,109.6,110.8,110.8,113.3,115.9,119.2,122.3
春日井市,94.7,94.3,94.3,93.1,94.6,95.4,97.4,98.1,99.9,102.9,105.4,132.4,128.5,128.2,128.2,128.4,129,129.8,131.4,134,138,141.5
豊田市,93.1,93,93.2,86.7,87.2,89.2,95.5,98.3,101.6,105.4,108.8,142.9,141.6,141.8,144.9,150.9,157.3,155.9,158.3,163.3,170.2,176.5
四日市市,52.5,51.6,50.6,48.1,47.5,47.3,47.4,47.2,47.1,47.2,47.3,90.8,89.6,88.1,80.8,81.1,81.4,81.7,81.5,82.2,83.2,84.5
（堺市）,－,－,－,－,－,－,－,－,－,－,－ ,－,－,－,－,－,－,－,－,－,－,－ 
豊中市,199.5,197.7,197.1,195.5,199.5,200.5,198.4,201.2,203.7,206.7,209.9,364,354.9,353.4,339.4,347.5,354.5,365.1,376.6,392.1,430.1,491
吹田市,200.6,198.4,198.7,198.2,200.7,201.6,200.5,201.6,203,206.4,210.1,391.4,368.7,367.7,354.2,391.4,417.4,409.9,396.2,419.3,509.5,603.2
高槻市,159.9,155,154,147.3,149.7,150.6,149.3,149.1,149,151.4,152.1,333.2,323.8,321.6,250.7,252,255.2,259.3,263.6,268.9,278.3,288.7
枚方市,131.8,128.1,126.6,123.2,123.3,123.7,124.1,124.6,125,125.5,126.3,241.8,234.3,232,208.6,209.5,211.7,216.1,238.3,242.3,250.3,259.8
東大阪市,152.7,150.5,149.6,147.3,147.9,147.5,147.4,147.1,147,146.8,146.6,233.3,225.6,221.3,218.6,222.6,222.1,216.9,216.9,217.7,219.6,221.2
姫路市,74,73.2,72.2,68.7,67.6,66.9,66.6,68,67.5,68.2,68.1,175.1,170.5,167.2,159.3,158.9,159.4,160.6,163.9,169.5,184.1,194.1
尼崎市,193.5,188.4,187.5,186.8,187.7,188.3,188.6,188.8,188.6,188.5,189.1,302.4,291.2,305.4,302.1,310.2,311.7,316.6,320.8,324.7,329.9,340.1
西宮市,224.7,221.8,223.9,223.5,231.9,236.6,238.4,243.3,246.6,250,255.2,350.1,339.9,336.5,350.8,362.4,371.1,381.8,393.2,406.1,419.1,439.9
倉敷市,52.8,50.8,49.8,45.6,46.4,46.2,45.9,45.8,45.9,46,46.3,94.7,93.6,91.3,81.5,82,81.6,80.2,79.9,80.2,81,82.1
福山市,55.1,53.9,52.3,48.3,47.1,46.3,45.9,45.6,45.7,46,46.5,141.4,139.8,133.8,127.7,126.9,123.6,116.4,115.4,116.4,119.1,123.7
久留米市,55,53.4,52.4,52.2,54.1,54.4,52.9,53.3,53.8,113.9,52.6,101,96.8,93.2,91.6,97.7,98.1,91.9,93.3,95.6,137.4,108.4
"30万人以上都市平均
（三大都市圏除く）",72.7,71.3,69.8,65.6,66.5,67.4,68.1,70.3,70.4,75.5,77.9,223.5,215.7,209.2,191.5,198.9,209.6,216.4,223,223.2,261.5,306.1
"30万人以上都市平均
（三大都市圏含む）",164.5,163.7,162.1,159.1,155.6,158.7,168.8,174,174.2,184.1,190.4,733.2,708.3,692.3,654.6,686.9,724.2,780.2,850.6,851.5,996.8,1087.1
全国平均,113.7,112.1,110.7,106.3,101.7,102.6,109.8,112.1,114.1,116.9,119.9,428.1,415.1,405.6,381.6,396.3,412.9,444.5,480.3,514.8,556.8,603.4
