年(平成・令和),実数／個人(千m2),実数／法人(千m2),実数／国等(千m2),実数／合計(千m2),平成2年との比／個人(実数/平成2年値×100),平成2年との比／法人(実数/平成2年値×100),平成2年との比／国等(実数/平成2年値×100),平成2年との比／合計(実数/平成2年値×100)
2,2225,4177,278,6680,100,100,100,100
3,2254,3727,485,6466,101,89,174,97
4,1959,3027,585,5571,88,72,210,83
5,2158,3585,558,6301,97,86,201,94
6,2140,3155,408,5703,96,76,147,85
7,2354,3281,385,6019,106,79,138,90
8,2623,3705,405,6733,118,89,146,101
9,3257,4665,384,8306,146,112,138,124
10,2767,4170,267,7205,124,100,96,108
11,3446,5710,364,9520,155,137,131,143
12,3605,5180,290,9074,162,124,104,136
13,3514,5632,232,9379,158,135,83,140
14,3541,5973,189,9703,159,143,68,145
15,4036,7165,281,11481,181,172,101,172
16,3383,5515,322,9220,152,132,116,138
17,3654,6650,175,10479,164,159,63,157
18,3268,6619,344,10231,147,158,124,153
19,3042,6687,1075,10804,137,160,387,162
20,3161,5195,383,8740,142,124,138,131
21,4131,3952,368,8451,186,95,132,127
22,3319,5545,238,9103,149,133,86,136
23,3407,4402,341,8150,153,105,123,122
24,2177,3803,374,6354,98,91,134,95
25,2529,4516,285,7330,114,108,103,110
26,2352,4504,284,7140,106,108,102,107
27,2394,4642,387,7423,108,111,139,111
28,2262,4825,290,7377,102,116,104,110
29,2221,4774,263,7257,100,114,94,109
30,2044,4857,298,7200,92,116,107,108
31,2091,4710,236,7037,94,113,85,105
2,2020,4107,209,6337,91,98,75,95
