区分,平成29年－平成28年計／床面積（千m2）,平成29年－平成28年計／増減率（％）,平成29年－平成28年住宅・アパート／床面積（千m2）,平成29年－平成28年住宅・アパート／増減率（％）,平成29年－平成28年事務所・店舗等／床面積（千m2）,平成29年－平成28年事務所・店舗等／増減率（％）,平成29年－平成28年工場・倉庫／床面積（千m2）,平成29年－平成28年工場・倉庫／増減率（％）,平成29年－平成28年その他／床面積（千m2）,平成29年－平成28年その他／増減率（％）
区部＿千代田区,36 ,0.2 ,33 ,0.8 ,-6 ,0.0 ,-3 ,-1.3 ,12 ,0.8 
区部＿中央区,445 ,2.0 ,376 ,5.6 ,12 ,0.1 ,9 ,2.0 ,47 ,5.9 
区部＿港区,150 ,0.4 ,145 ,1.0 ,-8 ,0.0 ,-11 ,-1.4 ,25 ,1.4 
区部＿新宿区,175 ,0.7 ,216 ,1.5 ,-6 ,-0.1 ,-39 ,-8.4 ,5 ,0.4 
区部＿文京区,26 ,0.2 ,48 ,0.5 ,-13 ,-0.5 ,-5 ,-1.9 ,-4 ,-1.2 
区部＿台東区,155 ,1.2 ,80 ,0.9 ,44 ,1.3 ,-5 ,-1.3 ,37 ,4.8 
区部＿墨田区,147 ,1.1 ,133 ,1.3 ,-5 ,-0.2 ,-11 ,-1.2 ,30 ,13.3 
区部＿江東区,381 ,1.3 ,203 ,1.2 ,-12 ,-0.2 ,193 ,3.7 ,-4 ,-0.5 
区部＿品川区,-46 ,-0.2 ,96 ,0.7 ,-98 ,-1.6 ,-42 ,-2.3 ,-2 ,-0.3 
区部＿目黒区,62 ,0.5 ,75 ,0.7 ,-9 ,-0.5 ,-4 ,-2.6 ,0 ,0.0 
区部＿大田区,215 ,0.6 ,244 ,1.0 ,1 ,0.0 ,-48 ,-1.0 ,17 ,1.5 
区部＿世田谷区,480 ,1.3 ,326 ,1.0 ,161 ,6.5 ,-7 ,-1.4 ,1 ,0.1 
区部＿渋谷区,122 ,0.6 ,111 ,1.0 ,9 ,0.1 ,3 ,1.6 ,-2 ,-0.3 
