区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2004(千m2),年代別床面積／2005～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2019(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,466,2227,2300,3779,2636,2052,2534,2221,2091,20305,27.5
中央区,444,2061,2079,2940,2729,1322,1020,1410,1466,15471,30.3
港区,166,1106,2816,4491,4700,3808,2501,1201,1524,22313,26.8
新宿区,184,1176,2375,2534,2662,461,331,747,531,11001,33.2
文京区,71,190,344,727,1129,362,104,150,61,3137,30.5
台東区,210,352,616,1098,1070,172,176,286,425,4405,31.7
墨田区,106,279,381,638,959,241,136,383,126,3248,29.8
江東区,67,335,835,1866,3972,1343,2034,1388,936,12775,23
品川区,76,426,878,1511,2813,951,796,605,472,8528,26.8
目黒区,37,174,334,247,806,173,105,78,66,2020,31.1
大田区,104,535,1111,2159,2390,1126,896,1113,958,10391,25.8
世田谷区,43,277,477,524,892,284,294,324,358,3473,27.3
渋谷区,81,616,1112,1424,2590,911,573,552,545,8404,27.9
中野区,28,102,224,176,552,77,101,263,58,1580,27.3
杉並区,43,209,288,423,508,157,142,132,94,1995,31.2
豊島区,162,426,1250,1072,1114,133,201,207,106,4671,34.9
北区,78,273,275,369,571,197,246,130,204,2342,29.8
荒川区,77,141,155,222,388,136,115,70,71,1377,31.2
板橋区,116,395,692,671,831,340,331,295,187,3857,31.5
練馬区,38,207,303,507,601,255,160,194,155,2420,29.1
足立区,85,343,951,987,885,410,548,377,379,4964,29.1
葛飾区,70,230,344,432,474,148,325,130,187,2339,29.8
江戸川区,63,231,464,1118,1147,297,241,187,187,3935,30
合計,2814,12308,20602,29915,36419,15355,13911,12442,11186,154952,28.4
都心３区,1076,5393,7195,11210,10066,7181,6054,4831,5081,58089,27.9
都心５区,1341,7185,10682,15168,15318,8554,6958,6131,6157,77494,28.7
他18区,1473,5123,9920,14747,21101,6801,6952,6311,5029,77457,28.2
