順位,標準地番号,都道府県,標準地の所在地,令和３年,令和４年,変動率
1,北広島－5－2,北海道,栄町１丁目１番３,"56,000","67,000",19.6
2,北広島－5－1,北海道,中央２丁目１番２,"37,200","44,000",18.3
3,福岡博多－5－21,福岡県,祇園町３５５番１,"1,780,000","2,100,000",18
4,恵庭－5－4,北海道,緑町２丁目７７番,"34,000","39,500",16.2
5,福岡博多－5－5,福岡県,博多駅南３丁目１３３番,"489,000","568,000",16.2
6,福岡中央－5－26,福岡県,渡辺通２丁目３号５４番,"900,000","1,040,000",15.6
7,福岡中央－5－7,福岡県,清川２丁目４号１３番１,"460,000","530,000",15.2
8,福岡中央－5－20,福岡県,天神４丁目３８番,"1,590,000","1,830,000",15.1
9,福岡東－5－2,福岡県,名島３丁目２８２９番,"235,000","270,000",14.9
10,福岡博多－5－11,福岡県,博多駅東３丁目３１番,"1,010,000","1,160,000",14.9
