年(昭和・平成・令和),平均年収(万円),平均年収／名目増加率(%),年収5倍額(万円),平均価格／区部(万円),平均価格／多摩(万円),平均価格／都(万円),年収倍率／区部(倍),年収倍率／多摩(倍),年収倍率／都(倍)
58,528,2.5,2642,2647,2585,2637,5,4.9,5
59,566,7.2,2831,2744,2518,2709,4.8,4.4,4.8
60,602,6.3,3009,3016,2545,2924,5,4.2,4.9
61,623,3.5,3115,3313,2713,3201,5.3,4.4,5.1
62,642,3,3208,4791,3378,4466,7.5,5.3,7
63,663,3.3,3314,7183,5219,6613,10.8,7.9,10
元,681,2.7,3404,8125,5140,7340,11.9,7.5,10.8
2,734,7.7,3668,8481,6150,7773,11.6,8.4,10.6
3,757,3.2,3785,8667,6088,7855,11.4,8,10.4
4,775,2.4,3877,6941,4852,6399,9,6.3,8.3
5,812,4.8,4062,5344,4721,5169,6.6,5.8,6.4
6,804,-1.1,4018,5200,4629,5050,6.5,5.8,6.3
7,779,-3.1,3893,4665,4389,4583,6,5.6,5.9
8,756,-3,3778,4888,4384,4760,6.5,5.8,6.3
9,787,4.2,3936,5133,4288,4917,6.5,5.4,6.2
10,788,0.1,3940,4815,4180,4662,6.1,5.3,5.9
11,771,-2.2,3855,4723,4125,4589,6.1,5.4,6
12,773,0.3,3865,4632,3966,4482,6,5.1,5.8
13,754,-2.5,3770,4723,3835,4517,6.3,5.1,6
14,760,0.8,3800,4666,3878,4464,6.1,5.1,5.9
15,700,-7.9,3500,4599,3786,4416,6.6,5.4,6.3
16,716,2.3,3580,4663,3820,4515,6.5,5.3,6.3
17,694,-3.1,3470,4920,3834,4677,7.1,5.5,6.7
18,703,1.3,3515,5149,3932,4871,7.3,5.6,6.9
19,689,-2,3445,6120,4263,5529,8.9,6.2,8
20,698,1.2,3488,5932,4668,5656,8.5,6.7,8.1
21,718,3,3592,5190,4335,5047,7.2,6,7
22,739,2.8,3694,5497,4474,5349,7.4,6.1,7.2
23,678,-8.2,3390,5339,4152,5125,7.9,6.1,7.6
24,691,1.9,3453,5283,4318,5090,7.7,6.3,7.4
25,694,0.4,3472,5853,4238,5634,8.4,6.1,8.1
26,703,1.3,3514,5994,4726,5772,8.5,6.7,8.2
27,690,-1.9,3448,6732,4564,6240,9.8,6.6,9
28,727,5.4,3633,6629,4985,6274,9.1,6.9,8.6
29,696,-4.2,3480,7089,5054,6681,10.2,7.3,9.6
30,759,9,3794,7142,5235,6785,9.4,6.9,8.9
31,808,6.5,4041,7286,5487,7006,9,6.8,8.7
2,842,4.2,4209,7712,5460,7196,9.2,6.5,8.5
