区分,年代別床面積／～1959(千m2),年代別床面積／1960～1969(千m2),年代別床面積／1970～1979(千m2),年代別床面積／1980～1989(千m2),年代別床面積／1990～1999(千m2),年代別床面積／2000～2004(千m2),年代別床面積／2005～2009(千m2),年代別床面積／2010～2014(千m2),年代別床面積／2015～2019(千m2),年代別床面積／合計(千m2),各区平均築後年数(年)
千代田区,529,2470,2934,4435,2920,2733,3241,2724,2518,24504,27
中央区,631,2237,2713,3778,3700,2674,2475,2238,2676,23122,27.2
港区,335,1906,4921,6484,6691,6364,5751,2663,2717,37833,25.8
新宿区,514,2209,4844,5354,4971,2220,1845,2061,1987,26004,30
文京区,339,741,1718,2532,2924,1495,1088,1038,822,12696,28.5
台東区,755,1174,2114,2780,2494,1033,1078,1081,1270,13778,30.9
墨田区,496,992,1790,2487,2940,1257,1553,1301,1051,13868,28.2
江東区,293,1194,3380,5212,6756,3761,4929,3136,2226,30888,24.5
品川区,488,1220,2841,4347,5309,2719,2588,1928,2143,23582,26.5
目黒区,273,864,1967,2205,3393,1461,1292,1113,1001,13569,27.7
大田区,759,2014,4625,6983,8038,4128,3480,3365,3118,36509,26.9
世田谷区,633,1843,4712,7008,8819,4462,4074,3618,3330,38499,26.1
渋谷区,253,1432,3234,3575,4648,2481,1747,1612,1463,20445,27.9
中野区,382,987,1990,2254,3187,1289,1142,1290,1169,13689,28.1
杉並区,532,1387,3366,4377,5119,2424,2131,1878,1788,23002,28
豊島区,496,1233,2895,3295,3235,1215,1499,1219,990,16076,30.2
北区,442,1201,2361,2310,2921,1290,1247,1233,1268,14273,29.1
荒川区,352,699,1173,1533,1923,924,1182,732,675,9194,28.3
板橋区,433,1334,4107,4571,4795,2438,2105,1923,1731,23436,28.5
練馬区,321,1379,3352,5398,7055,3144,2529,2293,2389,27861,26.3
足立区,415,1555,4128,5100,5669,2726,3213,2515,2315,27636,26.9
葛飾区,315,1174,2402,3487,4068,1767,1793,1467,1428,17902,27.6
江戸川区,226,1031,3262,5678,7398,2950,2254,1941,1774,26515,26.8
合計,10211,32274,70828,95184,108973,56955,54236,44369,41851,514882,27.3
都心３区,1494,6614,10568,14697,13311,11771,11467,7626,7912,85459,26.5
都心５区,2261,10254,18645,23626,22930,16472,15059,11299,11362,131908,27.4
他18区,7950,22020,52183,71558,86043,40483,39177,33070,30489,382973,27.3
