地域,年代別床面積（千m2）／～1959,年代別床面積（千m2）／1960～1969,年代別床面積（千m2）／1970～1979,年代別床面積（千m2）／1980～1989,年代別床面積（千m2）／1990～1994,年代別床面積（千m2）／1995～1999,年代別床面積（千m2）／2000～2004,年代別床面積（千m2）／2005～2009,年代別床面積（千m2）／2010～2017,年代別床面積（千m2）／合計,"平均築後年数（年）"
千代田区,330,1963,1995,3417,1698,709,1987,2200,2825,17125,26.5
中央区,316,1590,1665,2595,2058,491,1144,727,1692,12278,29.5
港区,138,"0,951",2031,3894,2571,1395,3366,2163,1722,18231,25.2
新宿区,39,439,1709,1698,1528,805,332,140,739,7430,29.8
文京区,34,106,206,543,574,394,194,64,133,2248,27.8
台東区,24,206,420,720,702,147,82,89,232,2621,30.1
墨田区,15,70,121,252,335,269,161,51,60,1335,26.8
江東区,8,72,152,640,1397,723,427,841,922,5181,20.2
品川区,6,124,338,950,1364,755,708,518,587,5349,23.0
目黒区,13,92,248,170,473,100,137,47,50,1329,29.6
大田区,15,144,352,488,842,227,411,300,396,3174,24.6
世田谷区,12,88,201,287,378,162,92,62,235,1516,26.3
渋谷区,11,410,812,1157,1140,884,644,346,611,6014,26.6
中野区,1,54,116,119,235,253,40,8,217,1044,24.2
杉並区,8,78,112,245,232,70,59,39,45,886,30.0
豊島区,23,124,850,710,551,104,67,56,62,2546,33.1
北区,6,75,101,142,230,54,58,85,77,829,27.2
荒川区,13,31,45,118,172,24,37,48,30,517,27.7
板橋区,5,83,121,187,240,103,64,40,108,950,27.8
練馬区,3,83,102,140,190,61,55,26,65,724,29.3
足立区,7,56,123,193,113,80,55,61,110,796,27.3
葛飾区,6,75,67,128,76,41,22,57,61,533,29.2
江戸川区,6,54,89,283,310,70,67,49,76,1003,27.8
区全体,1038,6967,11974,19075,17410,7918,10209,8017,11052,93660,26.7
都心３区,784,4504,5691,9907,6327,2594,6497,5091,6239,47634,26.8
都心５区,834,5353,8211,12762,8995,4283,7474,5577,7589,61077,27.1
他１８区,203,1614,3762,6314,8415,3635,2735,2441,3464,32583,26.0
