区分,年代別床面積／～1959（千m2）,年代別床面積／1960～1969（千m2）,年代別床面積／1970～1979（千m2）,年代別床面積／1980～1989（千m2）,年代別床面積／1990～1994（千m2）,年代別床面積／1995～1999（千m2）,年代別床面積／2000～2004（千m2）,年代別床面積／2005～2009（千m2）,年代別床面積／2010～2017（千m2）,年代別床面積／合計（千m2）,各区平均築後年数（年）
千代田区,528,2360,2461,3852,1856,886,2105,2572,3156,19775,27.4
中央区,471,2233,2182,3024,2188,560,1362,1029,2150,15198,30.1
港区,225,1309,2933,4598,2943,1843,3858,2525,2057,22291,26.0
新宿区,197,1277,2407,2569,1752,951,473,368,1103,11097,31.8
文京区,97,202,355,737,711,456,369,117,192,3238,29.1
台東区,230,401,703,1186,868,214,178,198,550,4527,31.5
墨田区,118,301,399,658,493,471,262,139,472,3312,28.5
江東区,75,355,878,1912,2481,1571,1384,2046,2146,12847,21.5
品川区,86,439,914,1521,1717,1108,988,807,816,8395,25.7
目黒区,39,195,358,255,663,146,175,112,107,2051,30.0
大田区,123,565,1139,2189,1811,655,1139,900,1572,10092,25.3
世田谷区,47,286,512,536,581,332,302,306,619,3522,26.0
渋谷区,90,667,1176,1448,1449,1186,927,620,858,8422,26.9
中野区,29,115,226,179,275,287,79,107,308,1605,25.8
杉並区,46,228,291,449,342,170,164,146,175,2010,30.2
豊島区,174,436,1266,1091,931,206,149,234,248,4735,33.3
北区,83,301,299,385,417,212,204,248,254,2404,29.2
荒川区,84,155,173,233,278,111,157,128,123,1441,29.9
板橋区,120,407,715,680,520,336,357,331,417,3885,30.1
練馬区,42,220,320,537,374,243,271,166,280,2453,28.2
足立区,91,366,995,1008,486,442,412,572,609,4979,28.1
葛飾区,75,246,367,445,261,228,149,327,275,2373,28.7
江戸川区,69,247,514,1162,769,409,311,242,302,4025,28.9
合計,3138,13311,21583,30652,24167,13020,15775,14242,18790,154677,27.6
都心３区,1224,5901,7575,11473,6986,3289,7325,6126,7363,57264,27.6
都心５区,1510,7846,11158,15490,10187,5426,8726,7115,9325,76783,28.1
他18区,1627,5466,10425,15161,13980,7594,7049,7127,9465,77895,27.1
