順位,標準地番号,都道府県,標準地の所在地,令和３年,令和４年,変動率
1,大阪中央－5－19,大阪府,道頓堀１丁目３７番外,"5,800,000","4,900,000",-15.5
2,大阪中央－5－24,大阪府,日本橋１丁目１６番４外,"1,160,000","990,000",-14.7
3,大阪中央－5－2,大阪府,宗右衛門町４６番１外,"21,100,000","18,800,000",-10.9
4,大阪中央－5－23,大阪府,心斎橋筋２丁目３９番１,"14,900,000","13,300,000",-10.7
5,大阪中央－5－15,大阪府,難波１丁目１４番２２外,"7,650,000","6,890,000",-9.9
6,大阪中央－5－35,大阪府,千日前２丁目１５６番９,"660,000","595,000",-9.8
7,高山－5－1,岐阜県,上三之町５１番,"303,000","274,000",-9.6
8,大阪浪速－5－3,大阪府,日本橋４丁目３番７外,"1,130,000","1,030,000",-8.8
9,大阪中央－5－20,大阪府,西心斎橋２丁目１０番６外,"3,060,000","2,820,000",-7.8
10,江田島－5－1,広島県,江田島町中央１丁目１７５３５番２外,"45,600","42,200",-7.5
