順位,標準地番号,都道府県,標準地の所在地,令和２年,令和３年,変動率
1,倶知安－5－1,北海道,南１条西１丁目４０番１外,"100,000","121,000",21.0
2,福岡中央－5－7,福岡県,清川２丁目４号１３番１,"400,000","460,000",15.0
3,福岡博多－5－10,福岡県,店屋町２１０番１外,"728,000","830,000",14.0
4,福岡中央－5－8,福岡県,平尾２丁目２８１番,"695,000","790,000",13.7
5,福岡博多－5－14,福岡県,奈良屋町１２０番外,"780,000","880,000",12.8
6,福岡博多－5－21,福岡県,祇園町３５５番１,"1,580,000","1,780,000",12.7
7,福岡中央－5－4,福岡県,春吉３丁目１１号３４番外,"800,000","900,000",12.5
8,福岡博多－5－15,福岡県,博多駅前１丁目４７０番１外,"1,240,000","1,390,000",12.1
9,北広島－5－2,北海道,栄町１丁目１番３,"50,000","56,000",12.0
10,福岡博多－5－8,福岡県,諸岡１丁目１９番５,"202,000","226,000",11.9
