区市町村名　/　用途別,住宅地：昭和58年,住宅地：最高値,住宅地：平成30年,住宅地：上昇率,住宅地：下落率,住宅地：31／58,商業地：昭和58年,商業地：最高値,商業地：平成30年,商業地：上昇率,商業地：下落率,商業地：31／58
千代田区,158,9127,2688.6,762.6,-7.5,2.5,2467,17527,682.9,61.5,-61.2,2.8
中央区,535,375,1252,6.9,-66.6,2.3,3246,19258,9534.5,493.3,-5.5,2.9
港区,72,5717,189.4,714.6,-66.9,2.7,2382,1829,4554,667.8,-75.1,1.9
新宿区,516,295,751.1,35.9,-64.2,1.5,289,16346,475.9,481.8,-7.9,1.7
文京区,59,161,929.8,216.1,-42.2,1.8,182,623,145.1,456.5,-76.7,1.3
台東区,577,1535,863.8,166.2,-43.7,1.5,1416,6237,144.3,34.6,-76.9,1
墨田区,265,61,415.5,13.2,-31.9,1.6,654,3543,736.6,441.7,-79.2,1.1
江東区,26,947,454.7,263.9,-52,1.7,636,2956,823.5,364.4,-72.1,1.3
品川区,453,1597,82.9,252.4,-49.7,1.8,122,6487,1584.4,439.6,-75.6,1.3
目黒区,497,1919,913.3,286.3,-52.4,1.8,1293,5769,1696.9,346.1,-7.6,1.3
大田区,39,1532,51.3,292.9,-66.7,1.3,897,3941,85,339.2,-78.4,0.9
世田谷区,381,138,614.8,262.2,-55.4,1.6,818,3485,951.4,325.9,-72.7,1.2
渋谷区,533,3167,1232,493.8,-61.1,2.3,263,16796,6599.7,545.2,-6.7,2.5
中野区,385,1229,571.7,219,-53.5,1.5,953,3897,113.6,39,-71.7,1.2
杉並区,34,1192,521.9,25.9,-56.2,1.5,977,362,893.8,268.7,-75.2,0.9
豊島区,47,135,587.2,231.8,-56.5,1.4,2245,1532,266,369.2,-8.4,0.9
北区,335,888,492.8,165,-44.5,1.5,736,2792,887.4,279.2,-68.2,1.2
荒川区,355,848,466.8,138.7,-44.9,1.3,674,2627,82.2,289.7,-69.5,1.2
板橋区,295,826,411.8,18.3,-5.2,1.4,84,275,667.7,242,-75.7,0.8
練馬区,269,868,382,223.1,-56,1.4,798,388,725.6,287,-76.5,0.9
足立区,219,552,297.8,152.4,-46.1,1.4,522,1996,547,282.1,-72.6,1
葛飾区,249,619,311.3,148.7,-49.7,1.3,831,2481,493.9,198.7,-8.1,0.6
江戸川区,247,797,348.3,223.2,-56.3,1.4,679,3283,612.4,383.9,-81.3,0.9
区部,356,1361,61.3,282.2,-55.8,1.7,1496,867,31,475.4,-65,2
八王子市,132,324,116.2,144.9,-64.1,0.9,658,2864,45.9,335.2,-84.3,0.7
立川市,184,497,245.8,169.4,-5.5,1.3,137,4987,1291.4,381,-74.1,1.2
武蔵野市,321,1234,55.9,284.8,-55.4,1.7,1514,6265,1792.5,313.9,-71.4,1.2
三鷹市,271,877,45,223.2,-53.8,1.5,9,475,798.5,427.8,-83.2,0.9
青梅市,126,28,95.4,121.8,-66,0.8,375,112,192.6,199.1,-82.8,0.5
府中市,22,598,289,172.4,-51.7,1.3,557,265,54.8,375.8,-79.6,1
昭島市,162,382,185,136.4,-51.5,1.1,46,148,312,264.5,-78.9,0.8
調布市,241,85,331.2,234.5,-58.9,1.4,685,389,733.1,467.9,-81.2,1.1
町田市,172,495,156.4,188.6,-68.4,0.9,767,3912,716.2,41.3,-81.7,0.9
小金井市,264,673,327.3,154.7,-51.4,1.2,122,46,662.6,277,-85.6,0.5
小平市,214,595,227.5,177.6,-61.8,1.1,38,161,32.6,324.2,-8.1,0.8
日野市,176,446,19.1,153.7,-57.4,1.1,649,297,414.5,358,-86,0.6
東村山市,189,52,185.9,175,-64.2,1,679,1935,33.1,185,-84.3,0.4
国分寺市,227,639,285.2,181.6,-55.4,1.3,738,3435,593.6,365.8,-82.7,0.8
国立市,231,842,335.6,265.2,-6.1,1.5,84,395,62.7,37.2,-84.3,0.7
福生市,149,33,163.9,121.3,-5.4,1.1,371,218,293.4,487.6,-86.5,0.8
狛江市,258,837,32.7,223.9,-63.8,1.2,61,253,467,314.8,-81.5,0.8
東大和市,166,376,168.9,125.7,-55,1,468,129,197.7,175.6,-84.7,0.4
清瀬市,187,493,184.6,163.1,-62.6,1,56,247,35.5,341.1,-85.8,0.6
東久留米市,212,583,213.7,175.2,-63.4,1,6,233,283.8,288.3,-87.8,0.5
武蔵村山市,136,262,121.9,92.4,-53.5,0.9,276,465,149,68.5,-68,0.5
多摩市,183,642,184.1,25.6,-71.3,1,478,27,397.2,464.9,-85.3,0.8
稲城市,178,444,219.8,149.3,-5.5,1.2,242,74,249.7,25.8,-66.3,1
羽村市,146,313,14,114.6,-55.3,1,315,8,179,154,-77.6,0.6
あきる野市,16,26,98.9,94.2,-52.1,0.9,136,346,171,154,-5.5,1.3
西東京市,237,687,284.2,19,-58.7,1.2,666,215,415.6,216.1,-8.3,0.6
瑞穂町,14,2,93,92.5,-53.6,0.9,146,387,121,165.1,-68.7,0.8
日の出町,17,182,88.6,69.3,-51.3,0.8,,91,92.5,,1.3,
檜原村,,3,,,,,,,,,,
奥多摩町,,4,,,,,,,,,,
多摩地域,189,532,211.6,181,-6.2,1.1,68,329,6,345.4,-8.2,0.9
大島町,,14,9.7,,-31.2,,,18,44.4,,-58.9,
新島村,,7,6.6,,-6.4,,,1,9.3,,-7,
神津島村,,7,7.1,,-0.7,,,1,9.5,,-5,
三宅村,,1,9,,-13.1,,,13,11,,-12,
八丈町,,13,9.1,,-27.8,,,43,31.1,,-27.3,
小笠原村,,42,4.8,,-3.1,,,75,75,,,
島しょ,,16,13.7,,-16.5,,,45,3.1,,-33.2,
東京都,27,951,415.2,252.1,-56.4,1.5,1349,775,2512.6,474.4,-67.6,1.9
