展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻(●:30分前に終了　▲:1時間前に終了　■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
東京おもちゃショー2024 INTERNATIONAL TOKYO TOY SHOW 2024,2024/8/29,(木),2024/9/1,日,西1・2・4, 8/29 10:00～17:30， 8/30 9:30～17:00， 8/31 9:00～17:00， 9/1 9:00～16:00,,商談/一般, ウェブをご参照ください ,東京おもちゃショーは日本玩具協会が主催する国内最大規模の玩具の展示会です。,東京おもちゃショー事務局,,https://www.tokyotoyshow.com/event/8682?pcode=BS01
コロコロ魂フェスティバル in 東京おもちゃショー2024,2024/8/31,(土),2024/9/1,日,西3, 8/31 9:00～17:00， 9/1 9:00～16:00,,一般, ウェブをご参照ください ,「コロコロ魂フェスティバル」は最先端のホビーやゲーム漫画が集結するイベントです。,コロコロ魂フェスティバル　事務局,,https://corofes.jp/
第24回JAPANドラッグストアショー,2024/8/30,(金),2024/9/1,日,東3-6,10:00-17:00 ,,商談/一般,無料 ウェブをご参照ください ,ドラッグストアとその業界に関連する健康・美容・食品等の商品を一堂に集めた展示会,JAPANドラッグストアショー推進事務局,03-6206-0067,https://www.drugstoreshow.jp/
第98回東京インターナショナル・ギフト・ショー秋2024,2024/9/4,(水),2024/9/6,金,東1-8、西1・2,10:00-18:00 ,▲,商談,無料 (要登録)  ,日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,03-3843-9851,https://www.giftshow.co.jp/tigs/
東京インターナショナル・ギフト・ショー秋2024 第16回LIFEXDESIGN,2024/9/4,(水),2024/9/6,金,東1-8、西1・2,10:00-18:00 ,▲,商談,無料 (要登録)  ,暮らし方から住まいをデザインする、リノベーションのための見本市,LIFE×DESIGN事務局,03-3843-9711,https://www.giftshow.co.jp/tigs/life16/
第36回グルメショー秋2024,2024/9/4,(水),2024/9/6,金,東1-8、西1・2,10:00-18:00 ,▲,商談,無料 (要登録)  ,地域のプレミアムフードが集まる、品質・ライフスタイル志向の食の見本市,グルメ＆ダイニングスタイルショー事務局,03-3847-9853,https://www.gourmetshow.jp/36gs/
LIVING＆DESIGN2024,2024/9/4,(水),2024/9/6,金,東1-8、西1・2,10:00-18:00 ,▲,商談,無料 (要登録)  ,トータルインテリアの国際見本市,LIVING&DESIGN事務局,03-3843-9711,https://www.living-and-design.com/2024au/
第98回東京インターナショナル・ギフト・ショー秋2024 ヤングファッション＆キッズスタッフフェア,2024/9/4,(水),2024/9/6,金,東1-6,10:00-18:00 ,▲,商談,無料 (要登録)  ,日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,03-3843-9851,https://www.giftshow.co.jp/tigs/98tigs/
第98回東京インターナショナル・ギフト・ショー秋2024 ベビー＆キッズフェア,2024/9/4,(水),2024/9/6,金,東1-6,10:00-18:00 ,▲,商談,無料 (要登録)  ,日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,03-3843-9851,https://www.giftshow.co.jp/tigs/98tigs/
第98回東京インターナショナル・ギフト・ショー秋2024 ステーショナリー＆ペーパーグッズフェア,2024/9/4,(水),2024/9/6,金,東1-6,10:00-18:00 ,▲,商談,無料 (要登録)  ,日本最大のパーソナルギフトと生活雑貨の国際見本市,インターナショナル・ギフト・ショー事務局,03-3843-9851,https://www.giftshow.co.jp/tigs/98tigs/
