 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"830,529",103.1%,"805,196","830,529",103.1%,"805,196"
,,再利用資材,"134,663",122.3%,"110,143","134,663",122.3%,"110,143"
,,産業機械,"113,298",94.8%,"119,504","113,298",94.8%,"119,504"
,,その他化学工業品,"113,015",93.2%,"121,210","113,015",93.2%,"121,210"
,,自動車部品,"110,424",111.6%,"98,915","110,424",111.6%,"98,915"
,,金属くず,"50,564",141.7%,"35,687","50,564",141.7%,"35,687"
,,電気機械,"40,796",97.5%,"41,863","40,796",97.5%,"41,863"
,,ゴム製品,"29,267",128.3%,"22,806","29,267",128.3%,"22,806"
,,金属製品,"22,490",108.3%,"20,774","22,490",108.3%,"20,774"
,輸入,合計,"3,077,181",100.9%,"3,048,442","3,077,181",100.9%,"3,048,442"
,,衣服・身廻品・はきもの,"447,701",113.9%,"393,227","447,701",113.9%,"393,227"
,,電気機械,"305,252",108.5%,"281,462","305,252",108.5%,"281,462"
,,家具装備品,"210,399",105.0%,"200,357","210,399",105.0%,"200,357"
,,製造食品,"209,540",103.9%,"201,737","209,540",103.9%,"201,737"
,,その他化学工業品,"186,723",93.2%,"200,335","186,723",93.2%,"200,335"
,,野菜・果物,"142,291",108.5%,"131,114","142,291",108.5%,"131,114"
,,その他畜産品,"137,150",111.0%,"123,556","137,150",111.0%,"123,556"
,,産業機械,"126,939",99.4%,"127,646","126,939",99.4%,"127,646"
内貿貨物,移出,合計,"1,085,612",96.7%,"1,122,618","1,085,612",96.7%,"1,122,618"
,,完成自動車,"535,270",89.7%,"596,787","535,270",89.7%,"596,787"
,,取合せ品,"188,295",85.1%,"221,193","188,295",85.1%,"221,193"
,,廃土砂,"155,445",212.8%,"73,055","155,445",212.8%,"73,055"
,,再利用資材,"31,242",171.3%,"18,239","31,242",171.3%,"18,239"
,,その他日用品,"18,816",121.1%,"15,543","18,816",121.1%,"15,543"
,,重油,"16,500",80.8%,"20,417","16,500",80.8%,"20,417"
,,飲料,"13,962",73.6%,"18,976","13,962",73.6%,"18,976"
,,製造食品,"12,949",77.7%,"16,664","12,949",77.7%,"16,664"
,移入,合計,"1,624,407",80.5%,"2,017,227","1,624,407",80.5%,"2,017,227"
,,その他の石油,"391,950",99.3%,"394,806","391,950",99.3%,"394,806"
,,完成自動車,"375,283",83.9%,"447,502","375,283",83.9%,"447,502"
,,砂利・砂,"200,481",62.6%,"320,175","200,481",62.6%,"320,175"
,,セメント,"159,121",71.5%,"222,436","159,121",71.5%,"222,436"
,,取合せ品,"145,638",86.9%,"167,511","145,638",86.9%,"167,511"
,,鋼材,"74,003",83.1%,"89,084","74,003",83.1%,"89,084"
,,紙・パ　ル　プ,"70,175",57.5%,"122,031","70,175",57.5%,"122,031"
,,石材,"41,935",56.8%,"73,833","41,935",56.8%,"73,833"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
