（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,998,263",101.7%,"2,998,263",101.7%,100.0%
1,中国,"1,403,987",105.7%,"1,403,987",105.7%,46.8%
,(香港),"144,843",86.5%,"144,843",86.5%,4.8%
2,アメリカ,"306,331",104.8%,"306,331",104.8%,10.2%
3,ベトナム,"195,064",101.2%,"195,064",101.2%,6.5%
4,タイ,"181,819",102.8%,"181,819",102.8%,6.1%
5,台湾,"141,138",98.0%,"141,138",98.0%,4.7%
6,韓国,"104,692",94.2%,"104,692",94.2%,3.5%
7,シンガポール,"98,981",89.8%,"98,981",89.8%,3.3%
8,マレーシア,"87,329",104.9%,"87,329",104.9%,2.9%
9,カナダ,"82,327",87.8%,"82,327",87.8%,2.7%
10,インドネシア,"59,779",82.8%,"59,779",82.8%,2.0%
11,ドイツ,"47,189",97.0%,"47,189",97.0%,1.6%
12,フィリピン,"42,532",89.5%,"42,532",89.5%,1.4%
13,オランダ,"41,406",90.5%,"41,406",90.5%,1.4%
14,チリ,"33,784",77.5%,"33,784",77.5%,1.1%
15,フランス,"21,142",74.0%,"21,142",74.0%,0.7%
16,イタリア,"17,297",134.0%,"17,297",134.0%,0.6%
17,イギリス,"15,114",102.2%,"15,114",102.2%,0.5%
18,ニュージーランド,"14,577",89.1%,"14,577",89.1%,0.5%
19,ブラジル,"10,641",143.2%,"10,641",143.2%,0.4%
20,インド,"10,127",132.2%,"10,127",132.2%,0.3%
,その他,"83,007",116.7%,"83,007",116.7%,2.8%
