（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"780,654",101.4%,"780,654",101.4%,100.0%
1,アメリカ,"202,923",109.8%,"202,923",109.8%,26.0%
2,中国,"133,472",73.5%,"133,472",73.5%,17.1%
,(香港),"24,270",99.3%,"24,270",99.3%,3.1%
3,ベトナム,"77,221",258.8%,"77,221",258.8%,9.9%
4,タイ,"76,580",129.2%,"76,580",129.2%,9.8%
5,台湾,"38,856",102.6%,"38,856",102.6%,5.0%
6,オランダ,"32,158",85.7%,"32,158",85.7%,4.1%
7,韓国,"30,509",81.8%,"30,509",81.8%,3.9%
8,インドネシア,"30,409",96.9%,"30,409",96.9%,3.9%
9,マレーシア,"27,437",105.5%,"27,437",105.5%,3.5%
10,インド,"21,698",69.8%,"21,698",69.8%,2.8%
11,フィリピン,"17,183",99.0%,"17,183",99.0%,2.2%
12,ドイツ,"14,644",82.0%,"14,644",82.0%,1.9%
13,シンガポール,"13,846",103.3%,"13,846",103.3%,1.8%
14,イギリス,"8,464",83.1%,"8,464",83.1%,1.1%
15,ロシア,"8,350",137.0%,"8,350",137.0%,1.1%
16,カナダ,"7,600",97.9%,"7,600",97.9%,1.0%
17,アラブ首長国,"4,372",103.8%,"4,372",103.8%,0.6%
18,ブラジル,"4,320",102.8%,"4,320",102.8%,0.6%
19,オーストラリア,"4,243",131.2%,"4,243",131.2%,0.5%
20,フランス,"3,457",82.5%,"3,457",82.5%,0.4%
,その他,"22,912",91.1%,"22,912",91.1%,2.9%
,,,,,,
