 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,617,729 ","6,617,729 ","3,907,710 ","830,529 ","3,077,181 ","3,907,710 ","830,529 ","3,077,181 ","2,710,019 ","1,085,612 ","1,624,407 ","2,710,019 ","1,085,612 ","1,624,407 "
公共計,"2,884,769 ","2,884,769 ","1,063,815 ","137,516 ","926,299 ","1,063,815 ","137,516 ","926,299 ","1,820,954 ","998,252 ","822,702 ","1,820,954 ","998,252 ","822,702 "
ドルフィン,"9,288 ","9,288 ",-,-,-,-,-,-,"9,288 ","9,288 ",-,"9,288 ","9,288 ",-
芝浦ふ頭,"48,863 ","48,863 ",-,-,-,-,-,-,"48,863 ","1,054 ","47,809 ","48,863 ","1,054 ","47,809 "
芝浦物揚場,"5,814 ","5,814 ",-,-,-,-,-,-,"5,814 ","4,258 ","1,556 ","5,814 ","4,258 ","1,556 "
日の出ふ頭,"3,620 ","3,620 ",-,-,-,-,-,-,"3,620 ",-,"3,620 ","3,620 ",-,"3,620 "
竹芝ふ頭,"6,137 ","6,137 ",-,-,-,-,-,-,"6,137 ","4,231 ","1,906 ","6,137 ","4,231 ","1,906 "
品川岸壁,"515,545 ","515,545 ","336,701 ","46,441 ","290,260 ","336,701 ","46,441 ","290,260 ","178,844 ","110,876 ","67,968 ","178,844 ","110,876 ","67,968 "
　品川コンテナ,"335,327 ","335,327 ","335,327 ","46,228 ","289,099 ","335,327 ","46,228 ","289,099 ",-,-,-,-,-,-
　品川外貿,"1,374 ","1,374 ","1,374 ",213 ,"1,161 ","1,374 ",213 ,"1,161 ",-,-,-,-,-,-
　品川内貿,"178,844 ","178,844 ",-,-,-,-,-,-,"178,844 ","110,876 ","67,968 ","178,844 ","110,876 ","67,968 "
月島ふ頭,"2,420 ","2,420 ",-,-,-,-,-,-,"2,420 ","1,143 ","1,277 ","2,420 ","1,143 ","1,277 "
10号西岸壁,"429,054 ","429,054 ",-,-,-,-,-,-,"429,054 ","271,004 ","158,050 ","429,054 ","271,004 ","158,050 "
10号東岸壁,"25,560 ","25,560 ",-,-,-,-,-,-,"25,560 ",138 ,"25,422 ","25,560 ",138 ,"25,422 "
東京港フェリーふ頭,"685,580 ","685,580 ",-,-,-,-,-,-,"685,580 ","366,310 ","319,270 ","685,580 ","366,310 ","319,270 "
辰巳ふ頭,"26,666 ","26,666 ",-,-,-,-,-,-,"26,666 ","10,733 ","15,933 ","26,666 ","10,733 ","15,933 "
青海コンテナふ頭（公共）,"732,474 ","732,474 ","713,734 ","91,075 ","622,659 ","713,734 ","91,075 ","622,659 ","18,740 ","14,717 ","4,023 ","18,740 ","14,717 ","4,023 "
大井食品ふ頭（OL）,"9,039 ","9,039 ","6,090 ",-,"6,090 ","6,090 ",-,"6,090 ","2,949 ",-,"2,949 ","2,949 ",-,"2,949 "
大井食品ふ頭（OM）,"7,290 ","7,290 ","7,290 ",-,"7,290 ","7,290 ",-,"7,290 ",-,-,-,-,-,-
若洲内貿ふ頭,"50,025 ","50,025 ",-,-,-,-,-,-,"50,025 ","33,742 ","16,283 ","50,025 ","33,742 ","16,283 "
若洲建材ふ頭,"41,541 ","41,541 ",-,-,-,-,-,-,"41,541 ","1,612 ","39,929 ","41,541 ","1,612 ","39,929 "
大井建材ふ頭,"84,055 ","84,055 ",-,-,-,-,-,-,"84,055 ",-,"84,055 ","84,055 ",-,"84,055 "
城南島建設発生土ふ頭,"122,940 ","122,940 ",-,-,-,-,-,-,"122,940 ","122,940 ",-,"122,940 ","122,940 ",-
中央防波堤内側ばら物ふ頭,"4,218 ","4,218 ",-,-,-,-,-,-,"4,218 ","1,610 ","2,608 ","4,218 ","1,610 ","2,608 "
中央防波堤内側建設発生土ふ頭,"10,608 ","10,608 ",-,-,-,-,-,-,"10,608 ","10,608 ",-,"10,608 ","10,608 ",-
中央防波堤内側内貿ふ頭,"64,032 ","64,032 ",-,-,-,-,-,-,"64,032 ","33,988 ","30,044 ","64,032 ","33,988 ","30,044 "
東京港埠頭㈱計,"2,717,047 ","2,717,047 ","2,631,717 ","666,554 ","1,965,163 ","2,631,717 ","666,554 ","1,965,163 ","85,330 ","36,387 ","48,943 ","85,330 ","36,387 ","48,943 "
青海コンテナふ頭(埠頭㈱),"581,082 ","581,082 ","569,697 ","107,182 ","462,515 ","569,697 ","107,182 ","462,515 ","11,385 ","11,385 ",-,"11,385 ","11,385 ",-
お台場ライナーふ頭,"77,983 ","77,983 ","71,441 ","49,243 ","22,198 ","71,441 ","49,243 ","22,198 ","6,542 ","1,652 ","4,890 ","6,542 ","1,652 ","4,890 "
大井コンテナふ頭,"2,057,982 ","2,057,982 ","1,990,579 ","510,129 ","1,480,450 ","1,990,579 ","510,129 ","1,480,450 ","67,403 ","23,350 ","44,053 ","67,403 ","23,350 ","44,053 "
民間計,"1,015,913 ","1,015,913 ","212,178 ","26,459 ","185,719 ","212,178 ","26,459 ","185,719 ","803,735 ","50,973 ","752,762 ","803,735 ","50,973 ","752,762 "
,,,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
