 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,617,729","6,617,729","830,529","830,529","780,654","780,654","3,077,181","3,077,181","2,998,263","2,998,263","1,085,612","1,085,612","1,624,407","1,624,407"
農水産品,,"452,357","452,357","16,448","16,448","16,441","16,441","409,688","409,688","352,298","352,298","13,563","13,563","12,658","12,658"
1,麦,"10,916","10,916",-,-,-,-,"7,542","7,542","1,452","1,452",330,330,"3,044","3,044"
2,米,"5,912","5,912",247,247,247,247,"1,875","1,875","1,875","1,875","2,805","2,805",985,985
3,とうもろこし,"1,018","1,018",-,-,-,-,"1,018","1,018","1,018","1,018",-,-,-,-
4,豆類,"9,810","9,810",-,-,-,-,"9,540","9,540","9,540","9,540",145,145,125,125
5,その他雑穀,670,670,-,-,-,-,635,635,635,635,15,15,20,20
6,野菜・果物,"156,558","156,558","3,604","3,604","3,597","3,597","142,291","142,291","90,993","90,993","5,725","5,725","4,938","4,938"
7,綿花,101,101,-,-,-,-,101,101,101,101,-,-,-,-
8,その他農産品,"21,428","21,428",559,559,559,559,"20,664","20,664","20,662","20,662",125,125,80,80
9,羊毛,75,75,-,-,-,-,75,75,75,75,-,-,-,-
10,その他畜産品,"140,803","140,803","2,166","2,166","2,166","2,166","137,150","137,150","137,150","137,150","1,152","1,152",335,335
11,水産品,"105,066","105,066","9,872","9,872","9,872","9,872","88,797","88,797","88,797","88,797","3,266","3,266","3,131","3,131"
林産品,,"86,246","86,246",742,742,742,742,"78,830","78,830","75,448","75,448","5,561","5,561","1,113","1,113"
12,原木,230,230,-,-,-,-,180,180,180,180,-,-,50,50
13,製材,"71,748","71,748",732,732,732,732,"66,606","66,606","63,224","63,224","3,877","3,877",533,533
14,樹脂類,"8,409","8,409",10,10,10,10,"7,374","7,374","7,374","7,374",785,785,240,240
15,木材チップ,"1,048","1,048",-,-,-,-,892,892,892,892,-,-,156,156
16,その他林産品,"1,148","1,148",-,-,-,-,135,135,135,135,889,889,124,124
17,薪炭,"3,663","3,663",-,-,-,-,"3,643","3,643","3,643","3,643",10,10,10,10
鉱産品,,"295,614","295,614","1,234","1,234","1,234","1,234","26,161","26,161","26,161","26,161","4,430","4,430","263,789","263,789"
18,石炭,"5,384","5,384",-,-,-,-,"5,384","5,384","5,384","5,384",-,-,-,-
19,鉄鉱石,40,40,30,30,30,30,10,10,10,10,-,-,-,-
20,金属鉱,815,815,-,-,-,-,810,810,810,810,5,5,-,-
21,砂利・砂,"204,472","204,472",19,19,19,19,"1,474","1,474","1,474","1,474","2,498","2,498","200,481","200,481"
22,石材,"50,516","50,516",269,269,269,269,"8,137","8,137","8,137","8,137",175,175,"41,935","41,935"
23,原油,300,300,-,-,-,-,300,300,300,300,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"13,663","13,663",-,-,-,-,-,-,-,-,30,30,"13,633","13,633"
26,原塩,887,887,4,4,4,4,863,863,863,863,-,-,20,20
27,非金属鉱物,"19,537","19,537",912,912,912,912,"9,183","9,183","9,183","9,183","1,722","1,722","7,720","7,720"
金属機械工業品,,"2,122,584","2,122,584","343,557","343,557","339,894","339,894","738,706","738,706","734,777","734,777","571,232","571,232","469,089","469,089"
28,鉄鋼,"6,364","6,364","4,235","4,235","1,157","1,157","1,944","1,944","1,944","1,944",135,135,50,50
29,鋼材,"100,882","100,882","14,474","14,474","14,474","14,474","10,233","10,233","8,903","8,903","2,172","2,172","74,003","74,003"
30,非鉄金属,"21,923","21,923","5,751","5,751","5,744","5,744","12,377","12,377","12,369","12,369",40,40,"3,755","3,755"
31,金属製品,"147,367","147,367","22,490","22,490","22,490","22,490","120,667","120,667","120,577","120,577","3,200","3,200","1,010","1,010"
32,鉄道車両,97,97,39,39,39,39,58,58,58,58,-,-,-,-
