"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202304","Ｈａｒｉｓｔｏ（ハリスト）","東京都港区赤坂二丁目15番7号","501",,"2023/4/24","はり、きゅう","35.671455","139.738039"
"202304","鍼灸・マッサージ　ジュピテル","東京都港区北青山二丁目9番12号","第5イノセビル7階","03-6721-1300","2023/4/1","あん摩、はり、きゅう","35.671190","139.716649"
"202304","美容鍼灸サロンＣＩＮＱ","東京都港区南麻布二丁目5番21号","イデア南麻布1階","03-6824-5323","2023/4/27","はり、きゅう","35.650020","139.737024"
"202305","ベイン・アンド・カンパニー　マッサージルーム","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー36階","03-4563-1100","2023/5/15","あん摩","35.666126","139.731247"
"202305","加賀谷鍼灸治療院","東京都港区麻布十番四丁目6番8号","二進ビル7階kagaya",,"2023/5/21","あん摩、はり、きゅう","35.653127","139.736949"
"202305","虎ノ門駅前マッサージはりきゅう院","東京都港区虎ノ門一丁目7番7号","3F",,"2023/5/16","あん摩、はり、きゅう","35.669480","139.749756"
"202305","鍼灸　Ｓｅｃｏｎｄ","東京都港区南麻布四丁目10番21号","南麻布ロイヤルコーポ103",,"2023/5/22","あん摩、はり、きゅう","35.648229","139.725028"
"202306","ショートマッサージルーム","東京都港区港南一丁目2番70号","品川シーズンテラス8階",,"2023/4/12","あん摩","35.632491","139.743066"
"202306","ＲｅＣＯＲＥ鍼灸院　品川","東京都港区港南一丁目9番36号","NTTDATA品川ビル2F","03-3472-1939","2023/6/15","はり、きゅう","35.630036","139.741242"
"202306","おにゃんこ先生鍼灸院","東京都港区南青山五丁目8番11号","萬楽庵ビル1 3階",,"2023/6/9","はり、きゅう","35.662592","139.711975"
"202307","Ｈａｌｉａｎ","東京都港区麻布十番二丁目20番14号","麻布十番ハウス602",,"2023/6/26","あん摩、はり、きゅう","35.655075","139.736503"
"202307","にしむら治療院はり・きゅう","東京都港区芝五丁目27番5号","山田ビル503","03-6435-2437","2023/7/1","はり、きゅう","35.647121","139.746323"
"202307","ＢＯＤＹＷＯＲＫＳ麻布鍼灸","東京都港区東麻布一丁目14番4号","第2網野ビル2階",,"2023/7/2","はり、きゅう","35.656606","139.743651"
"202307","Ｓｐｏｒｔｓ‐ｓｅｒａｐｉｓ鍼灸マッサージ治療院","東京都港区東麻布三丁目7番13号","MD麻布702号室",,"2023/7/12","あん摩、はり、きゅう","35.656335","139.738079"
"202307","ＤＣ１マッサージルーム","東京都港区東新橋一丁目8番1号","34F",,"2023/7/18","あん摩","35.664377","139.762453"
"202307","Ｂｒａｉｎ　Ｓｌｅｅｐ　Ｃｏｎｄｉｔｉｏｎｉｎｇ　Ｓｔｕｄｉｏ　南青山店","東京都港区南青山二丁目27番22号","青山安田ビル3階",,"2023/7/1","あん摩、はり、きゅう","35.669104","139.716303"
"202307","南麻布鍼灸治療室　美巡究","東京都港区南麻布一丁目3番15号","松下ビル1階",,"2023/7/23","はり、きゅう","35.644824","139.711892"
"202307","六本木Ｑｉｎｏｗａ","東京都港区六本木七丁目11番24号",,,"2023/7/12","あん摩、はり、きゅう","35.663938","139.728918"
"202307","ひるず鍼灸院","東京都港区六本木七丁目17番22号","秀和六本木レジデンス702","03-6384-5507","2023/7/6","はり、きゅう","35.662892","139.728720"
"202308","鍼灸サロンＨａｎｄＭｉｌｄ","東京都港区赤坂九丁目1番9号","赤坂レジデンシャルホテル534",,"2023/8/15","はり、きゅう","35.668055","139.732763"
"202308","美容鍼灸サロンＳｏｗａｎ","東京都港区赤坂九丁目6番27号","カーム乃木坂301","03-6774-8512","2023/8/20","はり、きゅう","35.666388","139.728545"
