 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,033 ","15,526,232 ","12,046 ","89,062,736 ",472 ,"11,539,042 ","2,716 ","66,244,313 ","1,561 ","3,987,190 ","9,330 ","22,818,423 "
公共計,991 ,"5,910,372 ","5,866 ","32,403,838 ",194 ,"2,868,348 ","1,088 ","15,001,026 ",797 ,"3,042,024 ","4,778 ","17,402,812 "
ドルフィン,4 ,"2,458 ",19 ,"12,517 ",-,-,-,-,4 ,"2,458 ",19 ,"12,517 "
芝浦ふ頭,36 ,"83,206 ",209 ,"527,072 ",-,-,-,-,36 ,"83,206 ",209 ,"527,072 "
芝浦物揚場,23 ,"9,764 ",129 ,"55,666 ",-,-,-,-,23 ,"9,764 ",129 ,"55,666 "
日の出ふ頭,9 ,"5,693 ",45 ,"32,757 ",-,-,-,-,9 ,"5,693 ",45 ,"32,757 "
竹芝ふ頭,131 ,"235,231 ",876 ,"1,965,875 ",-,-,-,-,131 ,"235,231 ",876 ,"1,965,875 "
品川岸壁,154 ,"1,676,218 ",884 ,"9,514,087 ",83 ,"837,553 ",473 ,"4,668,888 ",71 ,"838,665 ",411 ,"4,845,199 "
 品川コンテナ,78 ,"718,892 ",463 ,"4,228,569 ",74 ,"714,420 ",439 ,"4,203,713 ",4 ,"4,472 ",24 ,"24,856 "
 品川外貿,9 ,"123,133 ",34 ,"465,175 ",9 ,"123,133 ",34 ,"465,175 ",-,-,-,-
 品川内貿,67 ,"834,193 ",387 ,"4,820,343 ",-,-,-,-,67 ,"834,193 ",387 ,"4,820,343 "
晴海ふ頭,8 ,"284,905 ",42 ,"938,735 ",2 ,"113,538 ",8 ,"365,886 ",6 ,"171,367 ",34 ,"572,849 "
月島ふ頭,5 ,"1,817 ",21 ,"6,813 ",-,-,-,-,5 ,"1,817 ",21 ,"6,813 "
漁業基地,4 ,"4,262 ",15 ,"21,712 ",-,-,-,-,4 ,"4,262 ",15 ,"21,712 "
10号西岸壁,67 ,"689,588 ",379 ,"3,869,562 ",-,-,-,-,67 ,"689,588 ",379 ,"3,869,562 "
10号東岸壁,31 ,"13,786 ",195 ,"86,594 ",-,-,-,-,31 ,"13,786 ",195 ,"86,594 "
東京港フェリーふ頭,31 ,"391,716 ",170 ,"2,148,120 ",-,-,-,-,31 ,"391,716 ",170 ,"2,148,120 "
多目的ふ頭,2 ,"6,543 ",15 ,"25,060 ",-,-,-,-,2 ,"6,543 ",15 ,"25,060 "
辰巳ふ頭,93 ,"33,146 ",472 ,"166,714 ",-,-,-,-,93 ,"33,146 ",472 ,"166,714 "
青海コンテナふ頭（公共）,135 ,"1,666,421 ",768 ,"8,748,690 ",91 ,"1,631,049 ",511 ,"8,539,369 ",44 ,"35,372 ",257 ,"209,321 "
有明ふ頭,3 ,"2,609 ",31 ,"26,309 ",-,-,-,-,3 ,"2,609 ",31 ,"26,309 "
大井水産物ふ頭,2 ,"59,232 ",7 ,"68,276 ",1 ,"54,367 ",3 ,"56,777 ",1 ,"4,865 ",4 ,"11,499 "
大井食品ふ頭（OL）,4 ,"102,243 ",71 ,"491,296 ",4 ,"102,243 ",20 ,"480,695 ",-,-,51 ,"10,601 "
大井食品ふ頭（OM）,9 ,"81,137 ",52 ,"467,251 ",9 ,"81,137 ",52 ,"467,251 ",-,-,-,-
大井食品ふ頭（ON）,2 ,"19,469 ",2 ,"19,469 ",2 ,"19,469 ",2 ,"19,469 ",-,-,-,-
若洲内貿ふ頭,13 ,"130,442 ",72 ,"722,448 ",-,-,-,-,13 ,"130,442 ",72 ,"722,448 "
15号地木材ふ頭,1 ,"27,192 ",14 ,"214,931 ",1 ,"27,192 ",7 ,"213,244 ",-,-,7 ,"1,687 "
若洲建材ふ頭,23 ,"13,809 ",180 ,"106,298 ",-,-,-,-,23 ,"13,809 ",180 ,"106,298 "
大井建材ふ頭,95 ,"55,582 ",525 ,"302,306 ",-,-,-,-,95 ,"55,582 ",525 ,"302,306 "
城南島建設発生土ふ頭,56 ,"33,568 ",428 ,"277,026 ",-,-,-,-,56 ,"33,568 ",428 ,"277,026 "
中央防波堤内側ばら物ふ頭,4 ,"3,795 ",29 ,"198,061 ",1 ,"1,800 ",12 ,"189,447 ",3 ,"1,995 ",17 ,"8,614 "
中央防波堤内側建設発生土ふ頭,12 ,"16,284 ",52 ,"61,919 ",-,-,-,-,12 ,"16,284 ",52 ,"61,919 "
中央防波堤内側内貿ふ頭,24 ,"253,992 ",122 ,"1,291,599 ",-,-,-,-,24 ,"253,992 ",122 ,"1,291,599 "
官公庁（晴海）,1 ,"2,183 ",7 ,"20,550 ",-,-,-,-,1 ,"2,183 ",7 ,"20,550 "
官公庁（月島）,8 ,"1,584 ",30 ,"5,938 ",-,-,-,-,8 ,"1,584 ",30 ,"5,938 "
官公庁（有明）,1 ,"2,497 ",4 ,"9,988 ",-,-,-,-,1 ,"2,497 ",4 ,"9,988 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,363 ,"8,567,274 ","2,192 ","50,936,785 ",248 ,"8,344,786 ","1,488 ","49,756,375 ",115 ,"222,488 ",704 ,"1,180,410 "
青海コンテナふ頭(埠頭㈱),78 ,"1,958,083 ",460 ,"12,246,732 ",64 ,"1,934,372 ",401 ,"12,169,785 ",14 ,"23,711 ",59 ,"76,947 "
お台場ライナーふ頭,31 ,"332,678 ",212 ,"1,877,954 ",15 ,"256,186 ",82 ,"1,446,317 ",16 ,"76,492 ",130 ,"431,637 "
大井コンテナふ頭,254 ,"6,276,513 ","1,520 ","36,812,099 ",169 ,"6,154,228 ","1,005 ","36,140,273 ",85 ,"122,285 ",515 ,"671,826 "
民間計,679 ,"1,048,586 ","3,988 ","5,722,113 ",30 ,"325,908 ",140 ,"1,486,912 ",649 ,"722,678 ","3,848 ","4,235,201 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
