"年月[西暦]","調査項目","設問","回答者の属性種別","回答者の属性","選択肢A[人]","選択肢B[人]","選択肢C[人]","選択肢D[人]","選択肢E[人]","選択肢F[人]","選択肢G[人]","選択肢H[人]","選択肢I[人]","選択肢J[人]","選択肢K[人]","選択肢L[人]","選択肢M[人]","選択肢N[人]","選択肢O[人]","選択肢P[人]","選択肢Q[人]","選択肢R[人]","選択肢S[人]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]","選択肢K[%]","選択肢L[%]","選択肢M[%]","選択肢N[%]","選択肢O[%]","選択肢P[%]","選択肢Q[%]","選択肢R[%]","選択肢S[%]"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","性別","男性","38","50","23","72","23","62","37","84","37","28","55","57","49","13","18","11","15","9","2","24.4","32.1","14.7","46.2","14.7","39.7","23.7","53.8","23.7","17.9","35.3","36.5","31.4","8.3","11.5","7.1","9.6","5.8","1.3"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","性別","女性","67","68","54","145","53","93","62","117","61","66","83","87","61","15","24","42","24","12","1","24.7","25.1","19.9","53.5","19.6","34.3","22.9","43.2","22.5","24.4","30.6","32.1","22.5","5.5","8.9","15.5","8.9","4.4","0.4"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","18～29歳","2","10","6","10","5","12","8","16","13","7","12","5","7","4","3","4","3","1","0","6.1","30.3","18.2","30.3","15.2","36.4","24.2","48.5","39.4","21.2","36.4","15.2","21.2","12.1","9.1","12.1","9.1","3.0","0.0"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","30～39歳","16","15","10","24","10","25","13","42","19","10","26","18","22","4","7","4","5","3","0","24.6","23.1","15.4","36.9","15.4","38.5","20.0","64.6","29.2","15.4","40.0","27.7","33.8","6.2","10.8","6.2","7.7","4.6","0.0"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","40～49歳","23","26","17","45","20","33","24","43","22","21","37","35","24","8","14","12","6","5","1","24.0","27.1","17.7","46.9","20.8","34.4","25.0","44.8","22.9","21.9","38.5","36.5","25.0","8.3","14.6","12.5","6.3","5.2","1.0"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","50～59歳","25","26","14","51","10","28","22","41","17","24","30","35","20","6","8","14","6","4","2","27.8","28.9","15.6","56.7","11.1","31.1","24.4","45.6","18.9","26.7","33.3","38.9","22.2","6.7","8.9","15.6","6.7","4.4","2.2"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","60～69歳","15","20","12","39","14","21","12","30","9","13","12","23","17","5","1","11","5","2","0","25.0","33.3","20.0","65.0","23.3","35.0","20.0","50.0","15.0","21.7","20.0","38.3","28.3","8.3","1.7","18.3","8.3","3.3","0.0"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","70歳以上","24","22","19","49","17","36","21","29","18","19","22","28","20","1","9","8","14","6","0","28.6","26.2","22.6","58.3","20.2","42.9","25.0","34.5","21.4","22.6","26.2","33.3","23.8","1.2","10.7","9.5","16.7","7.1","0.0"

"港区の環境に関する区民アンケート（郵送）調査結果・クロス集計表・区の取組Q7","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
