"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","街づくり・景観","215","32.7"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","住宅対策","98","14.9"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","道路・交通対策","132","20.1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","自転車対策","142","21.6"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","防災・生活安全","251","38.1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","公園整備","91","13.8"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","緑や水辺の整備","106","16.1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","ごみ・リサイクル","149","22.6"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","地球温暖化対策","135","20.5"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","環境保全・公害対策","80","12.2"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","たばこ対策","143","21.7"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","健康づくり","90","13.7"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","区民参画・区民協働","13","2.0"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","中小企業支援・商店街振興","73","11.1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","観光振興","46","7.0"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","消費生活対策","34","5.2"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","国際化・国際交流","105","16.0"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","子育て支援","158","24.0"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","学校教育の充実","112","17.0"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","高齢者福祉","214","32.5"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","障害者福祉","58","8.8"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","低所得世帯への支援","55","8.4"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","スポーツの振興","47","7.1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","生涯学習・文化振興","53","8.1"
"202003","区基本計画","Q13. 今後、港区が特に重点的に取り組むべきと思うものを選んでください。","男女平等参画の推進","34","5.2"

"第32回港区民世論調査単純集計表・区基本計画Q13","Ver202003",,,,
