年度,会計名称,款,款名称,項,項名称,目,目名称,節,節名称,細節,細節名称,予算額
H31,一般会計,01,市税,01,市民税,01,個人,01,現年課税分,01,現年課税分,10406439
H31,一般会計,01,市税,01,市民税,01,個人,02,滞納繰越分,01,滞納繰越分,114900
H31,一般会計,01,市税,01,市民税,02,法人,01,現年課税分,01,現年課税分,1685760
H31,一般会計,01,市税,01,市民税,02,法人,02,滞納繰越分,01,滞納繰越分,2768
H31,一般会計,01,市税,02,固定資産税,01,固定資産税,01,現年課税分,01,現年課税分,13667761
H31,一般会計,01,市税,02,固定資産税,01,固定資産税,02,滞納繰越分,01,滞納繰越分,43879
H31,一般会計,01,市税,02,固定資産税,02,国有資産等所在市町村交付金,01,現年課税分,01,現年課税分,203400
H31,一般会計,01,市税,03,軽自動車税,01,軽自動車税,01,現年課税分,01,現年課税分,117216
H31,一般会計,01,市税,03,軽自動車税,01,軽自動車税,02,滞納繰越分,01,滞納繰越分,1775
H31,一般会計,01,市税,03,軽自動車税,02,環境性能割,01,現年課税分,01,現年課税分,3340
H31,一般会計,01,市税,04,市たばこ税,01,市たばこ税,01,現年課税分,01,現年課税分,726543
H31,一般会計,01,市税,05,都市計画税,01,都市計画税,01,現年課税分,01,現年課税分,1715388
H31,一般会計,01,市税,05,都市計画税,01,都市計画税,02,滞納繰越分,01,滞納繰越分,7663
H31,一般会計,02,地方譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,68914
H31,一般会計,02,地方譲与税,02,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,166458
H31,一般会計,02,地方譲与税,03,地方道路譲与税,01,地方道路譲与税,01,地方道路譲与税,01,地方道路譲与税,1
H31,一般会計,02,地方譲与税,04,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,1
H31,一般会計,03,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,37963
H31,一般会計,04,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,192345
H31,一般会計,05,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,121523
H31,一般会計,06,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,2604552
H31,一般会計,07,ゴルフ場利用税交付金,01,ゴルフ場利用税交付金,01,ゴルフ場利用税交付金,01,ゴルフ場利用税交付金,01,ゴルフ場利用税交付金,32352
