年　度,一般会計,国民健康保険特別会計,下水道事業特別会計,受託水道事業特別会計,老人保健医療特別会計,介護保険特別会計,介護保険サービス事業特別会計,国民健康保険多摩市立診療所特別会計,土地区画整理事業特別会計,後期高齢者医療特別会計
H6,49050000,4690185,2139055,623900,4138093,,,,,
H7,50270000,5153664,2069058,903700,4608835,,,,,
H8,55667000,6355652,1990528,1218400,5076742,,,,,
H9,52170000,6702335,2095018,1411997,6265268,,,,,
H10,54300000,6716257,2200832,1136748,6521779,,,,,
H11,50380000,7209304,1863121,1321227,7050110,,,,,
H12,50610000,7678045,1736479,1116361,5975098,2930770,92803,,,
H13,47740000,8765222,1537665,716148,7057220,3241130,82986,,,
H14,43120000,9516000,2568046,848938,7316804,3636379,91489,,,
H15,43330000,10387434,2597616,632829,6732519,4009891,105625,,,
H16,45615000,11195516,2634043,691626,6973749,4447963,105773,,,
H17,43110000,11295676,2588714,641000,7292278,5166283,117905,,,
H18,43760000,11543920,2670735,628493,7144497,5266794,116740,,,
H19,46680000,13062751,2744655,404600,7372218,5488852,112988,,,
H20,48450000,14233641,2664154,449900,982386,5729083,109273,,,1869357
H21,46502000,15283810,2638690,,38251,5861696,127352,,,1985019
H22,46710000,14421697,2747492,,6113,6404163,129339,,,2056881
H23,49340000,14403645,2779596,,,6476392,63401,,,2189899
H24,49057000,16100585,2835342,,,7029178,54130,,,2412403
H25,50527000,16424274,2865550,,,7407660,20203,,,2544752
H26,49855000,16305769,2728070,,,7773263,,,,2720734
H27,53650000,18628590,3078718,,,8193096,,,,2867648
H28,54470000,18894315,2629752,,,8920203,,,,2985707
H29,55480000,19497820,,,,9807466,,,,3193692
H30,53240000,15784439,,,,9810808,,,,3456153
R1,56580000,15583149,,,,10678402,,,,3655579
R2,59070000,15208172,,,,11302713,,,,3830543
R3,63030000,14921977,,,,11520542,,,,3986552
