年　度,一般会計,国民健康保険特別会計,下水道事業特別会計,受託水道事業特別会計,老人保健医療特別会計,介護保険特別会計,介護保険サービス事業特別会計,国民健康保険多摩市立診療所特別会計,土地区画整理事業特別会計,後期高齢者医療特別会計
H6,46824327,5168573,2184593,730430,4431728,,,,,
H7,52961051,5558102,1954074,905755,4789266,,,,,
H8,57564747,6044834,1991569,1118465,5356027,,,,,
H9,54344830,6289217,2039433,1372096,5671412,,,,,
H10,55278347,6818984,2187576,970618,6158086,,,,,
H11,54362950,7481064,1942270,967507,6822354,,,,,
H12,50421974,7908379,1670385,853889,6820004,2675702,62315,,,
H13,48320875,8755508,1907405,575514,7252712,3372969,63952,,,
H14,45503599,9227301,3001456,691293,7328718,3666111,73740,,,
H15,44517997,10506578,2948361,495603,7137850,3980861,89323,,,
H16,47820959,10991563,3106169,488976,7742351,4385682,103816,,,
H17,45276242,11521338,2857367,470928,7774983,4658010,102135,,,
H18,44513960,12055335,3084502,416340,7732660,4972324,104678,,,
H19,46250086,13278740,3228986,358527,7750030,5349003,103483,,,
H20,50492276,14292017,2862809,400570,840019,5643472,114405,,,1732894
H21,49543737,13996219,2959165,,11973,5979217,116717,,,1838886
H22,51027357,13341266,3079645,,5728,6117159,121445,,,2132813
H23,49938144,15567593,3047237,,,6524246,45156,,,2241138
H24,49993647,15922477,3056529,,,7283643,34832,,,2501467
H25,52172917,16071007,2996550,,,7784783,9902,,,2544339
H26,51999535,16444381,2921475,,,8217282,,,,2841027
H27,56105817,18831283,3107363,,,8484393,,,,2936995
H28,54793350,18612898,2701822,,,8870112,,,,3207891
H29,56816867,18348629,,,,9399996,,,,3398625
H30,54923357,16124847,,,,10295791,,,,3614546
R1,57550935,15773495,,,,11055547,,,,3753363
R2,74978139,14982800,,,,11480809,,,,3928950
R3,71642396,15821269,,,,11702729,,,,3932118
