年　度,一般会計,国民健康保険特別会計,下水道事業特別会計,受託水道事業特別会計,老人保健医療特別会計,介護保険特別会計,介護保険サービス事業特別会計,国民健康保険多摩市立診療所特別会計,土地区画整理事業特別会計,後期高齢者医療特別会計
H6,44884470,4948755,2097695,730430,4430867,,,,,
H7,51864885,5494196,1857080,905755,4762238,,,,,
H8,56524330,5990919,1924113,1118465,5313697,,,,,
H9,53561582,6232401,2006035,1372096,5671412,,,,,
H10,53423134,6763993,2061750,970618,6158086,,,,,
H11,52923106,7335632,1862176,967507,6822354,,,,,
H12,49094819,7853444,1670385,853889,6775363,2511074,62315,,,
H13,47299690,8657959,1862458,575514,7197667,3313511,61217,,,
H14,44736337,9171193,2622321,691293,7328718,3643473,72700,,,
H15,43597148,10460930,2645855,495603,7298199,3935790,87386,,,
H16,46424540,10940359,2975485,488976,7742351,4329409,103071,,,
H17,44516828,11342384,2487741,470928,7754485,4562908,101337,,,
H18,43221226,12206979,2797340,416340,7709995,4741568,104046,,,
H19,45242803,13273036,3029409,358527,7728672,5098057,102769,,,
H20,47283139,13938539,2544995,400570,834187,5417104,113897,,,1730245
H21,47679992,13986483,2569537,,8696,5762072,116331,,,1830321
H22,49508320,14333611,2709601,,5728,6081738,120331,,,2127007
H23,48145020,15448627,2681217,,,6237838,44493,,,2226207
H24,48417043,15815199,2791517,,,7034120,34244,,,2498789
H25,50327935,15979008,2847586,,,7537853,9902,,,2525230
H26,50927384,16322592,2800986,,,8003561,,,,2826670
H27,54523229,18678470,2957034,,,8277292,,,,2910104
H28,52704383,18397740,2426046,,,8587262,,,,3170478
H29,55248940,17865965,,,,9116164,,,,3366560
H30,53578172,15773939,,,,9735831,,,,3586389
R1,55961691,15472776,,,,10113830,,,,3738228
R2,72029837,14574302,,,,10941161,,,,3919623
R3,68528979,15328002,,,,11165501,,,,3892365
