年度,標準財政規模,経常一般財源,経常経費充当一般財源,経常収支比率,"公債費
補助分　 a都財政補完対象額","公債費
補助分　 b削減額","公債費
補助分　 c補助金交付額(a-b)",関公費分 d都財政補完対象額,関公費分 e削減影響額,関公費分 f補助金交付額(d-e),"経常収支比率への
影響 A：公債費補助のない場合","経常収支比率への
影響 A'：公債費補助が満額の場合","経常収支比率への
影響 B：公債費補助・関公費のない場合","経常収支比率への
影響 B'：公債費補助・関公費が満額補助の場合"
H3,24589678,25766545,19550132,75.9,1377090,0,1377090,332973,0,332973,81.2,－,82.5,－
H4,26058360,27015929,21537825,79.7,1373169,0,1373169,376966,0,376966,84.8,－,86.2,－
H5,27517271,27421594,22302730,81.3,1377388,0,1377388,439076,0,439076,86.4,－,88,－
H6,28081743,27812341,22758179,81.8,1335774,0,1335774,516152,0,516152,86.6,－,88.5,－
H7,29252862,29059483,23491657,80.8,1308640,0,1308640,516902,0,516902,85.3,－,87.1,－
H8,31268874,29447832,24901624,84.6,1246750,0,1246750,509264,0,509264,88.8,－,90.5,－
H9,31176869,29509515,26298401,89.1,1175275,0,1175275,484493,0,484493,93.1,－,94.7,－
H10,31378409,29833628,27046674,90.7,1226159,0,1226159,512950,0,512950,94.8,－,96.5,－
H11,29732696,31086112,27423468,88.2,1212189,141424,1070765,611375,67047,544328,91.7,87.8,93.4,87.5
H12,31180486,31068213,27431541,88.3,1128169,263599,864570,587996,133845,454151,91.1,87.4,92.5,87
H13,32797994,30713194,27881926,90.8,1179365,371667,807698,545499,193389,352110,93.4,89.6,94.6,88.9
H14,29991719,29385085,28494138,97,1168930,490338,678592,544678,257441,287237,99.3,95.3,100.3,94.4
H15,27796613,28284386,27716660,98,1140049,475898,664151,544680,257442,287238,100.3,96.3,101.4,95.4
H16,27947705,29189452,27028047,92.6,1097019,454383,642636,544681,257443,287238,94.8,91,95.8,90.2
H17,29430134,30121492,27349514,90.8,1043905,443514,600391,536524,255847,280677,92.8,89.3,93.7,88.5
H18,30622269,30743827,28182337,91.7,1027084,450791,576293,448890,214513,234377,93.5,90.2,94.3,89.5
H19,30542462,30218481,28114745,93,960099,432986,527113,434992,210047,224945,94.8,91.6,95.5,90.9
H20,31024265,30047407,27693628,92.2,893370,415310,478060,409060,199564,209496,93.8,90.8,94.5,90.1
H21,30840988,29445691,27491224,93.4,499095,233860,265235,378869,186951,191918,94.3,92.6,94.9,91.9
H22,29417825,28733989,28033134,97.6,442659,221329,221330,354054,177027,177027,98.3,96.8,98.9,96.2
H23,28896021,29217371,27208910,93.1,272692,136346,136346,349998,174999,174999,93.6,92.7,94.2,92.1
H24,28485865,28481500,26651916,93.6,251306,125653,125653,322098,161049,161049,94,93.1,94.6,92.6
H25,28353004,28931892,26192997,90.5,228076,114038,114038,243781,121891,121890,90.9,90.1,91.3,89.7
H26,29234655,30267777,27621027,91.3,228077,114038,114039,157654,78827,78827,91.6,90.9,91.9,90.6
H27,30548861,31678118,27805940,87.8,228077,114039,114038,157657,78828,78829,88.1,87.4,88.4,87.2
H28,30595001,30641644,27775119,90.6,227009,113504,113505,157291,78646,78645,91,90.3,91.3,90
H29,30533213,31150692,27720674,89,192205,96103,96102,155334,77667,77667,89.3,88.7,89.5,88.4
H30,29837676,31265341,28229966,90.3,189655,94827,94828,131107,65553,65554,90.6,90,90.8,89.8
R1,30994502,31169974,34736308,90.6,189655,94827,94828,1385,693,692,91,90.3,91,90.3
R2,31128105,32052819,27975237,87.3,189655,94827,94828,0,0,0,87.6,87,87.6,87
R3,30791116,32705090,27957956,85.5,189655,94827,94828,0,0,0,85.8,85.2,85.8,85.2
