年度,実質収支,財源対策分,基金の増減,基金取崩,基金積立,減税補てん債,税収補てん債,実質的な収支
H3,922226,-338995,-338995,1010000,671005,0,0,583231
H4,1248584,-579858,-579858,1000000,420142,0,0,668726
H5,1262740,-68729,-68729,800000,731271,0,0,1194011
H6,1580932,-697632,2368,500000,502368,700000,0,883300
H7,967377,928048,1728048,1332000,3060048,800000,0,1895425
H8,944853,-5817021,-3578921,3845800,266879,2238100,0,-4872168
H9,731589,-2643810,-1747310,1803500,56190,0,896500,-1912221
H10,1064500,-2621416,-1600116,1620000,19884,1021300,0,-1556916
H11,1395767,-576218,-266218,270000,3782,310000,0,819549
H12,1274430,-685388,-267788,320000,52212,417600,0,589042
H13,1005084,-305940,121060,50000,171060,427000,0,699144
H14,754433,-697651,-299751,300000,249,397900,0,56782
H15,907433,-818178,-446078,946307,500229,372100,0,89255
H16,1317237,942765,1345165,0,1345165,402400,0,2260002
H17,748897,651929,1007929,0,1007929,356000,0,1400826
H18,1218401,53939,53939,0,53939,0,0,1272340
H19,1005823,-869788,-869788,885000,15212,0,0,136035
H20,893447,-894507,-894507,1410000,515493,0,0,-1060
H21,1857144,-231901,-231901,913000,681099,0,0,1625243
H22,1366450,-91632,1358368,1050000,2408368,0,0,1274818
H23,1702286,-191966,-191966,990000,798034,0,0,1510320
H24,1544920,869679,869679,675377,1545056,0,0,2414599
H25,1831362,721457,721457,1212552,1934009,0,0,2552819
H26,1071150,1096164,1096164,1206000,2302164,0,0,2167314
H27,1570344,-353445,-353445,2153000,1799555,0,0,1216899
H28,1889056,-450219,-450219,1721000,1270781,0,0,1438837
H29,1479846,1776970,1776970,1365000,3141970,0,0,3256816
H30,1021352,1613757,1613757,1080000,2693757,0,0,2635109
R1,1292548,-492744,-492744,1827000,1334256,0,0,799804
R2,2046874,169451,169451,543717,713168,0,0,2216325
R3,2786195,642750,642750,770000,1412750,0,0,3428945
