年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,節,節名称,予算額
H31,一般会計,01,議会費,01,議会費,01,議会費,001,議員人件費等,01,報酬,156015
H31,一般会計,01,議会費,01,議会費,01,議会費,001,議員人件費等,03,職員手当等,63966
H31,一般会計,01,議会費,01,議会費,01,議会費,001,議員人件費等,04,共済費,56751
H31,一般会計,01,議会費,01,議会費,01,議会費,001,議員人件費等,19,負担金・補助及び交付金,210
H31,一般会計,01,議会費,01,議会費,01,議会費,002,職員人件費等,02,給料,39181
H31,一般会計,01,議会費,01,議会費,01,議会費,002,職員人件費等,03,職員手当等,32625
H31,一般会計,01,議会費,01,議会費,01,議会費,002,職員人件費等,04,共済費,14233
H31,一般会計,01,議会費,01,議会費,01,議会費,002,職員人件費等,09,旅費,26
H31,一般会計,01,議会費,01,議会費,01,議会費,037,議会報発行経費,11,需用費,4056
H31,一般会計,01,議会費,01,議会費,01,議会費,037,議会報発行経費,13,委託料,4262
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,08,報償費,162
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,09,旅費,2905
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,10,交際費,500
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,11,需用費,1725
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,12,役務費,1617
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,13,委託料,10941
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,14,使用料及び賃借料,2167
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,18,備品購入費,538
H31,一般会計,01,議会費,01,議会費,01,議会費,038,議会運営費等経費,19,負担金・補助及び交付金,8991
H31,一般会計,02,総務費,01,総務管理費,01,一般管理費,003,職員人件費等,02,給料,733315
H31,一般会計,02,総務費,01,総務管理費,01,一般管理費,003,職員人件費等,03,職員手当等,932343
H31,一般会計,02,総務費,01,総務管理費,01,一般管理費,003,職員人件費等,04,共済費,265064
H31,一般会計,02,総務費,01,総務管理費,01,一般管理費,003,職員人件費等,09,旅費,1150
H31,一般会計,02,総務費,01,総務管理費,01,一般管理費,039,秘書事務経費,01,報酬,154
H31,一般会計,02,総務費,01,総務管理費,01,一般管理費,039,秘書事務経費,11,需用費,965
