年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,節,節名称,予算額
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,2,給料,74684
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,3,職員手当等,70073
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,4,共済費,25714
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,8,旅費,92
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,1,報酬,14548
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,3,職員手当等,1430
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,4,共済費,2
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,8,旅費,267
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,10,需用費,2408
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,11,役務費,7192
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,12,委託料,5286
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,13,使用料及び賃借料,114
R4,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,18,負担金・補助及び交付金,341
R4,国民健康保険特別会計,1,総務費,1,総務管理費,2,連合会負担金,725,国民健康保険団体連合会負担金,18,負担金・補助及び交付金,3431
R4,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,1,報酬,6802
R4,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,3,職員手当等,1266
R4,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,4,共済費,517
