年度,会計名称,款,款名称,項,項名称,目,目名称,細目,細目名称,節,節名称,予算額
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,2,給料,87545
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,3,職員手当等,85959
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,4,共済費,32173
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,33,職員人件費等,9,旅費,105
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,1,報酬,14820
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,3,職員手当等,1168
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,9,旅費,477
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,11,需用費,2622
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,12,役務費,6721
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,13,委託料,11052
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,14,使用料及び賃借料,282
R2,国民健康保険特別会計,1,総務費,1,総務管理費,1,一般管理費,724,国民健康保険事務経費,19,負担金・補助及び交付金,370
R2,国民健康保険特別会計,1,総務費,1,総務管理費,2,連合会負担金,725,国民健康保険団体連合会負担金,19,負担金・補助及び交付金,2833
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,1,報酬,6423
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,3,職員手当等,845
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,4,共済費,502
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,5,災害補償費,2
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,9,旅費,226
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,11,需用費,8189
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,12,役務費,15105
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,13,委託料,4550
R2,国民健康保険特別会計,1,総務費,2,徴税費,1,賦課徴収費,726,国民健康保険税賦課徴収事務費,27,公課費,9
R2,国民健康保険特別会計,1,総務費,3,運営協議会費,1,運営協議会費,728,国民健康保険運営協議会費,1,報酬,1365
R2,国民健康保険特別会計,1,総務費,3,運営協議会費,1,運営協議会費,728,国民健康保険運営協議会費,9,旅費,39
R2,国民健康保険特別会計,1,総務費,3,運営協議会費,1,運営協議会費,728,国民健康保険運営協議会費,13,委託料,436
R2,国民健康保険特別会計,1,総務費,3,運営協議会費,1,運営協議会費,728,国民健康保険運営協議会費,19,負担金・補助及び交付金,12
R2,国民健康保険特別会計,2,保険給付費,1,療養諸費,1,一般被保険者療養給付費,729,保険給付に要する経費,19,負担金・補助及び交付金,8849799
R2,国民健康保険特別会計,2,保険給付費,1,療養諸費,2,退職被保険者等療養給付費,730,退職被保険者等保険給付に要する経費,19,負担金・補助及び交付金,3744
R2,国民健康保険特別会計,2,保険給付費,1,療養諸費,3,一般被保険者療養費,731,保険給付に要する経費,19,負担金・補助及び交付金,90169
R2,国民健康保険特別会計,2,保険給付費,1,療養諸費,4,退職被保険者等療養費,732,退職被保険者等保険給付に要する経費,19,負担金・補助及び交付金,176
R2,国民健康保険特別会計,2,保険給付費,1,療養諸費,5,審査支払手数料,733,保険給付に要する経費,13,委託料,55173
R2,国民健康保険特別会計,2,保険給付費,2,高額療養費,1,一般被保険者高額療養費,734,保険給付に要する経費,19,負担金・補助及び交付金,1280561
R2,国民健康保険特別会計,2,保険給付費,2,高額療養費,2,退職者被保険者等高額療養費,735,退職被保険者等保険給付に要する経費,19,負担金・補助及び交付金,1153
R2,国民健康保険特別会計,2,保険給付費,2,高額療養費,3,一般被保険者高額介護合算療養費,736,保険給付に要する経費,19,負担金・補助及び交付金,1200
R2,国民健康保険特別会計,2,保険給付費,2,高額療養費,4,退職被保険者等高額介護合算療養費,737,退職被保険者等保険給付に要する経費,19,負担金・補助及び交付金,100
R2,国民健康保険特別会計,2,保険給付費,3,移送費,1,一般被保険者移送費,739,保険給付に要する経費,19,負担金・補助及び交付金,200
R2,国民健康保険特別会計,2,保険給付費,3,移送費,2,退職者被保険者等移送費,740,退職被保険者等保険給付に要する経費,19,負担金・補助及び交付金,100
R2,国民健康保険特別会計,2,保険給付費,4,出産育児諸費,1,出産育児一時金,741,保険付加給付に要する経費,12,役務費,21
R2,国民健康保険特別会計,2,保険給付費,4,出産育児諸費,1,出産育児一時金,741,保険付加給付に要する経費,19,負担金・補助及び交付金,41160
R2,国民健康保険特別会計,2,保険給付費,5,葬祭費,1,葬祭費,743,保険付加給付に要する経費,19,負担金・補助及び交付金,10000
