年度,会計名称,款,款名称,項,項名称,目,目名称,節,節名称,細節,細節名称,予算額
R3,一般会計,01,市税,01,市民税,01,個人,01,現年課税分,01,現年課税分,9715973
R3,一般会計,01,市税,01,市民税,01,個人,02,滞納繰越分,01,滞納繰越分,107599
R3,一般会計,01,市税,01,市民税,02,法人,01,現年課税分,01,現年課税分,1255629
R3,一般会計,01,市税,01,市民税,02,法人,02,滞納繰越分,01,滞納繰越分,12830
R3,一般会計,01,市税,02,固定資産税,01,固定資産税,01,現年課税分,01,現年課税分,13385611
R3,一般会計,01,市税,02,固定資産税,01,固定資産税,02,滞納繰越分,01,滞納繰越分,60535
R3,一般会計,01,市税,02,固定資産税,02,国有資産等所在市町村交付金,01,現年課税分,01,現年課税分,197972
R3,一般会計,01,市税,03,軽自動車税,01,種別割,01,現年課税分,01,現年課税分,124099
R3,一般会計,01,市税,03,軽自動車税,01,種別割,02,滞納繰越分,01,滞納繰越分,1339
R3,一般会計,01,市税,03,軽自動車税,02,環境性能割,01,現年課税分,01,現年課税分,5272
R3,一般会計,01,市税,04,市たばこ税,01,市たばこ税,01,現年課税分,01,現年課税分,751961
R3,一般会計,01,市税,05,都市計画税,01,都市計画税,01,現年課税分,01,現年課税分,1702383
R3,一般会計,01,市税,05,都市計画税,01,都市計画税,02,滞納繰越分,01,滞納繰越分,9491
R3,一般会計,02,地方譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,55885
R3,一般会計,02,地方譲与税,02,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,172641
R3,一般会計,02,地方譲与税,03,地方道路譲与税,01,地方道路譲与税,01,地方道路譲与税,01,地方道路譲与税,1
R3,一般会計,02,地方譲与税,04,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,12936
R3,一般会計,03,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,32209
R3,一般会計,04,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,164312
R3,一般会計,05,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,169347
R3,一般会計,06,法人事業税交付金,01,法人事業税交付金,01,法人事業税交付金,01,法人事業税交付金,01,法人事業税交付金,229347
R3,一般会計,07,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,3181308
