年度,会計名称,款,款名称,項,項名称,目,目名称,節,節名称,細節,細節名称,予算額
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,01,一般被保険者国民健康保険税,01,医療給付費分現年課税分,01,医療給付費分現年課税分,1853311
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,01,一般被保険者国民健康保険税,02,介護納付金分現年課税分,01,介護納付金分現年課税分,204707
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,01,一般被保険者国民健康保険税,03,医療給付費分滞納繰越分,01,医療給付費分滞納繰越分,97850
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,01,一般被保険者国民健康保険税,04,介護納付金分滞納繰越分,01,介護納付金分滞納繰越分,14580
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,01,一般被保険者国民健康保険税,05,後期高齢者支援金等分現年課税分,01,後期高齢者支援金等分現年課税分,658105
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,01,一般被保険者国民健康保険税,06,後期高齢者支援金分滞納繰越分,01,後期高齢者支援金分滞納繰越分,35550
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,02,退職被保険者等国民健康保険税,01,医療給付費分現年課税分,01,医療給付費分現年課税分,5309
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,02,退職被保険者等国民健康保険税,02,介護納付金分現年課税分,01,介護納付金分現年課税分,1745
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,02,退職被保険者等国民健康保険税,03,医療給付費分滞納繰越分,01,医療給付費分滞納繰越分,1428
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,02,退職被保険者等国民健康保険税,04,介護納付金分滞納繰越分,01,介護納付金分滞納繰越分,378
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,02,退職被保険者等国民健康保険税,05,後期高齢者支援金等分現年課税分,01,後期高齢者支援金等分現年課税分,1890
H31,国民健康保険特別会計,01,国民健康保険税,01,国民健康保険税,02,退職被保険者等国民健康保険税,06,後期高齢者支援金分滞納繰越分,01,後期高齢者支援金分滞納繰越分,462
H31,国民健康保険特別会計,04,使用料及び手数料,02,手数料,01,総務手数料,01,総務手数料,01,証明手数料,1
H31,国民健康保険特別会計,05,国庫支出金,01,国庫補助金,01,国民健康保険災害臨時特例補助金,01,国民健康保険災害臨時特例補助金,01,国民健康保険災害臨時特例補助金,650
H31,国民健康保険特別会計,07,都支出金,01,都負担金補助金,01,保険給付費等交付金,01,普通交付金,01,普通交付金,10481418
H31,国民健康保険特別会計,07,都支出金,01,都負担金補助金,01,保険給付費等交付金,02,特別交付金,01,特別交付金,153598
H31,国民健康保険特別会計,07,都支出金,01,都負担金補助金,02,都費補助金,01,都費補助金,01,都費補助金,32653
H31,国民健康保険特別会計,09,財産収入,01,財産運用収入,02,利子及び配当金,01,利子及び配当金,01,基金積立金利子,1
H31,国民健康保険特別会計,11,繰入金,01,他会計繰入金,01,一般会計繰入金,01,保険基盤安定繰入金（保険税軽減分）,01,保険基盤安定繰入金（保険税軽減分）,304696
H31,国民健康保険特別会計,11,繰入金,01,他会計繰入金,01,一般会計繰入金,02,保険基盤安定繰入金（保険者支援分）,01,保険基盤安定繰入金（保険者支援分）,198269
H31,国民健康保険特別会計,11,繰入金,01,他会計繰入金,01,一般会計繰入金,03,職員給与等繰入金,01,職員給与等繰入金,327412
H31,国民健康保険特別会計,11,繰入金,01,他会計繰入金,01,一般会計繰入金,04,出産育児一時金等繰入金,01,出産育児一時金等繰入金,32760
H31,国民健康保険特別会計,11,繰入金,01,他会計繰入金,01,一般会計繰入金,06,その他一般会計繰入金,01,その他一般会計繰入金,1000292
H31,国民健康保険特別会計,11,繰入金,02,基金繰入金,01,財政運営基金繰入金,01,財政運営基金繰入金,01,財政運営基金繰入金,153432
H31,国民健康保険特別会計,12,繰越金,01,繰越金,02,その他繰越金,01,その他繰越金,01,前年度繰越金,1
H31,国民健康保険特別会計,13,諸収入,01,延滞金・加算金及び過料,01,延滞金,01,一般被保険者延滞金,01,一般被保険者保険税延滞金,22000
H31,国民健康保険特別会計,13,諸収入,01,延滞金・加算金及び過料,01,延滞金,02,退職被保険者等延滞金,01,退職被保険者等保険税延滞金,600
H31,国民健康保険特別会計,13,諸収入,01,延滞金・加算金及び過料,02,加算金,01,一般被保険者加算金,01,一般被保険者加算金,1
H31,国民健康保険特別会計,13,諸収入,01,延滞金・加算金及び過料,02,加算金,02,退職被保険者等加算金,01,退職被保険者等加算金,1
H31,国民健康保険特別会計,13,諸収入,02,預金利子,01,預金利子,01,預金利子,01,歳計現金預金利子,34
H31,国民健康保険特別会計,13,諸収入,04,雑入,01,滞納処分費,01,滞納処分費,01,滞納処分費,1
H31,国民健康保険特別会計,13,諸収入,04,雑入,05,一般被保険者第三者納付金,01,一般被保険者第三者納付金,01,一般被保険者第三者納付金,1
