"年度","内訳","健診 40歳以上 基本検査受診者[人]","健診 40歳以上 詳細・港区独自検査受診者[人]","健診 40歳以上 所見のある人[人]","区民健診(30健診)30歳以上39歳以下 受診者[人]","区民健診(30健診)30歳以上39歳以下 要指導[人]","区民健診(30健診)30歳以上39歳以下 要医療[人]"
"2014",,"23769","25695","21724","1055","853","118"
"2015",,"24053","25916","21954","1014","825","124"
"2016",,"23323","25148","21326","894","738","91"
"2017",,"23009","24749","21043","933","713","104"
"2018",,"22354","23988","20702","2616","1520","67"
"2018","特定健診","12667","12659","11403",,,
"2018","後期高齢者(長寿)医療制度の健診","8715","8715","8425",,,
"2018","基本健診","972","971","874",,,
"2018","集合契約","0","1643","0",,,

"令和元年度港区行政資料集　健康診査","Ver201903",,,,,,
