"年月[西暦]","調査項目","設問","会・グループ等","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","週４回以上","10","0.6","0.8"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","週２～３回","32","1.9","2.6"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","週１回","37","2.2","3.1"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","月１～３回","63","3.8","5.2"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","年に数回","68","4.1","5.6"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","参加していない","1001","59.8","82.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","ア．ボランティアのグループ","無回答","464","27.7",
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","週４回以上","33","2.0","2.5"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","週２～３回","200","11.9","15.3"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","週１回","173","10.3","13.3"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","月１～３回","61","3.6","4.7"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","年に数回","46","2.7","3.5"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","参加していない","790","47.2","60.6"
"202003","日常生活全般について","Q16. 以下のような会・グループ等にどのくらいの頻度で参加していますか。アからクのそれぞれの項目に回答してください。（項目ア～クについて「１」～「６」に○を１つずつ）","イ．スポーツ関係のグループやクラブ","無回答","372","22.2",
