"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2018","総務費",,"160480"
"2018","広域連合負担金",,"4927605"
"2018","保険給付費",,"67734"
"2018","保健事業費",,"100501"
"2018","諸支出金",,"3273"
"2018","予備費",,"0"
"2018","歳出合計",,"5259595"
"2019","総務費",,"129027"
"2019","広域連合負担金",,"5211656"
"2019","保険給付費",,"71357"
"2019","保健事業費",,"102545"
"2019","諸支出金",,"4082"
"2019","予備費",,"0"
"2019","歳出合計",,"5518668"
"2020","総務費","198243","190422"
"2020","広域連合負担金","5251945","5251556"
"2020","保険給付費","84140","74790"
"2020","保健事業費","107555","95064"
"2020","諸支出金","5427","5412"
"2020","予備費","49753","0"
"2020","歳出合計","5697063","5617245"
"2021","総務費","162344","136307"
"2021","広域連合負担金","5230236","5229140"
"2021","保険給付費","84163","73487"
"2021","保健事業費","112842","97166"
"2021","諸支出金","4925","4336"
"2021","予備費","49275","0"
"2021","歳出合計","5643785","5540434"
"2022","総務費","156562","146813"
"2022","広域連合負担金","5833323","5832848"
"2022","保険給付費","84166","81473"
"2022","保健事業費","108801","102425"
"2022","諸支出金","4600","4589"
"2022","予備費","46853","0"
"2022","歳出合計","6234305","6168148"

"令和5年度港区行政資料集　後期高齢者医療会計歳出決算","Ver202303",,
