"職種","現員 統括参事[人]","現員 参事[人]","現員 統括課長[人]","現員 副参事[人]","現員 課長補佐[人]","現員 係長[人]","現員 主査[人]","現員 主任[人]","現員 主事[人]","現員 計[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 派遣法による派遣[人]","定数外 派遣交流[人]","定数外 配偶者同行休業[人]"
"事務","0","11","18","32","40","174","32","346","352","1005","11","17","31","6","0","1"
"社会教育","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(a)事務系計","0","11","18","32","40","174","32","346","352","1005","11","17","31","6","0","1"
"福祉 福祉","0","1","0","4","2","21","27","18","31","104","0","1","2","3","0","0"
"福祉 児童指導","0","0","0","0","1","9","1","21","18","50","0","0","0","0","0","0"
"福祉 保育士","0","0","0","0","4","41","8","103","175","331","0","0","16","0","0","0"
"心理","0","0","0","0","0","3","1","2","5","11","0","0","0","0","0","0"
"(b)福祉系計","0","1","0","4","7","74","37","144","229","496","0","1","18","3","0","0"
"土木造園 土木技術","0","3","0","8","9","19","1","20","31","91","1","0","1","0","0","0"
"土木造園 造園技術","0","0","0","1","0","3","0","2","3","9","0","0","2","0","0","0"
"建築","0","1","2","5","4","21","1","21","28","83","1","0","2","0","0","0"
"機械","0","0","0","0","0","1","0","5","2","8","0","0","0","0","0","0"
"電気","0","0","1","0","0","1","1","2","2","7","1","1","0","0","0","0"
"衛生監視 保健衛生","0","0","0","0","0","5","2","11","6","24","0","0","1","0","0","0"
"衛生監視 食品衛生","0","0","0","1","1","3","1","11","7","24","0","1","1","0","0","0"
"衛生監視 化学技術","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"学芸研究","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"(c)一般技術系計","0","4","3","15","14","53","6","72","80","247","3","2","7","0","0","0"
"医師","0","3","0","0","0","0","1","0","0","4","0","0","0","0","0","0"
"診療放射線","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"歯科衛生","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"理学療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"作業療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"検査技術","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0"
"栄養士","0","0","0","0","0","1","4","2","2","9","0","0","0","0","0","0"
"保健師","0","0","0","1","4","2","6","8","14","35","0","1","6","0","0","0"
"看護師","0","0","0","0","0","0","5","8","3","16","0","0","0","0","0","0"
"(d)医療技術系計","0","3","0","1","6","3","16","20","21","70","0","1","6","0","0","0"
"１ 自動車運転","0","0","0","0","0","5","0","5","2","12","0","0","0","0","0","0"
"２ 警備","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"２ 作業１","0","0","0","0","0","0","0","2","14","16","0","0","0","0","0","0"
"３ 調理","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"３ 用務","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"３ 作業２","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"４ 家庭奉仕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"５ 自動車運転２","0","0","0","0","0","2","0","14","2","18","0","0","0","0","0","0"
"５ 自動車整備","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"６ 作業３","0","0","0","0","1","12","0","51","17","81","0","0","0","0","0","0"
"(e)技能系計","0","0","0","0","1","19","0","80","35","135","0","0","0","0","0","0"
"事務（業務）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(f)業務系計","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1)(a)～(f)一般関係計","0","19","21","52","68","323","91","662","717","1953","14","21","62","9","0","1"

"令和3年度港区行政資料集　一般関係職員（常勤職員）・再任用フルタイム勤務職員を含む","Ver202104",,,,,,,,,,,,,,,
