,,,,,,,(単位：ＴＥＵ）
国別・港別,合計,,,輸出,,輸入,
,計,実入,空,実入,空,実入,空
北アメリカ,"613,237","587,922","25,315","236,596","22,586","351,326","2,729"
カナダ,"88,901","87,232","1,669","12,043",812,"75,189",857
ハリファクス,36,36,-,-,-,36,-
モントリオール,1,1,-,-,-,1,-
プリンスルーパート,452,252,200,1,-,251,200
バンクーバー,"88,412","86,943","1,469","12,042",812,"74,901",657
アメリカ,"510,449","487,693","22,756","222,257","21,228","265,436","1,528"
ボストン,90,90,-,-,-,90,-
ニューヨーク,640,638,2,-,-,638,2
ボルチモア,304,304,-,-,-,304,-
チャールストン,"14,061","14,055",6,"6,799",2,"7,256",4
サバンナ,"37,940","37,931",9,"32,300",5,"5,631",4
ジャクソンビル,"3,281","3,281",-,"1,364",-,"1,917",-
ノーフォーク,"24,672","24,666",6,"7,019",3,"17,647",3
シカゴ,2,2,-,1,-,1,-
モビール,10,10,-,-,-,10,-
ヒューストン,75,75,-,-,-,75,-
ダッチハーバー,"1,304","1,304",-,-,-,"1,304",-
シアトル,138,138,-,-,-,138,-
エヴァレット,69,49,20,35,-,14,20
タコマ,"127,944","116,808","11,136","48,590","10,424","68,218",712
オークランド,"81,876","70,834","11,042","10,200","10,547","60,634",495
ロサンゼルス,"179,837","179,334",503,"102,950",219,"76,384",284
ロングビーチ,"29,845","29,814",31,"12,994",28,"16,820",3
諸港(アメリカ),"8,361","8,360",1,5,-,"8,355",1
メキシコ,"9,341","9,001",340,-,-,"9,001",340
ベラクルス,9,9,-,-,-,9,-
マンサニーヨ,"9,330","8,992",338,-,-,"8,992",338
ラザロカルディナス,2,-,2,-,-,-,2
ホンジュラス,9,9,-,-,-,9,-
プエルトコルテス,7,7,-,-,-,7,-
サンロレンゾ,2,2,-,-,-,2,-
コスタリカ,8,8,-,-,-,8,-
カルデラ,8,8,-,-,-,8,-
パナマ,"4,512","3,962",550,"2,296",546,"1,666",4
コロン,952,870,82,671,82,199,-
クリストバル,3,3,-,-,-,3,-
バルボア,991,991,-,-,-,991,-
マンザニロ,"2,566","2,098",468,"1,625",464,473,4
ドミニカ共和国,2,2,-,-,-,2,-
カウセード,2,2,-,-,-,2,-
ジャマイカ,5,5,-,-,-,5,-
キングストン,5,5,-,-,-,5,-
ベリーズ,10,10,-,-,-,10,-
ベリーズ,10,10,-,-,-,10,-
南アメリカ,"17,043","15,286","1,757",185,"1,752","15,101",5
コロンビア,9,9,-,-,-,9,-
カルタヘナ,5,5,-,-,-,5,-
ブエナベンツラ,4,4,-,-,-,4,-
エクアドル,508,58,450,-,450,58,-
グァヤキル,508,58,450,-,450,58,-
ペルー,"2,341","2,339",2,-,-,"2,339",2
パイタ,4,4,-,-,-,4,-
カヤオ,"2,281","2,279",2,-,-,"2,279",2
マタラニ,56,56,-,-,-,56,-
チリ,"11,858","10,553","1,305",-,"1,302","10,553",3
バルパライソ,83,83,-,-,-,83,-
サンアントニオ,378,378,-,-,-,378,-
プンタ　アレナス,2,2,-,-,-,2,-
リルケン,"9,160","9,158",2,-,-,"9,158",2
コロネル,"1,732",430,"1,302",-,"1,302",430,-
プエルトアンガモス,503,502,1,-,-,502,1
ブラジル,"1,944","1,944",-,185,-,"1,759",-
サントス,483,483,-,185,-,298,-
パラナグァ,"1,066","1,066",-,-,-,"1,066",-
リオグランデ,32,32,-,-,-,32,-
イタジャイ及びナヴェガンテス,24,24,-,-,-,24,-
セペティバ及びイタグアイ,43,43,-,-,-,43,-
諸港(ブラジル）,296,296,-,-,-,296,-
アルゼンチン,281,281,-,-,-,281,-
ブエノスアイレス,159,159,-,-,-,159,-
プエルトマドリン,122,122,-,-,-,122,-
ウルグアイ,6,6,-,-,-,6,-
モンテビデオ,6,6,-,-,-,6,-
パラグアイ,96,96,-,-,-,96,-
アスンシオン,96,96,-,-,-,96,-
アフリカ,287,287,-,64,-,223,-
チュニジア,3,3,-,-,-,3,-
ピゼルタ,3,3,-,-,-,3,-
エジプト,80,80,-,-,-,80,-
ソクナポート,80,80,-,-,-,80,-
スーダン,2,2,-,-,-,2,-
ポートスーダン,2,2,-,-,-,2,-
ガーナ,5,5,-,-,-,5,-
テマ,5,5,-,-,-,5,-
ケニア,3,3,-,-,-,3,-
モンバサ,3,3,-,-,-,3,-
南アフリカ,194,194,-,64,-,130,-
ダーバン,30,30,-,-,-,30,-
ポートエリザベス,64,64,-,64,-,-,-
ケープタウン,100,100,-,-,-,100,-
太洋州,"18,739","16,698","2,041","1,960","1,904","14,738",137
オーストラリア,897,478,419,202,419,276,-
ブリスベーン,664,245,419,202,419,43,-
シドニー,27,27,-,-,-,27,-
メルボルン,206,206,-,-,-,206,-
ニュージーランド,"17,842","16,220","1,622","1,758","1,485","14,462",137
オークランド,"2,314","1,668",646,"1,613",610,55,36
タウランガ,"9,928","9,396",532,37,432,"9,359",100
リッテルトン,"2,056","1,928",128,54,127,"1,874",1
ナピア,"3,544","3,228",316,54,316,"3,174",-
