,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
品種,,タコマ,オークランド,高雄,大連,厦門,カイメップ,ハイフォン,ポートケラン,"新港,天津",寧波－舟山,ハンブルグ,ジャカルタ,"ホーチミン
及びカトライ",ロッテルダム,マニラ,煙台,ルアーブル,ロングビーチ,ノーフォーク,台中,品種,,,,
合計,,"996,688","951,363","849,900","747,346","726,164","712,354","706,500","676,269","647,969","630,139","537,166","532,198","518,953","484,866","392,092","386,402","281,622","264,189","263,514","226,188",合計,,,,
農水産品,,"106,573","670,507","90,893","84,733","58,239","89,873","8,698","16,027","9,858","37,683","21,366","6,701","42,484","48,346","3,768","162,153","18,495","30,028","35,931","9,178",農水産品,,,,
1,麦,225,810,-,-,45,-,-,-,-,-,-,-,-,-,-,-,"1,470",-,-,-,1,麦,,,
2,米,-,"13,530","1,095",300,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,2,米,,,
3,とうもろこし,720,285,-,-,75,-,-,-,-,-,-,-,-,-,-,-,15,780,915,-,3,とうもろこし,,,
4,豆類,"9,350",645,45,345,30,-,-,15,30,795,-,-,-,-,15,-,38,"3,840","13,080",-,4,豆類,,,
5,その他雑穀,"5,440",-,-,75,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,
6,野菜・果物,"43,449","122,721","44,551","9,251","47,490","6,768","3,954","2,563","6,451","12,243",440,-,"3,721","2,050",638,"91,437","1,230","4,623",-,"2,533",6,野菜・果物,,,
7,綿花,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,
8,その他農産品,"8,431","5,382","8,932","8,019","4,194","15,398",45,"1,133","2,834",45,"2,659",935,"9,855","8,798",75,"12,309","1,136",749,"11,428","6,615",8,その他農産品,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,
10,その他畜産品,"31,539","526,294","11,591",285,978,19,-,"3,965",408,"1,388","14,541",-,26,"13,263",939,30,"14,321","19,526","10,418",-,10,その他畜産品,,,
11,水産品,"7,419",840,"24,574","66,458","5,427","67,688","4,699","8,351",105,"23,212","3,726","5,766","28,882","24,235","2,101","58,377",285,480,90,30,11,水産品,,,
林産品,,"69,326",30,"28,408","7,003","4,239",300,"3,998","61,696",933,"5,145","47,294",190,"4,156","35,673",300,60,"1,432",237,"1,191",-,林産品,,,,
12,原木,90,-,-,15,-,-,68,64,-,60,-,25,-,-,-,-,-,23,92,-,12,原木,,,
13,製材,"68,727",30,"26,758","5,698","2,543",-,-,"54,217",513,"3,600","45,922",30,516,"34,988",-,-,30,206,"1,099",-,13,製材,,,
14,樹脂類,-,-,720,-,270,165,-,"1,700",-,-,120,90,"1,739",105,-,-,682,-,-,-,14,樹脂類,,,
15,木材チップ,209,-,90,360,-,60,-,15,-,-,"1,252",15,690,360,-,-,720,8,-,-,15,木材チップ,,,
16,その他林産品,-,-,690,-,-,-,-,-,-,-,-,-,-,220,-,-,-,-,-,-,16,その他林産品,,,
