"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","はい[人]","いいえ[人]","無回答[人]"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","全体",,"141","13","127","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性（計）","66","4","61","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 18～29歳","6","0","6","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 30～39歳","19","1","18","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 40～49歳","16","1","15","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 50～59歳","11","0","11","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 60～69歳","8","1","6","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 70歳以上","6","1","5","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","男性 無回答","0","0","0","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性（計）","75","9","66","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 18～29歳","13","3","10","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 30～39歳","17","3","14","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 40～49歳","18","0","18","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 50～59歳","10","2","8","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 60～69歳","12","1","11","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 70歳以上","5","0","5","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","女性 無回答","0","0","0","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","性・年代別","無回答","0","0","0","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","自営業主・家族従業","17","0","17","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","会社員・団体職員・公務員","76","6","70","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","アルバイト・パートタイマー","9","1","8","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","家事専業","7","2","5","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","学生","7","1","6","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","無職","18","3","14","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","その他","7","0","7","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","職業別","無回答","0","0","0","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","居住地区別","芝地区","25","4","21","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","居住地区別","麻布地区","23","1","22","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","居住地区別","赤坂地区","23","0","22","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","居住地区別","高輪地区","37","5","32","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","居住地区別","芝浦港南地区","32","3","29","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","居住地区別","無回答","1","0","1","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","持家（一戸建）","13","0","13","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","持家（マンション）","63","8","54","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","借家（一戸建）","3","0","3","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","民間の賃貸マンション・アパート","41","4","37","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","都営住宅・区営住宅・区立住宅","10","1","9","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","3","0","3","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","社宅・公務員宿舎","6","0","6","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","寮・寄宿舎・住み込み・間借り","1","0","1","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","その他","1","0","1","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","住居形態別","無回答","0","0","0","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","ずっと住み続けていたい","61","6","55","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","当分は住んでいたい","60","5","54","1"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","16","2","14","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","0","0","0","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","近いうちに区外に転居する予定である","1","0","1","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","わからない","3","0","3","0"
"202203","自殺対策","Q28-1. （問28 で「 １ 」とお答えの方に）最近１年以内にそう考えたことがある。","定住意向別","無回答","0","0","0","0"

"第33回港区民世論調査クロス集計表・自殺対策Q28-1","Ver202203",,,,,,,
