"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日","緯度","経度"
"202206","2022/6/3","店舗販売業","廃止","くすりの福太郎　新橋店","東京都港区新橋二丁目18番9号","1階","03-6228-5923","31港み生薬第33号","2022/5/15","35.666979","139.75873"
"202206","2022/6/10","店舗販売業","廃止","大里厚養堂","東京都港区三田五丁目12番3‐101号",,"03-3451-6708","28港み生薬第98号","2022/5/31","35.645361","139.738459"
"202207","2022/7/1","店舗販売業","廃止","三田ひふみ","東京都港区芝四丁目1番23号","三田N.N.ビル地下1階","03-5443-2558","3港み生薬第14号","2022/6/24","35.649063","139.749451"
"202208","2022/8/30","店舗販売業","休止","メディスン　カスミ","東京都港区高輪二丁目16番10号",,"03-6277-1208","3港み生薬第59号",,"35.639859","139.739756"
"202209","2022/9/15","店舗販売業","廃止","白金癒淹","東京都港区白金台一丁目1番16号","S-SHIROKANEDAI 1階","03-5422-9425","28港み生薬第13号","2022/9/22","35.639061","139.728710"
"202210","2022/10/31","店舗販売業","廃止","六本木グランドタワードラッグ","東京都港区六本木三丁目2番1号","住友不動産六本木グランドタワー1階","03-5545-5455","30港み生薬第12号","2022/10/27","35.664718","139.737760"
"202211","2022/11/7","店舗販売業","廃止","株式会社コーケン　コーケン薬店","東京都港区芝公園二丁目9番5号","向陽ビル5階","03-3434-7681","2港み生薬第62号","2022/10/28","35.654808","139.752090"
"202212","2022/12/22","店舗販売業","廃止","アズドラッグ","東京都港区虎ノ門三丁目16番13号",,"03-3435-7234","23港み生薬第4号","2022/12/27","35.663866","139.746616"
"202301","2023/1/31","店舗販売業","廃止","株式会社ナチュラリ","東京都港区南青山二丁目27番27号","丸八青山ビル3階","03-6721-1570","2港み生薬第1号","2022/6/1","35.669569","139.716811"
"202302","2023/2/28","店舗販売業","廃止","スマイル芝浦店","東京都港区芝浦三丁目6番12号","サンテ芝浦ビル1階","03-3451-4515","31港み生薬第70号","2023/2/20","35.642971","139.747699"
"202303","2023/3/17","店舗販売業","廃止","麻布漢方　Ｈｅｒｂａｌ　Ｒｏｏｍ","東京都港区麻布十番一丁目4番8号","永坂ビル202号室","03-6435-5866","30港み生薬第61号","2023/3/16","35.657047","139.734846"
"202303","2023/3/28","店舗販売業","廃止","株式会社再春館製薬所　高輪「伝統薬房」","東京都港区高輪四丁目10番58号","1階","03-3444-4444","30港み生薬第15号","2023/3/24","35.627411","139.733384"

"医薬品販売業（店舗販売業）廃止休止一覧(令和5年3月31日現在)","Ver202303",,,,,,,,,,
