"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている(公表の内容を見たことがある)[人]","知っているが公表の内容は見たことがない[人]","知らない[人]","無回答[人]"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","全体",,"558","64","86","401","7"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性（計）","231","23","38","168","2"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 18～29歳","13","0","2","11","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 30～39歳","38","3","6","29","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 40～49歳","50","4","5","41","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 50～59歳","47","6","8","32","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 60～69歳","42","5","9","28","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 70歳以上","40","5","8","26","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","0","1","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性（計）","313","40","47","223","3"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 18～29歳","26","2","2","21","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 30～39歳","49","11","7","30","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 40～49歳","78","8","11","59","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 50～59歳","62","9","7","46","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 60～69歳","56","7","12","36","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 70歳以上","42","3","8","31","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","性・年代別","無回答","14","1","1","10","2"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","自営業主・家族従業","86","6","18","61","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","27","34","181","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","5","4","25","1"
"202203","区政全般","Q9. 区民の皆さまからいただいたご意見やご提案等と、それに対する区の対応や考え方等の要旨を区公式ホームページ等で公表しています。あなたはこのことを知っていますか。（１つ選択）","職業別","家事専業","55","9","6","40","0"
