設置主体,名称,郵便番号,住所,電話番号,ＦＡX番号
立川市,立川市健康会館,190-0011,立川市高松町３－２２－９,042-527-3632,042-521-0422
武蔵野市,武蔵野市立保健センター,180-0001,武蔵野市吉祥寺北町４－８－１０,0422-51-7004,0422-51-9297
三鷹市,三鷹市総合保健センター,181-0004,三鷹市新川６－３７－１　元気創造プラザ２階,0422-24-7145,0422-46-4827
青梅市,青梅市健康センター,198-0042,青梅市東青梅１－１７４－１,0428-23-2191,0428-23-2195
府中市,府中市保健センター,183-0055,府中市府中町２－２５,042-368-5311,042-334-5535
昭島市,昭島市保健福祉センター「あいぽっく」,196-0015,昭島市昭和町４－７－１,042-544-5126,042-544-7130
調布市,調布市保健センター,182-0026,調布市小島町２－３３－１,042-441-6100,042-441-6101
小金井市,小金井市保健センター,184-0015,小金井市貫井北町５－１８－１８,042-321-1240,042-321-6423
小平市,小平市健康センター,187-0043,小平市学園東町１－１９－１２,042-346-3700,042-346-3705
日野市,日野市生活・保健センター,191-0011,日野市日野本町１－６－２,042-581-4111,042-583-2400
東村山市,東村山市保健福祉総合センター「いきいきプラザ」,189-8501,東村山市本町１－２－３,042-393-5111,042-395-2131
国分寺市,国分寺市いずみ保健センター,185-0024,国分寺市泉町２－３－８,042-321-1801,042-320-1181
国立市,国立市保健センター,186-0003,国立市富士見台３－１６－５,042-572-6111,042-574-3930
福生市,福生市保健センター,197-0011,福生市大字福生２１２５－３,042-552-0061,042-530-5324
狛江市,狛江市保健センター（あいとぴあセンター）,201-0013,狛江市元和泉２－３５－１,03-3488-1181,03-3488-9100
東大和市,東大和市立保健センター,207-0015,東大和市中央３－９１８－１,042-565-5211,042-561-0711
清瀬市,清瀬市しあわせ未来センター,204-8511,清瀬市中里５－８４２,042-492-5111,042-495-9222
東久留米市,東久留米市わくわく健康プラザ,203-0033,東久留米市滝山４－３－１４,042-477-0030,042-477-0033
武蔵村山市,武蔵村山市立保健相談センター,208-0004,武蔵村山市本町１－２３,042-565-9315,042-565-0287
多摩市,多摩市立健康センター,206-0011,多摩市関戸４－１９－５,042-376-9111,042-371-1235
稲城市,稲城市保健センター,206-0804,稲城市百村１１２－１,042-378-3421,042-377-4944
羽村市,羽村市保健センター,205-0003,羽村市緑ケ丘５－５－２,042-555-1111,042-554-4767
あきる野市,あきる野市あきる野保健相談所,197-0804,あきる野市秋川６－１－２,042-558-5091,-
あきる野市,あきる野市五日市保健センター,190-0164,あきる野市五日市４１４－５,042-558-1111,-
西東京市,西東京市田無総合福祉センター,188-0011,西東京市田無町５－５－１２,042-466-1670,042-466-1411
西東京市,西東京市保谷保健福祉総合センター,202-8555,西東京市中町１－５－１,042-464-1311,042-422-7309
瑞穂町,瑞穂町保健センター,190-1211,西多摩郡瑞穂町大字石畑１９７０,042-557-5072,042-557-7414
日の出町,日の出町保健センター,190-0192,西多摩郡日の出町大字平井２７８０,042-588-5426,042-597-0628
檜原村,檜原村やすらぎの里,190-0211,西多摩郡檜原村２７１７,042-598-3121,042-598-1263
奥多摩町,奥多摩町保健福祉センター,198-0212,西多摩郡奥多摩町氷川１１１１,0428-83-2777,0428-83-2833
大島町,大島けんこうセンター,100-0102,大島町岡田字沢立１１１－１,04992-2-1482（福祉けんこう課けんこう係）,04992-2-4430（福祉けんこう課けんこう係）
新島村,新島村さわやか健康センター,100-0402,新島村本村３－１２－８,04992-5-1856,04992-5-1857
神津島村,神津島村保健センター,100-0601,神津島村１００９－１,04992-8-0010,04992-8-7256
八丈町,八丈町保健福祉センター,100-1511,八丈町三根２－１,04996-2-5570（福祉健康課保健係）,04996-2-7923（福祉健康課保健係）
青ヶ島村,青ヶ島村保健福祉センター,100-1701,青ヶ島村無番地,04996-9-0111,04996-9-0001
