病因物質,件数,患者数,構成比（％）／件数,構成比（％）／患者数,備考
合計,149,2258,100,100,
細菌／サルモネラ,6,108,4,4.8,飲食店の食事3件、親子丼弁当、つけめん、日替わり定食
細菌／黄色ブドウ球菌,4,31,2.7,1.4,家庭で調製した弁当、さけおにぎり、会食料理、ポテトサラダ
細菌／腸炎ビブリオ,1,4,0.7,0.2,焼きサンマ
細菌／腸管出血性大腸菌,5,32,3.4,1.4,飲食店の食事4件、会食料理(ナムルを含む)
細菌／ウエルシュ菌,2,63,1.3,2.8,ランチビュッフェで提供された食品、合鴨のコンソメ煮
細菌／セレウス菌,2,8,1.3,0.4,弁当、黒チャーハンセット
細菌／カンピロバクター,47,271,31.5,12,飲食店の食事14件、会食料理10件、会食料理(鶏わさを含む)4件、コース料理3件、会食料理(鶏刺しを含む)3件、飲食店の食事(加熱不十分な鶏肉を含む)2件、焼肉等2件、調理実習での食事、鶏料理、とりわさ、生親子丼、飲食店の食事(鶏肉料理を含む)、会食料理(鶏ささみを含む)、焼き鳥、不明2件
細菌／サルモネラ及びカンピロバクター,1,2,0.7,0.1,飲食店の食事
ウイルス／ノロウイルス,56,1576,37.6,69.8,飲食店の食事13件、会食料理12件、原因施設が提供した食事4件、弁当4件、仕出し弁当3件、給食2件、カキ料理2件、生カキ2件、生食用カキ2件、焼きカキ2件、飲食店の食事(生カキを含む)2件、飲食店の食事(カキを含む)、蒸しガキ、生カキ及び焼きカキ、刺身、仕出し料理、寿司、ちらし寿司、もち
寄生虫／アニサキス,13,14,8.7,0.6,刺身2件、秋サケの漬け、真イワシ刺身、寿司、シメサバ、握り寿司、刺身又は寿司、海鮮丼(シメサバ、ワラサを含む)、刺身盛り合わせ5種、生サバのカルパッチョ、飲食店の食事、不明
寄生虫／クドア・セプテンプンクタータ,1,2,0.7,0.1,ヒラメの握り寿司
化学物質／ヒスタミン,5,52,3.4,2.3,ブリのいしる漬干し焼き、ブリの粕漬け焼き、ブリ唐揚げ、焼魚（イワシ）、サンマハンバーグ
化学物質／塩素,1,5,0.7,0.2,有効塩素510mg/Lが混入した水
自然毒／植物性自然毒,1,2,0.7,0.1,バイケイソウ類（ユリ科シュロソウ属）の植物
不明,4,88,2.7,3.9,会食料理2件、飲食店の食事、飲食店の食事(カンパチのお造りを含む)
