食品名,１月／件数,１月／患者数,２月／件数,２月／患者数,３月／件数,３月／患者数,４月／件数,４月／患者数,５月／件数,５月／患者数,６月／件数,６月／患者数,７月／件数,７月／患者数,８月／件数,８月／患者数,９月／件数,９月／患者数,１０月／件数,１０月／患者数,１１月／件数,１１月／患者数,１２月／件数,１２月／患者数,合計／件数,合計／患者数
合計,23,780,13,227,19,225,12,146,14,94,14,159,16,156,4,16,11,71,8,183,6,99,9,102,149,2258
魚介類／生カキ,NV／1,NV／10,NV／1,NV／4,,,,,,,,,,,,,,,,,,,,,2,14
魚介類／刺身,NV／1，寄ア／1,NV／70，寄ア／1,,,,,,,,,,,,,,,,,,,,,寄ア／1,寄ア／1,3,72
魚介類／カキ料理,,,NV／1,NV／12,NV／1,NV／8,,,,,,,,,,,,,,,,,,,2,20
魚介類／生食用カキ,,,NV／1,NV／7,NV／1,NV／6,,,,,,,,,,,,,,,,,,,2,13
魚介類／生カキ及び焼きカキ,,,,,NV／1,NV／8,,,,,,,,,,,,,,,,,,,1,8
魚介類／魚介類焼きカキ,,,,,NV／2,NV／24,,,,,,,,,,,,,,,,,,,2,24
魚介類／生サバのカルパッチョ,,,,,,,寄ア／1,寄ア／1,,,,,,,,,,,,,,,,,1,1
魚介類／蒸しガキ,,,,,,,,,,,NV／1,NV／9,,,,,,,,,,,,,1,9
魚介類／ブリの粕漬け焼き,,,,,,,,,,,ヒスタミン／1,ヒスタミン／9,,,,,,,,,,,,,1,9
魚介類／刺身盛り合わせ5種,,,,,,,,,,,,,寄ア／1,寄ア／1,,,,,,,,,,,1,1
魚介類／サンマハンバーグ,,,,,,,,,,,,,,,ヒスタミン／1,ヒスタミン／6,,,,,,,,,1,6
魚介類／真イワシ刺身,,,,,,,,,,,,,,,,,寄ア／1,寄ア／1,,,,,,,1,1
魚介類／その他又はすし類／刺身又は寿司,,,,,,,,,,,,,,,,,,,,,寄ア／1,寄ア／1,,,1,1
魚介類加工品／ブリのいしる漬干し焼き,ヒスタミン／1,ヒスタミン／1,,,,,,,,,,,,,,,,,,,,,,,1,5
魚介類加工品／シメサバ,寄ア／1,寄ア／1,,,,,,,,,,,,,,,,,,,,,,,1,1
魚介類加工品／ブリ唐揚げ,,,,,,,,,,,,,ヒスタミン／1,ヒスタミン／3,,,,,,,,,,,1,3
魚介類加工品／焼魚(イワシ),,,,,,,,,,,,,ヒスタミン／1,ヒスタミン／29,,,V.p／1,V.p／4,,,,,,,1,29
魚介類加工品／焼きサンマ,,,,,,,,,,,,,,,,,寄ア／1,寄ア／1,,,,,,,1,4
魚介類加工品／秋サケの漬け,,,,,,,,,,,,,,,,,,,,,,,,,1,1
肉類／とりわさ,,,,,,,,,,,Camp／1,Camp／3,,,,,,,,,,,,,1,3
肉類／飲食店の食事,,,,,,,,,,,Camp／1,Camp／2,,,,,Camp／1,Camp／3,,,,,,,1,2
肉類／焼き鳥,,,,,,,,,,,,,,,,,,,,,,,,,1,3
肉類／合鴨のコンソメ煮,,,,,,,,,,,,,,,,,,,,,C.p／1,C.p／53,,,1,53
穀類／さけおにぎり,,,,,,,,,,,Sta／1,Sta／2,,,,,,,,,,,,,1,2
穀類／もち,,,,,,,,,,,,,,,,,,,,,,,NV／1,NV／38,1,38
複合／弁当,,,,,,,,,,,,,,,,,,,,,,,,,3,55
複合／仕出し弁当,,,,,,,,,,,,,,,,,,,,,,,,,1,321
複合／海鮮丼(シメサバ、ワラサを含む),,,,,,,,,,,,,,,,,,,,,,,,,1,1
複合／家庭で調製した弁当,,,,,,,,,Sta／1,Sta／21,,,,,,,,,,,,,,,1,21
複合／生親子丼,,,,,,,,,Camp／1,Camp／3,,,,,,,,,,,,,,,1,3
複合／日替わり定食,,,,,,,,,Sal／1,Sal／7,,,,,,,,,,,,,,,1,7
複合／ポテトサラダ,,,,,,,,,,,,,,,,,Sta／1,Sta／4,,,,,,,1,4
複合／親子丼弁当,,,,,,,,,,,,,,,,,,,,,Sal／1,Sal／23,,,1,23
すし類／寿司,NV／1,NV／16,,,,,NV／1,NV／6,,,,,寄ア／1,寄ア／1,,,,,,,,,,,2,17
すし類／ちらし寿司,,,,,,,,,,,,,,,,,,,,,,,,,1,6
すし類／握り寿司,,,,,寄ア／1,寄ア／2,,,,,,,,,,,,,,,,,,,1,2
すし類／ヒラメの握り寿司,,,,,,,,,,,,,,,,,,,寄ア／1,寄ア／2,,,,,1,2
その他／会食料理,NV／3,NV／50,NV／3,NV／40,NV／3,NV／34,Camp／3,Camp／32,NV／1，Camp／1,NV／4，Camp／9,Camp／1,Camp／4,Camp／2,Camp／20,,,Camp／3，不／2,Camp／16，不／39,,,Sta／1，NV／2,Sta／4，NV／18,,,25,270
その他／会食料理(鶏ささみを含む),,,Camp／1,Camp／8,,,,,,,,,,,,,,,,,,,,,1,8
その他／会食料理(鶏わさを含む),,,,,,,Camp／1,Camp／3,,,,,,,,,,,Camp／2,Camp／7,,,Camp／1,Camp／4,4,14
その他／会食料理(鶏刺しを含む),,,,,,,Camp／1,Camp／3,,,Camp／1,Camp／4,Camp／1,Camp／3,,,,,,,,,,,3,10
その他／会食料理(ナムルを含む),,,,,,,,,,,,,,,EHEC／1,EHEC／2,,,,,,,,,1,2
