区分,件数,患者数,構成比（％）／件数,構成比（％）／患者数,備考
合計,149,2258,100,100,
飲食店／一般,110,1204,73.8,53.3,飲食店の食事35件(Camp14，NV13，Sal2，EHEC4，Sal及びCamp1，不明1)、会食料理22件(Camp10，NV9，Sta1，不明2)、会食料理(鶏わさを含む)4件(Camp)、会食料理(鶏刺しを含む)3件(Camp)、コース料理3件(Camp)、飲食店の食事(加熱不十分な鶏肉を含む)2件(Camp)、焼肉等2件(Camp)、焼カキ2件(NV)、カキ料理2件(NV)、生食用カキ2件(NV)、飲食店の食事(生カキを含む)2件(NV)、生カキ2件(NV)、飲食店の食事(カキを含む)(NV)、つけめん(Sal)、日替わり定食(Sal)、さけおにぎり(Sta)、会食料理(ナムルを含む)(EHEC)、ランチビュッフェで提供された食品(C.p)、黒チャーハンセット(B.c)、会食料理(鶏ささみを含む)(Camp)、鶏料理(Camp)、焼き鳥(Camp)、生親子丼(Camp)、とりわさ(Camp)、飲食店の食事(鶏肉料理を含む)(Camp)、原因施設が提供した食事(NV)、弁当(NV)、蒸しガキ(NV)、仕出し弁当(NV)、海鮮丼(シメサバ、ワラサを含む)(寄ア)、寿司(寄ア)、刺身盛り合わせ5種(寄ア)、秋サケの漬け(寄ア)、シメサバ(寄ア)、生サバのカルパッチョ(寄ア)、刺身又は寿司(寄ア)、ブリのいしる漬干し焼き(化)、ブリ唐揚げ(化)、ブリの粕漬け焼き(化)、有効塩素510mg/Lが混入した水(化)飲食店の食事(カンパチのお造りを含む)(不明)
飲食店／すし,7,47,4.7,2.1,飲食店の食事(寄ア)、会食料理(NV)、寿司(NV)、生カキ及び焼きカキ(NV)、握り寿司(寄ア)、ちらし寿司(NV)、ヒラメの握り寿司(寄ク)
飲食店／仕出し,5,433,3.4,19.2,仕出し弁当2件(NV)、仕出し料理(NV)、弁当(B.c)、親子丼弁当(Sal)
飲食店／そば,2,7,1.3,0.3,刺身(寄ア)、サンマハンバーグ(化)
飲食店／旅館・ホテル,2,62,1.3,2.7,飲食店の食事(Sal)、会食料理(NV)
飲食店／自動車,3,55,2,2.4,弁当3件(NV)
集団給食／届出,4,157,2.7,7,給食2件(NV)、原因施設が提供した食事(NV)、焼魚（イワシ）(化)
集団給食／要許可,3,116,2,5.1,原因施設が提供した食事2件(NV)、合鴨のコンソメ煮(C.p)
魚介類販売業,2,71,1.3,3.1,刺身(NV)、真イワシ刺身(寄ア)
飲食店営業（一般）及び魚介類販売業,1,4,0.7,0.2,焼きサンマ(V.p)
飲食店営業（一般）及び菓子製造業,1,12,0.7,0.5,会食料理(NV)
家庭,2,23,1.3,1,バイケイソウ類（ユリ科シュロソウ属）の植物(植物)、家庭で調製した弁当(Sta)
その他,3,59,2,2.6,ポテトサラダ(Sta)、調理実習での食事(Camp)、もち(NV)
不明,4,8,2.7,0.4,刺身(寄ア)、不明3件(Camp2，寄ア1)
