区分,平成23年／件数,平成23年／患者数,平成24年／件数,平成24年／患者数,平成25年／件数,平成25年／患者数,平成26年／件数,平成26年／患者数,平成27年／件数,平成27年／患者数
合計,133,1515,142,2103,87,1324,103,1096,149,2258
サルモネラ,7,70,3,15,5,87,8,26,6,108
黄色ブドウ球菌,5,32,2,52,2,23,3,12,4,31
腸炎ビブリオ,1,17,2,45,1,4,,,1,4
カンピロバクター,35,241,42,265,22,129,36,211,47,271
カンピロバクター及びサルモネラ,,,,,1,2,,,1,2
カンピロバクター及び病原性大腸菌,1,4,,,,,,,,
サルモネラ及び腸管出血性大腸菌（海外事例）,1,16,,,,,,,,
黄色ブドウ球菌及びセレウス菌,,,,,,,,,,
腸管出血性大腸菌,3,7,1,5,2,20,5,14,5,32
その他の病原大腸菌,3,62,,,,,,,,
ウエルシュ菌,3,174,1,14,3,239,2,50,2,63
セレウス菌,1,1,,,,,2,20,2,8
エルシニア・エンテロコリチカ,,,,,,,,,,
チフス菌,,,,,,,1,18,,
ノロウイルス及びカンピロバクター,1,8,,,,,,,,
ノロウイルス及びサポウィルス,,,,,,,1,23,,
ノロウイルス,49,802,59,1545,25,569,21,577,56,1576
サポウイルス,1,5,,,2,45,1,11,,
アニサキス,12,23,22,24,15,15,12,12,13,14
クドア,,,2,7,,,4,40,1,2
化学物質,3,10,5,31,3,116,2,5,6,57
植物性自然毒,1,6,1,3,2,5,1,1,1,2
動物性自然毒,1,1,,,,,,,,
不明,5,36,2,97,3,18,3,71,4,88
