区分,平成23年／件数,平成23年／患者数,平成24年／件数,平成24年／患者数,平成25年／件数,平成25年／患者数,平成26年／件数,平成26年／患者数,平成27年／件数,平成27年／患者数,平成23年～27年の平均／件数,平成23年～27年の平均／患者数
合計,133,1515,142,2103,87,1324,103,1096,149,2258,123,1659
1月,19,176,16,505,6,190,11,246,23,780,15,379
2月,6,121,9,78,9,110,3,50,13,227,8,117
3月,3,52,15,237,3,144,9,71,19,225,9.8,146
4月,4,39,14,229,5,89,9,127,12,146,8.8,126
5月,16,166,7,39,3,43,2,10,14,94,8.4,70
6月,14,113,15,85,9,262,9,55,14,159,12.2,135
7月,10,42,12,60,4,12,10,71,16,156,10.4,68
8月,10,85,7,43,13,112,9,81,4,16,10.4,67
9月,11,135,11,95,11,149,14,93,11,71,11.6,109
10月,14,94,7,124,3,10,12,49,8,183,8.8,92
11月,8,164,9,119,8,41,6,50,6,99,7.4,95
12月,18,328,20,489,13,162,9,193,9,102,13.8,255
