血清型,平成18／件数,平成18／患者数,平成19／件数,平成19／患者数,平成20／件数,平成20／患者数,平成21／件数,平成21／患者数,平成22／件数,平成22／患者数,平成23／件数,平成23／患者数,平成24／件数,平成24／患者数,平成25／件数,平成25／患者数,平成26／件数,平成26／患者数,平成27／件数,平成27／患者数,合計／件数,合計／患者数
合計,7,74,9,93,3,25,6,119,8,120,7,70,3,15,5,87,8,26,6,108,62,737
O4／Typhimurium,,,2,11,,,,,1,19,,,,,1,2,1,2,,,5,34
O4／Saintpaul,1,15,,,1,4,,,,,1,3,,,,,,,,,3,22
O4／Stanley,,,,,,,,,,,,,,,,,,,1,2,1,2
O4／不明,,,1,1,,,,,,,,,,,,,1,1,,,1,2
O4／i:-*,,,1,4,1,6,1,13,1,2,,,,,1,7,1,7,,,6,39
"O4及びO8／Saintpaul,Litchfield",,,,,,,,,,,,,,,,,,,1,47,1,47
O7／Montevideo,,,,,,,,,,,1,11,,,,,,,,,1,11
O7／Thompson,,,,,,,1,42,1,3,,,,,,,,,,,2,45
O7／Bareilly,1,9,,,,,,,,,,,,,,,,,,,1,9
O7／Braenderup,,,,,,,,,,,,,,,1,14,,,,,1,14
O8／Narashino,,,,,,,,,,,,,,,,,,,1,7,1,7
O8／Newport,,,,,,,,,,,,,,,,,,,1,19,1,19
O8／Hadar,1,7,,,,,1,3,,,,,,,,,,,,,2,10
O9／Enteritidis,4,43,5,77,1,15,3,61,5,96,5,56,3,15,2,64,5,16,2,33,35,476
