,平成23年／件数,平成23年／患者数,平成24年／件数,平成24年／患者数,平成25年／件数,平成25年／患者数,平成26年／件数,平成26年／患者数,平成27年／件数,平成27年／患者数
合計,133,1515,142,2103,87,1324,103,1096,149,2258
魚介類／貝類,18,127,11,156,3,43,4,35,10,88
魚介類／ふぐ,1,1,,,,,,,,
魚介類／その他,9,22,18,29,14,139,8,37,8,90
魚介類／その他すし類,,,,,1,1,,,1,1
魚介類加工品,1,7,3,,,,,,,
肉類及びその加工品,8,47,3,17,,,4,6,6,43
穀類及びその加工品,4,22,,21,3,30,5,22,4,61
野菜類及びその加工品,2,53,3,,,,1,3,2,40
卵類及びその加工品,,,,78,2,56,1,1,,
菓子類,,,,,1,11,,,,
複合調理食品,14,235,6,102,4,96,14,264,10,435
すし類,,,5,34,4,21,,,5,27
その他,73,993,85,1641,52,922,59,713,100,1466
不明,3,8,8,25,3,5,5,8,3,7
