区分,平成23年／件数,平成23年／患者数,平成24年／件数,平成24年／患者数,平成25年／件数,平成25年／患者数,平成26年／件数,平成26年／患者数,平成27年／件数,平成27年／患者数
合計,133,1515,142,2103,87,1324,103,1096,149,2258
飲食店／一般,96,811,96,1058,53,653,77,778,110,1204
飲食店／すし,5,15,10,133,10,210,7,55,7,47
飲食店／仕出し,3,56,4,348,2,67,5,163,5,433
飲食店／弁当,3,191,1,54,1,12,1,12,,
飲食店／旅館・ホテル,,,,,,,,,2,62
飲食店／そうざい,1,1,,,,,,,,
飲食店／そば,,,,,,,1,1,2,7
飲食店／自動車,,,,,,,,,3,55
飲食店／一般旅館・ホテル,,,1,72,1,51,,,,
飲食店／屋形船,,,1,37,1,18,,,,
集団給食／要許可,10,279,4,107,4,96,,,3,116
集団給食／届出,2,68,3,76,2,162,2,57,4,157
飲食店及び販売業,,,,,,,,,1,4
飲食店及び製造業,,,,,,,,,1,12
製造業,1,17,,,,,,,,
販売業,1,1,3,3,4,4,,,2,71
家庭,2,7,1,6,,,2,4,2,23
その他,3,29,7,162,5,45,2,15,3,59
不明,6,40,11,47,4,6,6,11,4,8
