区分,１月／件数,１月／患者数,２月／件数,２月／患者数,３月／件数,３月／患者数,４月／件数,４月／患者数,５月／件数,５月／患者数,６月／件数,６月／患者数,７月／件数,７月／患者数,８月／件数,８月／患者数,９月／件数,９月／患者数,１０月／件数,１０月／患者数,１１月／件数,１１月／患者数,１２月／件数,１２月／患者数,合計／件数,合計／患者数,Sal／件数,Sal／患者数,Sta／件数,Sta／患者数,V.p／件数,V.p／患者数,EHEC／件数,EHEC／患者数,C.p／件数,C.p／患者数,Camp／件数,Camp／患者数,B.c／件数,B.c／患者数,Sal，Camp／件数,Sal，Camp／患者数,NV／件数,NV／患者数,塩素／件数,塩素／患者数,ヒスタミン／件数,ヒスタミン／患者数,植／件数,植／患者数,寄ア／件数,寄ア／患者数,寄ク／件数,寄ク／患者数,不明／件数,不明／患者数
飲食店／一般,NV／10，Camp／1，C.p／1，ヒスタミン／1，寄ア／1,NV／270，Camp／4，C.p／10，ヒスタミン／5，寄ア／2,NV／9，Camp／2,NV／159，Camp／10,NV／9，Camp／4,NV／147，Camp／38,Camp／7，寄ア／1，不／1,Camp／59，寄ア／1，不／32,NV／2，Sal／3，EHEC／1，Camp／4,NV／9，Sal／19，EHEC／3，Camp／22,NV／2，Camp／6，Sta／1，EHEC／2，ヒスタミン／1,NV／20，Camp／18，Sta／2，EHEC／21，ヒスタミン／9,NV／20，ヒスタミン／1，Sal／1，Camp／7，寄ア／2，EHEC／1,NV／7，ヒスタミン／3，Sal／19，Camp／38，寄ア／2，EHEC／6,Camp／2，EHEC／1,Camp／8，Camp／2,Camp／4，B.c／1，寄ア／1，不／2,Camp／19，B.c／3，寄ア／1，不／39,Camp／3，塩素／1，SalCamp／1，NV／1,Camp／13，塩素／5，SalCamp／2，NV／103,NV／1，Sta／1，寄ア／1,NV／6，Sta／4，寄ア／1,NV／2，Camp／4，不／1,NV／27，Camp／19，不／17,110,1204,4,38,2,6,,,5,32,1,10,44,248,1,3,1,2,37,748,1,5,3,17,,,7,7,,,4,88
飲食店／すし,NV／1,NV／16,,,NV／2，寄ア／2,NV／20，寄ア／3,NV／1,NV／6,,,,,,,,,,,寄ク／1,寄ク／2,,,,,7,47,,,,,,,,,,,,,,,,,4,42,,,,,,,2,3,1,2,,
飲食店／仕出し,NV／2,NV／347,,,,,,,,,,,B.c／1,B.c／5,,,,,NV／1,NV／58,Sal／1,Sal／23,,,5,433,1,23,,,,,,,,,,,1,5,,,3,405,,,,,,,,,,,,
飲食店／そば,,,,,,,,,,,,,,,,,,,,,,,寄ア／1,寄ア／1,2,7,,,,,,,,,,,,,,,,,,,,,1,6,,,1,1,,,,
飲食店／旅館・ホテル,,,,,NV／1,NV／6,,,,,,,Sal／1,Sal／47,ヒスタミン／1,ヒスタミン／6,,,,,,,,,2,62,1,47,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,
飲食店／自動車,NV／3,NV／55,,,,,,,,,,,,,,,,,,,,,,,3,55,,,,,,,,,,,,,,,,,3,55,,,,,,,,,,,,
集団給食／届出,,,NV／1,NV／16,,,NV／1,NV／44,,,NV／1,NV／68,ヒスタミン／1,ヒスタミン／29,,,,,,,,,,,4,157,,,,,,,,,,,,,,,,,3,128,,,1,29,,,,,,,,
集団給食／要許可,,,NV／1,NV／42,,,,,,,NV／1,NV／21,,,,,,,,,C.p／1,C.p／53,,,3,116,,,,,,,,,1,53,,,,,,,2,63,,,,,,,,,,,,
魚介類販売業,NV／1,NV／70,,,,,,,,,,,,,,,寄ア／1,寄ア／1,,,,,,,2,71,,,,,,,,,,,,,,,,,1,70,,,,,,,1,1,,,,
飲食店営業（一般）及び魚介類販売業,,,,,,,,,,,,,,,,,V.p／1,V.p／4,,,,,,,1,4,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,
飲食店営業（一般）及び菓子製造業,,,,,,,,,,,,,,,,,,,,,NV／1,NV／12,,,1,12,,,,,,,,,,,,,,,,,1,12,,,,,,,,,,,,
家庭,,,,,,,,,植物／1，Sta／1,植物／2，Sta／21,,,,,,,,,,,,,,,2,23,,,1,21,,,,,,,,,,,,,,,,,,,1,2,,,,,,
その他,,,,,,,Camp／1,Camp／17,Camp／1,Camp／17,,,,,,,Sta／1,Sta／4,,,,,NV／1,NV／38,3,59,,,1,4,,,,,,,1,17,,,,,1,38,,,,,,,,,,,,
