原因食品,件数,患者数,構成比（％）／件数,構成比（％）／患者数,備考
合 計,149,2258,100,100,
魚介類／貝類,10,88,6.7,3.9,カキ料理2件(NV)、生カキ2件(NV)、生食用カキ2件(NV)、焼きカキ2件(NV)、生カキ及び焼きカキ(NV)、蒸しガキ
魚介類／その他,8,90,5.4,4,刺身3件(寄ア2，NV1)、刺身盛り合わせ5種(寄ア)、生サバのカルパッチョ(寄ア)、真イワシ刺身(寄ア)、サンマハンバーグ(化)、ブリの粕漬け焼き(化)
魚介類／その他又はすし類,1,1,0.7,0,刺身又は寿司(寄ア)
魚介類加工品,6,43,4,1.9,焼きサンマ(V.p)、シメサバ(寄ア)、秋サケの漬け(寄ア)、ブリのいしる漬干し焼き(化)、ブリ唐揚げ(化)、焼魚（イワシ）(化)
肉類及びその加工品,4,61,2.7,2.7,合鴨のコンソメ煮(C.p)、とりわさ(Camp)、飲食店の食事(Camp)、焼き鳥(Camp)
穀類及びその加工品,2,40,1.3,1.8,さけおにぎり(Sta)、もち(NV)
複合調理食品,10,435,6.7,19.3,弁当3件(NV)、親子丼弁当(Sal)、日替わり定食(Sal)、家庭で調理した弁当(Sta)、ポテトサラダ(Sta)、生親子丼(Camp)、仕出し弁当(NV)、海鮮丼（シメサバ、ワラサを含む）(寄ア)
すし類,5,27,3.4,1.2,寿司2件(NV，寄ア)、ちらし寿司(NV)、握り寿司(寄ア)、ヒラメの握り寿司（寄ク）
その他,100,1466,67.1,64.9,飲食店の食事36件(NV13，Camp13，EHEC4，Sal3，寄ア1，Sal及びCamp1，不明1)、会食料理25件(NV12，Camp10，Sta1，不明2)、原因施設が提供した食事4件(NV)、会食料理(鶏わさを含む)4件(Camp)、コース料理3件(Camp)、会食料理(鶏刺しを含む)3件(Camp)、焼肉等2件(Camp)、弁当2件(NV1，B.c1)、給食2件(NV)、飲食店の食事(生カキを含む)2件(NV)、仕出し弁当2件(NV)、飲食店の食事(加熱不十分な鶏肉を含む)2件(Camp)、つけめん(Sal)、会食料理(ナムルを含む)(EHEC)、ランチビュッフェで提供された食品(C.p)、黒チャーハンセット(B.c)、鶏料理(Camp)、会食料理(鶏ささみを含む)(Camp)、調理実習での食事(Camp)、飲食店の食事(鶏肉料理を含む)(Camp)、飲食店の食事(カキを含む)(NV)、仕出し料理(NV)、有効塩素510mg/Lが混入した水(化)、バイケイソウ類（ユリ科シュロソウ属）の植物(植物)、飲食店の食事(カンパチのお造りを含む)(不明)
不明,3,7,2,0.3,不明3件(Camp2，寄ア1)
