区分,件数,患者数,死亡者数
昭和24年,82,994,18
昭和25年,85,2740,19
昭和26年,75,1516,8
昭和27年,119,2832,9
昭和28年,77,1239,1
昭和29年,123,1682,4
昭和30年,243,6935,12
昭和31年,139,3522,5
昭和32年,100,1492,2
昭和33年,124,2516,6
昭和34年,150,4647,11
昭和35年,198,5132,1
昭和36年,224,5206,10
昭和37年,181,6212,2
昭和38年,149,5024,1
昭和39年,161,3384,5
昭和40年,135,3668,3
昭和41年,126,3473,1
昭和42年,201,4220,2
昭和43年,159,3045,1
昭和44年,177,3875,1
昭和45年,154,4865,0
昭和46年,174,3075,4
昭和47年,194,4489,4
昭和48年,145,2952,1
昭和49年,100,997,2
昭和50年,180,3226,3
昭和51年,107,2510,3
昭和52年,141,2469,2
昭和53年,123,3383,0
昭和54年,141,3619,1
昭和55年,155,4371,0
昭和56年,153,2725,1
昭和57年,114,2709,3
昭和58年,132,2206,1
昭和59年,122,3370,0
昭和60年,106,3336,0
昭和61年,97,2810,0
昭和62年,74,2075,0
昭和63年,68,2415,0
平成元年,92,3958,0
平成 2年,85,2339,0
平成 3年,60,1937,0
平成 4年,53,1343,0
平成 5年,65,1394,0
平成 6年,84,2747,0
平成 7年,80,2444,1
平成 8年,110,1597,1
平成 9年,103,1992,0
平成10年,112,1884,0
平成11年,94,2367,0
平成12年,110,2703,1
平成13年,77,934,1
平成14年,118,2849,0
平成15年,103,2322,0
平成16年,79,1955,0
平成17年,99,2518,0
平成18年,114,2614,0
平成19年,83,2050,0
平成20年,106,1442,0
平成21年,126,1847,0
平成22年,143,2006,0
平成23年,133,1515,0
平成24年,142,2103,0
平成25年,87,1324,0
平成26年,103,1096,0
平成27年,149,2258,0
