年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成27,2015,総数,Total,100635,49136,51499,1098,42314,57223,97181,3454
平成28,2016,総数,Total,100422,48941,51481,1085,42567,56770,97067,3355
平成29,2017,総数,Total,102326,49993,52333,1085,43421,57820,99075,3251
平成29,2017,進学者(A),Enrollment in higher education institutions(A),67455,30859,36596,662,22842,43951,66698,757
平成29,2017,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,65028,30679,34349,662,21584,42782,64348,680
平成29,2017,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,2340,156,2184,-,1224,1116,2280,60
平成29,2017,進学者(A)／大学・短期大学の通信教育部,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges,39,21,18,-,30,9,22,17
平成29,2017,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,9,-,9,-,2,7,9,-
平成29,2017,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,38,2,36,-,1,37,38,-
平成29,2017,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,1,1,-,-,1,-,1,-
平成29,2017,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),12040,4977,7063,1,8206,3833,11427,613
平成29,2017,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),5987,3891,2096,-,2391,3596,5904,83
平成29,2017,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),320,237,83,-,276,44,189,131
平成29,2017,就職者,Employed,6840,4124,2716,-,5619,1221,5884,956
平成29,2017,就職者／正規の職員等,Employed／Regular employee and others,6804,4103,2701,-,5596,1208,5861,943
平成29,2017,就職者／正規の職員等でない者,Employed／Non-regular employee and others,36,21,15,-,23,13,23,13
平成29,2017,一時的な仕事に就いた者,Temporary employee,612,211,401,-,558,54,417,195
平成29,2017,上記以外の者,Persons other than the above,9055,5681,3374,422,3522,5111,8542,513
平成29,2017,不詳・死亡,Unknown or deceased,17,13,4,-,7,10,14,3
平成29,2017,（再掲）上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,9,4,5,-,7,2,5,4
平成29,2017,（再掲）上記就職している者のうち正規の職員等,"(Relisted)Of those employed above, regular employees and others",7,3,4,-,6,1,3,4
平成29,2017,（再掲）上記就職している者のうち正規の職員等でない者,"(Relisted)Of those employed above, non-regular employees and others",2,1,1,-,1,1,2,-
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成27～平成29年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2015-2017 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
