年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成21,2009,歳入,Revenue,総数,Total,6598000,6687407,6417085
平成22,2010,歳入,Revenue,総数,Total,6264000,6254444,5892680
平成23,2011,歳入,Revenue,総数,Total,6236000,6320233,5970153
平成24,2012,歳入,Revenue,総数,Total,6149000,6225103,5955489
平成25,2013,歳入,Revenue,総数,Total,6264000,6404744,6130261
平成25,2013,歳入,Revenue,都税,Metropolitan taxes,4280392,4433900,4491049
平成25,2013,歳入,Revenue,地方譲与税,Local transfer tax,282219,306303,304592
平成25,2013,歳入,Revenue,助成交付金,Subsidies and grants,34,34,30
平成25,2013,歳入,Revenue,区市町村たばこ税都交付金,Transferred municipal tobacco tax,-,0,0
平成25,2013,歳入,Revenue,地方特例交付金,Special local grants,5458,5458,5426
平成25,2013,歳入,Revenue,特別交付金,Special grants,3519,3519,3451
平成25,2013,歳入,Revenue,分担金及負担金,Beneficiary contribution,18070,17841,16393
平成25,2013,歳入,Revenue,使用料及手数料,Charges and fees,74174,74174,70032
平成25,2013,歳入,Revenue,国庫支出金,National treasury disbursements,370896,410280,383764
平成25,2013,歳入,Revenue,財産収入,Revenue from property,79094,80878,36009
平成25,2013,歳入,Revenue,寄附金,Contributions,141,141,116
平成25,2013,歳入,Revenue,繰入金,Funds transferred,308231,228238,68743
平成25,2013,歳入,Revenue,諸収入,Miscellaneous,393234,392884,493450
平成25,2013,歳入,Revenue,都債,Metropolitan bonds,448536,398583,204692
平成25,2013,歳入,Revenue,繰越金,Balance brought forward,1,52512,52512
平成21,2009,歳出,Expenditure,総数,Total,6598000,6687407,6395642
平成22,2010,歳出,Expenditure,総数,Total,6264000,6254444,5869941
平成23,2011,歳出,Expenditure,総数,Total,6236000,6320233,5934573
平成24,2012,歳出,Expenditure,総数,Total,6149000,6225103,5902977
平成25,2013,歳出,Expenditure,総数,Total,6264000,6404744,6049866
平成25,2013,歳出,Expenditure,議会費,Metropolitan assembly,6055,6028,5513
平成25,2013,歳出,Expenditure,総務費,General services,189369,192141,176626
平成25,2013,歳出,Expenditure,徴税費,Tax collection,66358,65499,63978
平成25,2013,歳出,Expenditure,生活文化費,Citizens and cultural affairs,25266,25860,23660
平成25,2013,歳出,Expenditure,スポーツ振興費,Sports promotion,30755,29466,25065
平成25,2013,歳出,Expenditure,都市整備費,Urban development,159954,163796,129259
平成25,2013,歳出,Expenditure,環境費,Environmental protection,45426,44810,40596
平成25,2013,歳出,Expenditure,福祉保健費,Welfare and public health,978301,955153,898189
平成25,2013,歳出,Expenditure,産業労働費,Industry and labor ,422546,439808,370730
平成25,2013,歳出,Expenditure,土木費,Civil engineering works,476812,462384,375724
平成25,2013,歳出,Expenditure,港湾費,Port and harbor,88138,90422,73715
平成25,2013,歳出,Expenditure,教育費,Education,755923,731328,720003
平成25,2013,歳出,Expenditure,学務費,School affairs,197802,200243,192570
平成25,2013,歳出,Expenditure,警察費,Police,619668,611473,590990
平成25,2013,歳出,Expenditure,消防費,Fire fighting,243901,245106,239503
平成25,2013,歳出,Expenditure,公債費,Debt services,491312,483381,482957
平成25,2013,歳出,Expenditure,諸支出金,Miscellaneous,1461414,1657448,1640789
平成25,2013,歳出,Expenditure,予備費,Reserve funds,5000,400,-
,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成21～25年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2009-2013 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
