男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物Malignant neoplasm,心疾患 Heart disease,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,110507,9690,33349,16664,10110,1772,5850,2767,2620,27685
0,総数 ,Total,1,0～14,0-14,346,4,27,13,10,1,-,21,8,262
0,総数 ,Total,1,15～19,15-19,101,1,15,1,1,1,-,17,42,23
0,総数 ,Total,1,20～24,20-24,240,3,20,8,1,1,-,24,134,49
0,総数 ,Total,1,25～29,25-29,317,7,21,27,6,-,-,31,178,47
0,総数 ,Total,1,30～34,30-34,403,14,53,28,4,4,-,26,183,91
0,総数 ,Total,1,35～39,35-39,649,45,155,45,4,23,-,46,206,125
0,総数 ,Total,1,40～44,40-44,1103,89,334,98,12,58,-,50,239,223
0,総数 ,Total,1,45～49,45-49,1551,129,510,158,19,104,-,60,243,328
0,総数 ,Total,1,50～54,50-54,2215,185,887,206,37,133,-,79,252,436
0,総数 ,Total,1,55～59,55-59,2847,207,1272,289,76,157,-,85,198,563
0,総数 ,Total,1,60～64,60-64,5619,374,2819,616,171,227,1,153,222,1036
0,総数 ,Total,1,65～69,65-69,7866,535,3879,943,303,234,6,187,201,1578
0,総数 ,Total,1,70～74,70-74,10555,848,4737,1321,597,236,41,283,204,2288
0,総数 ,Total,1,75～79,75-79,14679,1374,5641,2009,1165,198,158,376,144,3614
0,総数 ,Total,1,80～,80 and over,62013,5875,12978,10902,7704,395,5644,1329,165,17021
0,総数 ,Total,1,不詳,Unreported,3,-,1,-,-,-,-,-,1,1
1,男 ,Male,0,総数,Total,58810,4985,19794,8028,5616,1257,1418,1585,1739,14388
1,男 ,Male,1,0～14,0-14,191,3,18,9,5,1,-,16,5,134
1,男 ,Male,1,15～19,15-19,69,-,12,1,-,-,-,13,28,15
1,男 ,Male,1,20～24,20-24,159,-,11,7,1,-,-,19,92,29
1,男 ,Male,1,25～29,25-29,218,5,11,20,2,-,-,25,122,33
1,男 ,Male,1,30～34,30-34,239,11,25,22,1,2,-,15,108,55
1,男 ,Male,1,35～39,35-39,413,31,62,39,2,20,-,35,140,84
1,男 ,Male,1,40～44,40-44,691,57,149,87,7,47,-,39,154,151
1,男 ,Male,1,45～49,45-49,1011,92,225,130,16,88,-,41,180,239
1,男 ,Male,1,50～54,50-54,1472,133,473,172,27,111,-,58,178,320
1,男 ,Male,1,55～59,55-59,1932,135,753,241,59,128,-,66,130,420
1,男 ,Male,1,60～64,60-64,3965,280,1807,501,141,191,1,103,148,793
1,男 ,Male,1,65～69,65-69,5522,375,2593,735,233,199,4,139,136,1108
1,男 ,Male,1,70～74,70-74,7085,589,3146,873,453,179,20,178,133,1514
1,男 ,Male,1,75～79,75-79,9336,902,3669,1198,829,121,80,220,89,2228
1,男 ,Male,1,80～,80 and over,26504,2372,6839,3993,3840,170,1313,618,95,7264
1,男 ,Male,1,不詳,Unreported,3,-,1,-,-,-,-,-,1,1
1,女 ,Female,0,総数,Total,51697,4705,13555,8636,4494,515,4432,1182,881,13297
1,女 ,Female,1,0～14,0-14,155,1,9,4,5,-,-,5,3,128
1,女 ,Female,1,15～19,15-19,32,1,3,-,1,1,-,4,14,8
1,女 ,Female,1,20～24,20-24,81,3,9,1,-,1,-,5,42,20
1,女 ,Female,1,25～29,25-29,99,2,10,7,4,-,-,6,56,14
1,女 ,Female,1,30～34,30-34,164,3,28,6,3,2,-,11,75,36
1,女 ,Female,1,35～39,35-39,236,14,93,6,2,3,-,11,66,41
1,女 ,Female,1,40～44,40-44,412,32,185,11,5,11,-,11,85,72
1,女 ,Female,1,45～49,45-49,540,37,285,28,3,16,-,19,63,89
1,女 ,Female,1,50～54,50-54,743,52,414,34,10,22,-,21,74,116
1,女 ,Female,1,55～59,55-59,915,72,519,48,17,29,-,19,68,143
1,女 ,Female,1,60～64,60-64,1654,94,1012,115,30,36,-,50,74,243
1,女 ,Female,1,65～69,65-69,2344,160,1286,208,70,35,2,48,65,470
1,女 ,Female,1,70～74,70-74,3470,259,1591,448,144,57,21,105,71,774
1,女 ,Female,1,75～79,75-79,5343,472,1972,811,336,77,78,156,55,1386
1,女 ,Female,1,80～,80 and over,35509,3503,6139,6909,3864,225,4331,711,70,9757
1,女 ,Female,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (平成25年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2013 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
