区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,38058,14773,8502,8321,6462
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,23979,11164,3960,8294,561
2,知事本局,Headquarters of the Governor of Tokyo ,137,134,3,-,-
2,総務局,Bureau of General Affairs,2787,2570,173,1,43
2,財務局,Bureau of Finance,407,253,148,-,6
2,主税局,Bureau of Taxation,2982,2981,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,392,322,65,-,5
2,スポーツ振興局,Bureau of Sports  ,203,180,22,1,-
2,都市整備局,Bureau of Urban Development          ,1121,478,643,-,-
2,環境局,Bureau of Environment,457,228,224,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4140,1496,474,2087,83
2,産業労働局,Bureau of Industrial and Labor Affairs ,1208,687,481,9,31
2,建設局,Bureau of Construction,2166,778,1348,-,40
2,港湾局,Bureau of Port and Harbor,565,244,270,-,51
2,会計管理局,Bureau of Accounting,107,107,-,-,-
2,青少年・治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6606,383,5,6196,22
2,中央卸売市場,Central Wholesale Market,598,222,101,-,275
2,収用委員会,Secretariat to Expropriation Commission,21,20,1,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
2,公営企業体,Public Enterprises,13078,2705,4489,5,5879
2,交通局,Bureau of Transportation,6576,626,533,5,5412
1,水道局,Bureau of Waterworks,3963,1571,2040,-,352
2,下水道局,Bureau of Sewerage,2539,508,1916,-,115
2,行政委員会事務局,Executive Offices of Administrative Commission ,853,778,53,22,-
2,教育委員会,Board of Education ,671,622,27,22,-
1,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成25年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2013 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
