項目階層,項目,Item,平成23年度 Fiscal year 2011／実数 Value,平成23年度 Fiscal year 2011／構成比 Percentage Distribution (%),平成23年度 Fiscal year 2011／対前年度増加率 Percent changes from previous fiscal year (%),平成24年度 Fiscal year 2012／実数 Value,平成24年度 Fiscal year 2012／構成比 Percentage Distribution (%),平成24年度 Fiscal year 2012／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,34956.2,59.6,0.6,34909,59.7,-0.1
1,賃金・俸給,Wages and salaries,27216.3,46.4,0.2,26973.7,46.1,-0.9
1,雇主の社会負担,Employers' social contributions,7739.9,13.2,2.2,7935.3,13.6,2.5
3,雇主の現実社会負担,Employers' actual social contributions,4943.5,8.4,2.6,5054.7,8.6,2.2
3,雇主の帰属社会負担,Employers' imputed social contributions,2796.4,4.8,1.6,2880.5,4.9,3
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),4644.2,7.9,5.4,4691.6,8,1
3,受取,Receivable,7322.8,12.5,3.3,7517,12.8,2.7
3,支払,Payable,2678.6,4.6,-0.1,2825.4,4.8,5.5
1,一般政府,General government,-1333.1,-2.3,-5.9,-1467.8,-2.5,-10.1
3,受取,Receivable,1124.1,1.9,-7.2,1035.8,1.8,-7.9
3,支払,Payable,2457.2,4.2,-0.5,2503.6,4.3,1.9
1,家計,Households,5939.5,10.1,5.9,6117.9,10.5,3
2,利子,Interest,2601.6,4.4,2.3,2543,4.3,-2.3
3,受取,Receivable,2815.8,4.8,2.5,2860,4.9,1.6
3,支払 ,Payable,214.2,0.4,4.7,317,0.5,48
2,配当 (受取）,Dividends， receivable,1359.9,2.3,17.5,1588.1,2.7,16.8
2,保険契約者に帰属する財産所得 ,Properties income attributed to insurance policy holders，receivable,1318.1,2.2,0,1412.4,2.4,7.2
2,賃貸料 (受取),Rent， receivable,659.9,1.1,11.6,574.3,1,-13
1,対家計民間非営利団体,Private non-profit institutions serving households,37.8,0.1,-31.8,41.6,0.1,10.2
3,受取,Receivable,45,0.1,-29.2,46.4,0.1,3.1
3,支払,Payable,7.3,0,-12,4.8,0,-33.6
0,企業所得 (法人企業の分配所得受払後）,Entrepreneurial income (after receivable and payable of distributed income of corporations),19003.7,32.4,2.5,18915,32.3,-0.5
1,民間法人企業,Private corporations,11879.1,20.3,11,11156.4,19.1,-6.1
1,公的企業,Public corporations,2049.4,3.5,-21.8,2838.2,4.9,38.5
1,個人企業,Private unincorporated enterprises ,5075.2,8.7,-2.7,4920.4,8.4,-3
3,農林水産業,Agriculture， forestry and fishing,-4.7,0,6.1,-0.7,0,84.1
3,その他の産業 (非農林水・非金融),Others,1424.8,2.4,-10.2,1317.8,2.3,-7.5
3,持ち家,Imputed service of owner-occupied dwellings,3655.1,6.2,0.5,3603.4,6.2,-1.4
0,都民所得（要素費用表示）,Prefectural income(at factor cost),58604.1,100,1.6,58515.6,100,-0.2
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,4620.9,7.9,1.3,4637.7,7.9,0.4
0,都民所得 (市場価格表示),Prefectural income (at market prices),63225,107.9,1.6,63153.3,107.9,-0.1
0,（参考）民間法人企業所得（受払前）,(cf)Entrepreneurial income of private corporations (before receivable and payable ),12588.7,21.5,11.4,11474.9,19.6,-8.8
,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成23，24年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2011 and 2012 ),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
