品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,25年平均 2013 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米(単一原料米，｢コシヒカリ｣以外),"Non-glutinous rice (Single ingredient， excluding ""Koshihikari"")",国内産，精米，単一原料米(産地，品種及び産年が同一のもの)，袋入り(5kg入り)，コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""koshihikari""",1袋,1 bag,,2307,2330,2336,2331,2313,2331,2331,2347,2333,2313,2276,2224,2223
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,418,413,410,415,420,415,421,419,418,425,419,424,418
食料,Food,穀類,Cereals,3,即席めん,Instant noodles,中華タイプ，カップ入り(77g入り)，「カップヌードル」 ,"Chinese type， in cup （77g）， ""Cup Noodle""",1個,1 cup,,142,144,141,140,145,140,144,143,145,139,140,143,143
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,366,389,377,365,369,356,352,363,352,360,357,367,381
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,102,118,93,99,104,93,97,96,100,110,113,108,91
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか,Sagittated calamary,100g,100g,,88,86,72,86,103,99,94,91,85,88,83,78,83
食料,Food,肉類,Meats,1,牛肉(ロース),Beef (loin),国産品，ロース,Domestic，loin,100g,100g,,782,805,801,765,781,792,782,801,788,781,748,778,758
食料,Food,肉類,Meats,2,豚肉(ロース),Pork (loin),ロース（黒豚を除く）,Loin (excluding berkshire),100g,100g,※ 4月 Apr.,241,238,237,238,243,238,240,240,243,241,242,242,240
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー， もも肉,Broiler， legs,100g,100g,,125,125,124,123,125,125,125,126,126,126,124,124,129
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， JAS格付けなし， 普通品,Roast ham， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,221,219,220,221,219,224,221,221,225,219,220,220,222
食料,Food,乳卵類,Dairy products & eggs,1,牛乳(店頭売り，紙容器入り),Fresh milk (sold in stores， in cartons),牛乳，店頭売り，紙容器入り（1，000mL入り）,Fresh milk， sold in stores， in carton（1，000mL）,1本,1 carton,,212,211,210,209,211,210,211,209,210,209,215,215,219
