年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成22,2010,0,13000,,東京都,Tokyo-to,4643734,4347524,3499336,170675,87962,587849,1701,296211,3597628,893354,353381,1107557,128894,128894
平成23,2011,0,13000,,東京都,Tokyo-to,4609819,4313744,3471628,157942,92360,590255,1559,296076,3574420,893461,414080,1063725,117991,115342
平成24,2012,0,13000,,東京都,Tokyo-to,4583769,4288796,3465814,148673,92082,580721,1506,294973,3582799,865227,359481,1061952,106054,106054
平成24,2012,1,13100,,区部,All ku　,3369555,3161123,2694422,74149,61964,330588,-,208432,2738996,513668,351024,610574,17191,17191
平成24,2012,2,13101,1,千代田区,Chiyoda-ku ,20956,20206,15661,657,372,3516,-,750,…,…,…,…,…,…
平成24,2012,2,13102,2,中央区,Chuo-ku,46683,42212,33086,1609,1157,6360,-,4471,…,…,…,…,…,…
平成24,2012,2,13103,3,港区,Minato-ku ,76127,69931,50246,2282,1825,15578,-,6196,…,…,…,…,…,…
平成24,2012,2,13104,4,新宿区,Shinjuku-ku,95562,89093,69603,3272,2527,13691,-,6469,…,…,…,…,…,…
平成24,2012,2,13105,5,文京区,Bunkyo-ku ,58190,52242,41797,1871,1265,7309,-,5948,…,…,…,…,…,…
平成24,2012,2,13106,6,台東区,Taito-ku ,58263,53067,42549,3213,1507,5798,-,5196,…,…,…,…,…,…
平成24,2012,2,13107,7,墨田区,Sumida-ku,70426,63388,52759,2112,1649,6868,-,7038,…,…,…,…,…,…
平成24,2012,2,13108,8,江東区,Koto-ku,130363,114715,91740,3840,3437,15698,-,15648,…,…,…,…,…,…
平成24,2012,2,13109,9,品川区,Shinagawa-ku,100628,90882,69522,3323,2261,15776,-,9746,…,…,…,…,…,…
平成24,2012,2,13110,10,目黒区,Meguro-ku,76127,62304,50070,2619,2438,7177,-,13823,…,…,…,…,…,…
平成24,2012,2,13111,11,大田区,Ota-ku,175606,162922,131564,5739,4271,21348,-,12684,…,…,…,…,…,…
平成24,2012,2,13112,12,世田谷区,Setagaya-ku,228535,219679,169505,6659,6340,37175,-,8856,…,…,…,…,…,…
平成24,2012,2,13113,13,渋谷区,Shibuya-ku,68356,65695,50929,2763,1381,10622,-,2661,…,…,…,…,…,…
平成24,2012,2,13114,14,中野区,Nakano-ku ,86848,70991,58179,2633,2550,7629,-,15857,…,…,…,…,…,…
平成24,2012,2,13115,15,杉並区,Suginami-ku,143946,137122,95816,4509,4425,32372,-,6824,…,…,…,…,…,…
平成24,2012,2,13116,16,豊島区,Toshima-ku,76633,72421,55530,2562,2082,12247,-,4212,…,…,…,…,…,…
平成24,2012,2,13117,17,北区,Kita-ku,91199,83577,65588,2886,2264,12839,-,7622,…,…,…,…,…,…
平成24,2012,2,13118,18,荒川区,Arakawa-ku,58088,46903,43228,2147,1251,277,-,11185,…,…,…,…,…,…
平成24,2012,2,13119,19,板橋区,Itabashi-ku,144550,128682,106898,4090,3803,13891,-,15868,…,…,…,…,…,…
平成24,2012,2,13120,20,練馬区,Nerima-ku,181550,169818,127773,5790,3912,32343,-,11732,…,…,…,…,…,…
平成24,2012,2,13121,21,足立区,Adachi-ku,170001,155696,137578,357,3298,14463,-,14305,…,…,…,…,…,…
平成24,2012,2,13122,22,葛飾区,Katsushika-ku,117362,108388,84121,3886,3059,17322,-,8974,…,…,…,…,…,…
平成24,2012,2,13123,23,江戸川区,Edogawa-ku,170726,158359,127850,5330,4890,20289,-,12367,…,…,…,…,…,…
平成24,2012,,,,継続持込,Carried by enterprise,922830,922830,922830,-,-,-,-,-,…,…,…,…,…,…
平成24,2012,1,13200,,市部,All shi,1178543,1093172,747357,71487,28057,244826,1445,85371,817972,343015,4501,443534,58009,58009
平成24,2012,2,13201,1,八王子市,Hachioji-shi,170930,161388,116984,8878,2078,33273,175,9542,126182,44385,316,59159,10865,10865
平成24,2012,2,13202,2,立川市,Tachikawa-shi,56336,52282,36518,3371,1362,10978,53,4054,39823,15200,324,20628,482,482
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,47233,43724,30557,1258,1358,10458,93,3509,32508,13167,-,18034,154,154
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,49386,46074,28170,2088,1901,13860,55,3312,29576,17205,-,22847,161,161
