年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成25年,2013,総数,Total,2253,726066,345,329,227,40,372,227,103,149,33,387,41,1711,247,14,60,23,153,10,2,3,30
平成25年,2013,1,Jan.,212,76486,25,30,20,5,30,19,12,16,3,49,3,165,33,-,3,1,6,1,0,-,3
平成25年,2013,2,Feb.,207,40722,39,40,20,4,32,19,5,9,5,29,5,157,18,-,8,-,22,0,0,-,2
平成25年,2013,3,Mar.,163,36716,32,27,14,1,24,14,8,13,3,23,4,117,17,4,6,2,14,1,0,1,1
平成25年,2013,4,Apr.,181,50433,30,20,16,6,29,17,5,15,4,33,6,133,18,1,6,1,17,1,-,-,4
平成25年,2013,5,May,227,45770,38,30,17,4,35,22,14,23,3,37,4,174,28,1,3,2,18,1,-,-,-
平成25年,2013,6,June,187,199456,32,32,24,2,33,17,6,9,1,27,4,136,24,2,2,2,13,1,1,1,5
平成25年,2013,7,July,228,85823,28,32,28,3,36,29,5,13,1,49,4,180,15,-,7,2,19,-,-,-,5
平成25年,2013,8,Aug.,193,39073,29,21,20,4,34,28,10,10,4,32,1,148,18,1,5,-,15,2,-,1,3
平成25年,2013,9,Sept.,158,51348,19,27,18,2,26,18,13,3,2,25,5,119,20,-,4,1,11,-,-,-,3
平成25年,2013,10,Oct.,164,42298,25,22,20,4,30,8,13,9,3,29,1,122,21,1,8,3,3,2,1,-,3
平成25年,2013,11,Nov.,180,28005,22,23,16,3,39,21,7,11,1,35,2,138,21,2,5,3,11,-,-,-,-
平成25年,2013,12,Dec.,153,29936,26,25,14,2,24,15,5,18,3,19,2,122,14,2,3,6,4,1,-,-,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成25年） 15-10  COMPANY BANKRUPTCIES ( 2013),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
