地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,総数,All shi,24329,14757,1664,98,559,1034,2389,90,1400,2231,104,3
1,13201,八王子市,Hachioji-shi,2776,1763,211,3,74,68,130,-,-,518,9,-
1,13202,立川市,Tachikawa-shi,1143,778,71,-,24,34,133,-,-,100,3,-
1,13203,武蔵野市,Musashino-shi,950,643,68,-,19,39,121,-,27,30,3,-
1,13204,三鷹市,Mitaka-shi,1008,606,74,-,37,28,169,-,-,91,3,-
1,13205,青梅市,Ome-shi,1455,566,61,-,6,13,-,-,718,89,2,-
1,13206,府中市,Fuchu-shi,1256,773,85,-,28,53,210,-,-,89,18,-
1,13207,昭島市,Akishima-shi,657,449,46,-,13,12,26,-,25,83,3,-
1,13208,調布市,Chofu-shi,1258,864,85,-,29,36,143,-,-,99,2,-
1,13209,町田市,Machida-shi,2877,1519,165,3,54,64,163,-,619,283,4,3
1,13210,小金井市,Koganei-shi,682,386,64,-,19,16,128,-,-,67,2,-
1,13211,小平市,Kodaira-shi,916,574,71,-,7,22,152,-,-,87,3,-
1,13212,日野市,Hino-shi,1320,640,55,49,67,227,143,-,-,117,22,-
1,13213,東村山市,Higashimurayama-shi,789,499,55,-,21,22,136,-,-,54,2,-
1,13214,国分寺市,Kokubunji-shi,670,407,49,-,13,20,89,-,-,90,2,-
1,13215,国立市,Kunitachi-shi,433,280,43,-,8,17,67,-,-,16,2,-
1,13218,福生市,Fussa-shi,372,309,29,-,-,10,-,-,-,22,2,-
1,13219,狛江市,Komae-shi,462,279,31,-,8,11,86,-,-,45,2,-
1,13220,東大和市,Higashiyamato-shi,470,362,39,-,2,14,28,-,-,23,2,-
1,13221,清瀬市,Kiyose-shi,442,273,28,-,5,16,65,-,-,52,3,-
1,13222,東久留米市,Higashikurume-shi,608,347,56,-,17,24,116,-,-,46,2,-
1,13223,武蔵村山市,Musashimurayama-shi,373,293,42,-,3,12,-,-,-,21,2,-
1,13224,多摩市,Tama-shi,808,623,60,-,11,27,32,-,-,53,2,-
1,13225,稲城市,Inagi-shi,817,324,40,43,66,184,48,90,-,20,2,-
1,13227,羽村市,Hamura-shi,350,270,26,-,2,10,16,-,11,13,2,-
1,13228,あきる野市,Akiruno-shi,425,328,39,-,4,16,20,-,-,16,2,-
1,13229,西東京市,Nishitokyo-shi,1012,602,71,-,22,39,168,-,-,107,3,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成25年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2013 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,
