年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成25,2013,0,,総数,Total,91815,5374,86441,84604,80089,459,2277,1779,7211
平成25,2013,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,88758,4261,84497,82501,79152,223,1886,1240,6257
平成25,2013,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,4440,283,4157,4053,3915,14,58,66,387
平成25,2013,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,1703,163,1540,1500,1353,16,112,19,203
平成25,2013,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,602,55,547,519,467,6,39,7,83
平成25,2013,2,4,後見人等の選任,Appointment of a guardian， etc.,2087,56,2031,1994,1957,4,26,7,93
平成25,2013,3,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,783,9,774,749,737,3,5,4,34
平成25,2013,3,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,893,10,883,882,877,1,2,2,11
平成25,2013,3,,うち保佐人の選任,(of which) Appointment of a curator,57,2,55,49,47,-,1,1,8
平成25,2013,3,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,91,1,90,89,89,-,-,-,2
平成25,2013,3,,うち補助人の選任,(of which) Appointment of an assistant,27,-,27,23,23,-,-,-,4
平成25,2013,3,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,20,-,20,20,19,-,1,-,-
平成25,2013,3,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,196,34,162,162,145,-,17,-,34
平成25,2013,3,,うち未成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of a minor,20,-,20,20,20,-,-,-,-
平成25,2013,2,5,離縁後の未成年後見人の選任,Appointment of a guardian of an adopted minor after dissolution of adoptive relation,1,-,1,-,-,-,-,-,1
平成25,2013,2,6,後見人等の辞任,Resignation of a guardian of an adult， etc.,606,19,587,542,523,-,11,8,64
平成25,2013,2,7,後見人等の解任,Dismissal of a guardian of an adult， etc.,119,16,103,85,45,14,20,6,34
平成25,2013,3,,うち職権によるもの,(of which) Dismissal by the family court's authority,51,7,44,45,30,-,12,3,6
平成25,2013,2,8,後見人の財産目録の作成の期間の伸長,Extension of the period for preparing an inventory of property by the guardian of an adult,-,-,-,-,-,-,-,-,-
平成25,2013,2,9,後見人等の権限行使についての定め及びその取消し,Determination of the exercise of authority of an adult guardian， etc. and rescission of such determination,354,3,351,350,349,-,1,-,4
平成25,2013,2,10,居住用不動産の処分についての許可,Permission for disposition of real property used for residence,1405,33,1372,1365,1293,-,64,8,40
平成25,2013,2,11,特別代理人の選任（利益相反行為）,Appointment of a special agent (for conflict of interest),1340,85,1255,1268,1202,2,61,3,72
平成25,2013,2,12,後見人等に対する報酬の付与,Remuneration to a guardian of an adult， etc.,11549,392,11157,10939,10914,2,23,-,610
平成25,2013,2,13,後見等監督処分,Supervisory disposition of guardianship， etc.,13819,619,13200,11850,11230,-,-,620,1969
平成25,2013,3,,うち職権によるもの,(of which) Disposition by the family court's authority,13787,615,13172,11820,11202,-,-,618,1967
平成25,2013,2,14,第三者が子等に与えた財産の管理者選任等,Appointment， etc. of a manager of property offered to a child， etc. by a third party,2,-,2,2,-,-,2,-,-
平成25,2013,2,15,後見終了に伴う管理計算の期間の伸長,Extension of the period of settlement of account at the end of guardianship,10,-,10,10,10,-,-,-,-
平成25,2013,2,16,臨時保佐人等の選任（利益相反行為）,Appointment of a temporary curator， etc. (for conflict of interest),22,1,21,19,19,-,-,-,3
平成25,2013,2,17,不在者の財産の管理に関する処分,Disposition regarding the administration of property of an absentee,1149,120,1029,1081,763,1,90,227,68
平成25,2013,2,18,失踪の宣告及びその取消し,Adjudication of disappearance and rescission of such adjudication,873,361,512,586,492,1,84,9,287
平成25,2013,2,19,夫婦の財産管理者変更・共有財産の分割,Change of an administrator of property under a Matrimonial Property Contract／division of property in co-ownership,1,-,1,-,-,-,-,-,1
平成25,2013,2,20,特別代理人の選任（嫡出否認）,Appointment of a special agent (rebuttal of presumption of a child in wedlock),-,-,-,-,-,-,-,-,-
平成25,2013,2,21,子の氏の変更についての許可,Permission for changing the surname of a child,13316,71,13245,13223,13146,6,34,37,93
平成25,2013,2,22,養子をするについての許可,Permission for adoption,188,43,145,145,82,-,63,-,43
平成25,2013,2,23,離縁をするについての許可,Permission for dissolution of adoption ,271,4,267,263,253,-,10,-,8
平成25,2013,2,24,特別養子縁組の成立及びその離縁に関する処分,Disposition on establishment and dissolution of special adoption ,102,33,69,67,52,1,14,-,35
平成25,2013,3,,うち離縁に関する処分,(of which) Disposition regarding dissolution of special adoption ,-,-,-,-,-,-,-,-,-
平成25,2013,2,25,親権喪失，親権停止又は管理権喪失の審判及びその取消し,Adjudication on loss or suspension of parental authority or loss of the right of administration of property ／ rescission of such adjudication,50,8,42,39,6,7,26,-,11
平成25,2013,3,,うち親権喪失の審判,(of which) Adjudication on loss of parental authority,18,3,15,13,4,2,7,-,5
平成25,2013,3,,うち親権停止の審判,(of which) Adjudication on suspension of parental authority,30,5,25,25,1,5,19,-,5
平成25,2013,3,,うち管理権喪失の審判,(of which) Adjudication on loss of the right of administration of property,2,-,2,1,1,-,-,-,1
平成25,2013,2,26,親権・管理権の辞任・回復,Surrender or restoration of parental authority or the right of administration of property,1,-,1,1,1,-,-,-,-
平成25,2013,2,27,扶養義務の設定及びその取消し,Establishment of an obligation of support ／ rescission of such establishment,76,-,76,75,73,-,2,-,1
平成25,2013,2,28,推定相続人の廃除及びその取消し,Disinheritance of presumptive heirs ／ rescission of such disinheritance,39,-,39,17,7,2,6,2,22
平成25,2013,2,29,推定相続人廃除等に伴う遺産の管理に関する処分,Disposition regarding administration of estates upon disinheritance of presumptive heirs， etc.,-,-,-,-,-,-,-,-,-
平成25,2013,2,30,相続の承認又は放棄の期間の伸長,Extension of the period for acceptance or renunciation of inheritance,1085,67,1018,1018,961,2,46,9,67
平成25,2013,2,31,相続財産の保存又は管理に関する処分,Disposition regarding preservation or management of inherited property,54,4,50,49,41,1,7,-,5
平成25,2013,2,32,相続の限定承認又は放棄の取消し,Rescission of qualified acceptance or renunciation of inheritance,7,1,6,6,3,-,3,-,1
平成25,2013,2,33,相続の限定承認の申述受理,Acceptance of a statement of qualified acceptance of inheritance,119,15,104,104,98,-,6,-,15
平成25,2013,2,34,鑑定人の選任,Appointment of an appraiser,9,-,9,9,9,-,-,-,-
平成25,2013,2,35,相続の放棄の申述の受理,Acceptance of a statement of renunciation of inheritance,18622,993,17629,17478,16978,18,363,119,1144
平成25,2013,2,36,相続財産の分離に関する処分,Disposition regarding separation of inherited property,-,-,-,-,-,-,-,-,-
平成25,2013,2,37,相続財産管理に関する処分（財産分離）,Disposition regarding the administration of inherited property (separation of property),-,-,-,-,-,-,-,-,-
平成25,2013,2,38,相続財産管理人選任等（相続人不分明）,Appointment of an administrator of inherited property， etc. (heirs unknown),2171,131,2040,2039,1941,1,55,42,132
平成25,2013,2,39,特別縁故者への相続財産の分与,Distribution of inherited property to a person with a special connection,186,47,139,119,89,7,23,-,67
平成25,2013,2,40,遺言の確認,Confirmation of a will,29,4,25,22,15,4,3,-,7
平成25,2013,2,41,遺言書の検認,Probate of a will,2965,224,2741,2688,2650,-,24,14,277
平成25,2013,2,42,遺言執行者の選任,Appointment of an executor,422,19,403,397,372,-,22,3,25
平成25,2013,2,43,遺言執行者に対する報酬の付与,Grant of remuneration to an executor ,57,5,52,54,50,1,3,-,3
平成25,2013,2,44,遺言執行者の解任及び辞任,Dismissal and resignation of an executor,39,13,26,25,8,3,14,-,14
平成25,2013,2,45,遺言の取消し,Rescission of a will,1,1,-,1,-,-,1,-,-
平成25,2013,2,46,遺留分の放棄についての許可,Permission for an heir's renunciation of said heir's legally reserved portion  ,229,19,210,217,211,-,4,2,12
平成25,2013,2,47,任意後見契約に関する法律関係,Legal relationship concerning a voluntary guardianship contract,523,22,501,487,467,5,7,8,36
平成25,2013,3,,うち任意後見監督人の選任,(of which) Appointment of a supervisor for a voluntarily appointed guardian,140,15,125,120,105,2,6,7,20
平成25,2013,3,,うち任意後見監督処分,(of which) Supervisory disposition of a voluntarily appointed guardianship ,14,-,14,14,13,-,-,1,-
平成25,2013,3,,うち任意後見監督人の辞任,(of which) Resignation of the supervisor of a voluntarily appointed guardian,1,-,1,1,1,-,-,-,-
平成25,2013,3,,うち任意後見人等の解任,(of which) Dismissal of a voluntarily appointed guardian， etc.,4,1,3,2,1,1,-,-,2
平成25,2013,3,,うち任意後見監督人に対する報酬の付与,(of which) Grant of remuneration to the supervisor of a voluntarily appointed guardian,359,6,353,345,345,-,-,-,14
平成25,2013,2,48,戸籍法による氏の変更についての許可,Permission for change of surname under the Family Register Act,1700,91,1609,1619,1407,35,170,7,81
平成25,2013,2,49,戸籍法による名の変更についての許可,Permission for change of first name under the Family Register Act,1142,91,1051,1065,740,41,277,7,77
平成25,2013,2,50,就籍についての許可,Permission for the registration of an unregistered person,139,79,60,84,47,13,24,-,55
平成25,2013,2,51,戸籍の訂正についての許可,Permission for correction of a family register,144,17,127,124,101,3,20,-,20
平成25,2013,2,52,戸籍事件についての処分に対する不服,Appeal against the disposition of a family register-related case,13,2,11,12,-,10,2,-,1
平成25,2013,2,53,性同一性障害者の性別の取扱いの特例に関する法律3条1項の事件,Cases under Article 3， Paragraph 1 of the Act on Special Cases in Handling Gender for People with Gender Identity Disorder,164,12,152,150,144,1,5,-,14
平成25,2013,2,54,児童福祉法28条1項の事件,Cases under Article 28， Paragraph 1 of the Child Welfare Act,29,2,27,22,17,-,4,1,7
平成25,2013,2,55,児童福祉法28条2項の事件,Cases under Article 28， Paragraph 2 of the Child Welfare Act,22,4,18,20,19,1,-,-,2
平成25,2013,2,56,生活保護法30条3項の事件,Cases under Article 30， Paragraph 3 of the Public Assistance Act,-,-,-,-,-,-,-,-,-
平成25,2013,2,57,精神保健及び精神障害者福祉に関する法律20条2項の事件,Cases under Article 20， Paragraph 2 of the Act on Mental Health and Welfare for the Mentally Disabled,4757,32,4725,4694,4627,1,57,9,63
平成25,2013,2,58,破産法61条の事件,Cases under Article 61 of the Bankruptcy Act,-,-,-,-,-,-,-,-,-
平成25,2013,2,59,破産法238条の事件,Cases under Article 238 of the Bankruptcy Act,1,1,-,1,1,-,-,-,-
平成25,2013,2,60,中小企業における経営の承継の円滑化に関する法律8条1項の事件,Cases under Article 8， Paragraph 1 of the Act on Facilitation of Succession of Management of Small and Medium Sized Enterprises,4,-,4,4,4,-,-,-,-
平成25,2013,1,,別表第二審判事件総数,Total number of cases of adjudication of domestic relations under Appended Table 2 of the Domestic Relations Case Procedure Act,3057,1113,1944,2103,937,236,391,539,954
